,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,el,Catalan,DET,1,yes,-24.6807,10.2461,-4.5151,0.1059,0.8697,0.336,1,1,1,1
1,2052,informació,Catalan,PROPN,432,yes,2.1934,1.2691,-0.8889,0.8981,0.2432,0.7176,3,2,2,2
2,7,haver,Catalan,VERB,56,yes,-3.6916,0.247,1.3551,0.7247,0.1719,0.9537,4,3,3,2
3,10,a,Catalan,ADP,3,yes,-17.6493,6.1243,-2.4562,0.3132,0.582,0.5527,1,1,1,1
4,11,quatre,Catalan,NUM,87,yes,-0.137,-0.941,0.3333,0.8294,0.0889,0.8462,5,4,3,2
5,12,any,Catalan,NOUN,20,yes,-5.0955,-0.0082,1.2428,0.6833,0.154,0.9419,4,3,3,2
6,13,de,Catalan,ADP,2,yes,-28.2722,12.1134,-5.689,0.0,1.0,0.2125,1,1,1,1
7,16,i,Catalan,CCONJ,4,yes,-16.6659,6.1989,-2.2422,0.3422,0.5872,0.5752,1,1,1,1
8,17,un,Catalan,PRON,34,yes,-8.5186,2.1644,-0.5585,0.5823,0.3057,0.7524,1,1,1,1
9,20,milió,Catalan,NOUN,51,yes,-1.5683,-1.1796,0.7803,0.7872,0.0723,0.8932,4,3,3,2
10,21,pesseta,Catalan,NOUN,35,yes,-0.7856,-0.8657,0.6858,0.8103,0.0942,0.8833,4,3,3,2
11,22,per,Catalan,ADP,7,yes,-11.509,3.5665,-1.0396,0.4942,0.4035,0.7017,1,1,1,1
12,26,ell,Catalan,PRON,5,yes,-5.1219,-0.0425,1.1701,0.6825,0.1516,0.9343,4,3,3,2
13,28,càrrec,Catalan,NOUN,288,yes,1.4475,-0.0505,-1.754,0.8762,0.1511,0.6266,5,4,3,2
14,29,públic,Catalan,ADJ,82,yes,2.4141,1.7964,0.5416,0.9046,0.28,0.8681,3,2,2,2
15,30,que,Catalan,SCONJ,11,yes,-3.9649,-0.0093,1.3019,0.7166,0.154,0.9481,4,3,3,2
16,32,seu,Catalan,DET,18,yes,0.2198,0.8472,1.3233,0.84,0.2137,0.9504,4,3,3,2
17,33,relació,Catalan,NOUN,229,yes,-1.7629,-0.2597,-2.0647,0.7815,0.1365,0.5939,5,4,3,2
18,34,amb,Catalan,ADP,14,yes,-4.2339,0.0455,1.3746,0.7087,0.1578,0.9558,4,3,3,2
19,35,empresa,Catalan,NOUN,68,yes,-2.3741,-1.3761,0.7938,0.7635,0.0586,0.8947,4,3,3,2
20,2084,14,Catalan,NUM,317,yes,0.1576,-0.73,-0.2089,0.8381,0.1037,0.7892,5,4,3,2
21,37,zona,Catalan,NOUN,74,yes,-1.2719,-1.7929,0.1561,0.796,0.0295,0.8276,5,4,3,2
22,38,en,Catalan,PRON,140,yes,-7.9058,0.8717,0.7052,0.6004,0.2154,0.8853,4,3,3,2
23,2085,home,Catalan,NOUN,368,yes,-1.0548,-1.777,-0.0796,0.8024,0.0306,0.8028,5,4,3,2
24,40,servei,Catalan,NOUN,59,yes,-2.3953,-1.1209,1.0742,0.7629,0.0764,0.9242,4,3,3,2
25,39,oferir,Catalan,VERB,188,yes,-0.6114,0.0313,1.5422,0.8155,0.1568,0.9734,4,3,3,2
26,43,sentència,Catalan,NOUN,387,yes,1.5283,0.4034,-0.5937,0.8785,0.1828,0.7487,5,4,3,2
27,44,qual,Catalan,PRON,55,yes,-1.7877,-1.1942,1.1041,0.7808,0.0713,0.9273,4,3,3,2
28,45,tenir,Catalan,VERB,26,yes,-7.4643,0.9076,0.8737,0.6134,0.218,0.9031,4,3,3,2
29,46,accés,Catalan,NOUN,106,yes,-0.9141,-1.8724,-0.393,0.8065,0.0239,0.7698,5,4,3,2
30,2098,autor,Catalan,NOUN,402,yes,-0.1584,-0.8784,0.0748,0.8288,0.0933,0.819,5,4,3,2
31,51,processat,Catalan,NOUN,179,yes,1.3494,0.6392,0.0417,0.8733,0.1992,0.8155,3,2,2,2
32,2099,acusació,Catalan,NOUN,491,yes,2.1331,0.2629,-2.4322,0.8964,0.173,0.5552,5,4,3,2
33,54,president,Catalan,NOUN,107,yes,-1.6447,-0.6011,1.0375,0.785,0.1127,0.9203,4,3,3,2
34,57,girona,Catalan,PROPN,58,yes,-0.6168,-0.9972,0.2993,0.8153,0.085,0.8426,5,4,3,2
35,58,moment,Catalan,NOUN,148,yes,-0.6179,-0.6889,1.045,0.8153,0.1065,0.9211,4,3,3,2
36,59,fet,Catalan,NOUN,53,yes,-1.6093,-1.518,0.6644,0.786,0.0487,0.881,4,3,3,2
37,62,pere,Catalan,PROPN,404,yes,2.2548,1.8323,0.1328,0.9,0.2825,0.8251,3,2,2,2
38,67,com,Catalan,SCONJ,22,yes,-1.7097,-0.7382,1.0125,0.7831,0.1031,0.9177,4,3,3,2
39,70,generalitat,Catalan,PROPN,42,yes,-0.4729,-1.1445,-0.4523,0.8195,0.0747,0.7635,5,4,3,2
40,71,anar,Catalan,VERB,226,yes,-3.4933,-0.0965,1.2746,0.7305,0.1479,0.9453,4,3,3,2
41,72,ser,Catalan,VERB,79,yes,-4.3084,0.4716,1.561,0.7065,0.1875,0.9754,4,3,3,2
42,2118,detenir,Catalan,VERB,473,yes,-0.5139,-0.8892,0.7486,0.8183,0.0926,0.8899,4,3,3,2
43,74,audiència,Catalan,PROPN,142,yes,0.7132,-0.6308,-1.0289,0.8545,0.1106,0.7029,5,4,3,2
44,75,delicte,Catalan,NOUN,149,yes,0.1631,-0.8222,-0.3953,0.8383,0.0972,0.7695,5,4,3,2
45,73,condemnar,Catalan,VERB,438,yes,0.7086,-0.0757,0.1539,0.8544,0.1493,0.8273,5,4,3,2
46,2126,premi,Catalan,NOUN,151,yes,-0.8303,-1.006,0.286,0.809,0.0844,0.8412,5,4,3,2
47,82,la,Catalan,DET,17,yes,0.3834,0.4124,0.6708,0.8448,0.1834,0.8817,5,4,3,2
48,84,aquest,Catalan,PRON,208,yes,-4.3502,0.937,1.1078,0.7052,0.22,0.9277,4,3,3,2
49,85,motiu,Catalan,NOUN,144,yes,-0.7641,-1.1425,0.6217,0.811,0.0749,0.8766,5,4,3,2
50,86,fer,Catalan,VERB,16,yes,-14.3779,4.8407,-1.8199,0.4096,0.4924,0.6196,1,1,1,1
51,87,visita,Catalan,NOUN,364,yes,-0.7905,-0.8367,1.0653,0.8102,0.0962,0.9232,4,3,3,2
52,90,aprofitar,Catalan,VERB,424,yes,-0.1588,-0.6754,0.3915,0.8288,0.1075,0.8523,4,3,3,2
53,2139,5,Catalan,NUM,403,yes,1.2397,-0.924,-2.5487,0.87,0.0901,0.5429,5,4,3,2
54,93,un,Catalan,PRON,34,yes,-2.5663,-0.8052,1.2731,0.7578,0.0984,0.9451,4,3,3,2
55,97,primer,Catalan,ADJ,62,yes,-1.26,-1.1459,0.8893,0.7963,0.0746,0.9047,4,3,3,2
56,2145,15,Catalan,NUM,477,yes,1.0187,-0.2006,-0.7768,0.8635,0.1406,0.7294,5,4,3,2
57,99,oficial,Catalan,ADJ,405,yes,3.5812,2.7396,0.1689,0.9391,0.3458,0.8289,3,2,2,2
58,103,segons,Catalan,SCONJ,156,yes,0.9849,1.2888,1.4336,0.8625,0.2446,0.962,4,3,3,2
59,106,que,Catalan,SCONJ,11,yes,-5.96,-0.0872,0.982,0.6578,0.1485,0.9145,4,3,3,2
60,107,acusat,Catalan,NOUN,276,yes,0.2934,-0.7378,-0.1459,0.8421,0.1031,0.7958,5,4,3,2
61,2155,riu,Catalan,NOUN,327,yes,0.0481,-1.0032,-0.7591,0.8349,0.0846,0.7313,5,4,3,2
62,109,intentar,Catalan,VERB,205,yes,-1.4345,-1.4878,0.605,0.7912,0.0508,0.8748,4,3,3,2
63,110,arribar,Catalan,VERB,138,yes,-2.5353,-0.7756,1.2766,0.7587,0.1005,0.9455,4,3,3,2
64,111,obtenir,Catalan,VERB,497,yes,0.3949,0.0324,0.8309,0.8451,0.1569,0.8986,5,4,3,2
65,113,o,Catalan,CCONJ,40,yes,0.6801,0.519,1.0888,0.8535,0.1908,0.9257,5,4,3,2
66,116,pel,Catalan,ADP,154,yes,0.4984,2.6031,-1.0687,0.8482,0.3363,0.6987,5,4,3,2
67,4213,garriga,Catalan,PROPN,487,yes,1.4768,0.4191,-0.5291,0.877,0.1839,0.7555,3,2,2,2
68,118,coneixement,Catalan,NOUN,418,yes,0.0943,-1.1637,-0.9516,0.8363,0.0734,0.711,5,4,3,2
69,117,fa,Catalan,NOUN,185,yes,5.6485,6.6007,1.2457,1.0,0.6153,0.9422,2,2,2,2
