,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,4,只,Chinese,ADV,211,yes,-1.4065,0.2935,-1.7344,0.0929,0.874,0.5205,2,2,1,1
1,2053,各,Chinese,DET,229,yes,-1.0806,0.1618,-0.4849,0.1022,0.8674,0.6789,1,1,1,1
2,5,是,Chinese,VERB,22,yes,11.8267,-4.2601,-1.5021,0.472,0.6477,0.5499,4,4,3,2
3,2055,宣布,Chinese,VERB,443,yes,1.495,1.0433,0.6851,0.176,0.9112,0.8272,3,3,2,2
4,8,一,Chinese,NUM,3,yes,7.7989,-0.6108,0.3074,0.3566,0.829,0.7793,3,3,2,2
5,9,做,Chinese,VERB,331,yes,1.8326,1.3227,0.1406,0.1857,0.9251,0.7582,3,3,2,2
6,6,二,Chinese,NUM,190,yes,-1.0945,0.2402,-0.1442,0.1018,0.8713,0.7221,1,1,1,1
7,11,但,Chinese,ADV,38,yes,1.0146,1.3595,-0.1633,0.1623,0.9269,0.7196,3,3,2,2
8,13,他,Chinese,PRON,8,yes,5.1625,0.7642,0.3492,0.2811,0.8973,0.7846,3,3,2,2
9,14,代表,Chinese,VERB,347,yes,0.5789,1.076,0.2938,0.1498,0.9128,0.7776,3,3,2,2
10,15,的,Chinese,PART,1,yes,30.255,-17.2979,-4.1831,1.0,0.0,0.21,5,4,3,2
11,16,是,Chinese,VERB,22,yes,4.1566,0.1754,0.8704,0.2523,0.8681,0.8507,3,3,2,2
12,17,你,Chinese,PRON,440,yes,-2.0099,-0.8832,-0.2629,0.0756,0.8155,0.707,2,2,1,1
13,4113,北,Chinese,NOUN,366,yes,-2.8732,-1.2572,-0.2378,0.0509,0.7969,0.7102,2,2,1,1
14,4116,自,Chinese,VERB,371,yes,-4.1389,-2.3103,-0.6134,0.0146,0.7446,0.6626,2,2,1,1
15,22,著,Chinese,AUX,68,yes,-3.316,-1.0781,-4.1229,0.0382,0.8058,0.2177,2,2,1,1
16,23,給,Chinese,VERB,447,yes,-1.7895,-0.6433,-0.4392,0.0819,0.8274,0.6847,2,2,1,1
17,24,不同,Chinese,ADJ,93,yes,1.2889,0.9808,0.3715,0.1701,0.9081,0.7874,3,3,2,2
18,27,最後,Chinese,NOUN,194,yes,-1.9366,-0.4223,-1.3693,0.0777,0.8384,0.5668,2,2,1,1
