,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,仁,Classical_Chinese,VERB,61,yes,3.0168,1.2899,0.887,0.3606,0.8536,0.8361,5,4,3,2
1,3,篇,Classical_Chinese,NOUN,354,yes,-2.9745,-2.2511,0.7736,0.126,0.5779,0.8236,3,2,1,1
2,4,第,Classical_Chinese,NOUN,342,yes,-3.8837,-2.4332,0.5067,0.0904,0.5637,0.794,3,2,1,1
3,5,四,Classical_Chinese,NUM,156,yes,-1.6096,-1.4689,1.2127,0.1795,0.6388,0.8722,3,2,1,1
4,6,子,Classical_Chinese,PRON,72,yes,6.9101,-0.6628,0.6844,0.513,0.7016,0.8137,5,4,3,2
5,7,曰,Classical_Chinese,VERB,3,yes,7.5838,-3.479,-1.9076,0.5393,0.4823,0.5267,5,4,3,2
6,8,爲,Classical_Chinese,ADP,100,yes,0.7706,-0.0092,1.3378,0.2726,0.7525,0.8861,1,1,1,1
7,2055,招,Classical_Chinese,VERB,396,yes,-2.3538,0.587,-1.9689,0.1503,0.7989,0.5199,3,2,1,1
8,9,美,Classical_Chinese,NOUN,485,yes,-1.9936,-0.6821,0.0707,0.1644,0.7001,0.7457,1,1,1,1
9,11,不,Classical_Chinese,ADV,2,yes,8.8652,-1.8017,0.6923,0.5895,0.6129,0.8146,5,4,3,2
10,12,處,Classical_Chinese,VERB,264,yes,0.4998,1.55,-0.2584,0.262,0.8739,0.7093,1,1,1,1
11,13,焉,Classical_Chinese,PRON,347,yes,-1.8543,1.4048,-2.1612,0.1699,0.8626,0.4986,3,2,1,1
12,14,得,Classical_Chinese,AUX,111,yes,0.116,1.7089,-0.8024,0.247,0.8863,0.6491,1,1,1,1
13,15,知,Classical_Chinese,VERB,32,yes,7.6317,-0.9278,0.3717,0.5412,0.6809,0.7791,5,4,3,2
14,16,仁,Classical_Chinese,VERB,61,yes,2.9644,1.2443,0.6557,0.3585,0.8501,0.8105,5,4,3,2
15,17,者,Classical_Chinese,PART,7,yes,17.0461,-7.7844,-5.2766,0.9098,0.147,0.1536,4,3,2,2
16,18,可,Classical_Chinese,VERB,151,yes,4.1965,1.1306,0.6332,0.4067,0.8412,0.808,5,4,3,2
17,19,以,Classical_Chinese,ADV,23,yes,11.0691,-2.8334,-0.496,0.6758,0.5325,0.683,5,4,3,2
18,20,久,Classical_Chinese,VERB,249,yes,-0.4045,1.0297,-0.3127,0.2266,0.8334,0.7033,1,1,1,1
19,22,長,Classical_Chinese,VERB,218,yes,-0.2006,0.8889,-0.1571,0.2346,0.8224,0.7205,1,1,1,1
20,23,樂,Classical_Chinese,NOUN,206,yes,-0.5613,-0.1551,0.7302,0.2205,0.7411,0.8188,1,1,1,1
21,24,安,Classical_Chinese,VERB,214,yes,0.5872,1.2486,-0.0536,0.2655,0.8504,0.732,1,1,1,1
22,25,利,Classical_Chinese,VERB,486,yes,-1.9192,0.1817,-0.6873,0.1673,0.7673,0.6618,1,1,1,1
23,26,唯,Classical_Chinese,ADV,307,yes,-2.1138,0.8027,-1.9664,0.1597,0.8157,0.5202,3,2,1,1
24,27,能,Classical_Chinese,AUX,36,yes,4.0431,0.961,0.4725,0.4007,0.828,0.7902,5,4,3,2
25,28,好,Classical_Chinese,VERB,79,yes,3.0586,0.8078,1.0371,0.3622,0.8161,0.8528,5,4,3,2
26,29,人,Classical_Chinese,NOUN,8,yes,15.9007,-7.2981,-4.9093,0.8649,0.1849,0.1942,4,3,2,2
27,30,惡,Classical_Chinese,ADV,356,yes,2.3845,0.5698,1.1775,0.3358,0.7976,0.8683,5,4,3,2
28,31,苟,Classical_Chinese,ADV,385,yes,-2.4543,1.3599,-2.8532,0.1464,0.8591,0.4219,3,2,1,1
29,33,於,Classical_Chinese,VERB,146,yes,5.8008,-1.3617,1.4064,0.4695,0.6472,0.8937,5,4,3,2
30,34,矣,Classical_Chinese,PART,15,yes,5.0658,0.2715,1.291,0.4408,0.7743,0.8809,5,4,3,2
31,35,無,Classical_Chinese,ADV,78,yes,0.748,0.5695,0.9362,0.2717,0.7975,0.8416,1,1,1,1
32,36,也,Classical_Chinese,PART,1,yes,15.4259,-6.3517,-3.933,0.8463,0.2586,0.3024,4,3,2,2
33,37,富,Classical_Chinese,NOUN,405,yes,0.282,1.1217,-0.125,0.2535,0.8405,0.7241,1,1,1,1
34,38,與,Classical_Chinese,ADV,170,yes,1.8267,0.6193,1.2196,0.314,0.8014,0.873,5,4,3,2
35,39,貴,Classical_Chinese,VERB,273,yes,-0.6424,1.0633,-0.6326,0.2173,0.836,0.6679,1,1,1,1
36,40,是,Classical_Chinese,NOUN,471,yes,4.7547,0.4025,1.0294,0.4286,0.7845,0.8519,5,4,3,2
37,41,之,Classical_Chinese,VERB,201,yes,10.1436,-4.9375,-2.1515,0.6396,0.3687,0.4996,5,4,3,2
38,42,所,Classical_Chinese,PART,28,yes,2.8767,0.4844,1.3607,0.3551,0.7909,0.8886,5,4,3,2
39,43,欲,Classical_Chinese,VERB,175,yes,1.984,1.2147,0.8023,0.3201,0.8478,0.8268,5,4,3,2
40,44,其,Classical_Chinese,PART,108,yes,8.8709,-1.9579,0.657,0.5897,0.6007,0.8107,5,4,3,2
41,45,道,Classical_Chinese,NOUN,22,yes,6.2993,-0.1463,0.5398,0.4891,0.7418,0.7977,5,4,3,2
42,46,得,Classical_Chinese,AUX,111,yes,6.1763,-0.1142,0.742,0.4842,0.7443,0.8201,5,4,3,2
43,47,之,Classical_Chinese,VERB,201,yes,7.1678,-1.2287,1.1282,0.5231,0.6575,0.8629,5,4,3,2
44,2088,仕,Classical_Chinese,NOUN,439,yes,-1.899,0.5463,-1.5065,0.1681,0.7957,0.5711,3,2,1,1
45,49,賤,Classical_Chinese,VERB,467,yes,-1.8817,-0.0404,-0.6498,0.1688,0.75,0.666,1,1,1,1
46,50,去,Classical_Chinese,VERB,106,yes,2.8893,0.6287,1.2761,0.3556,0.8022,0.8792,5,4,3,2
47,51,君子,Classical_Chinese,NOUN,33,yes,3.7862,1.0296,1.1016,0.3907,0.8334,0.8599,5,4,3,2
48,52,惡,Classical_Chinese,ADV,356,yes,-2.0134,0.4939,-1.5037,0.1636,0.7917,0.5714,3,2,1,1
49,53,乎,Classical_Chinese,ADP,134,yes,3.7733,0.935,1.1426,0.3902,0.826,0.8645,5,4,3,2
50,54,成,Classical_Chinese,VERB,250,yes,0.5022,0.6232,0.501,0.2621,0.8017,0.7934,1,1,1,1
51,2101,萬,Classical_Chinese,PROPN,217,yes,-2.3203,-3.9167,-3.2571,0.1516,0.4482,0.3772,5,4,3,2
52,56,無,Classical_Chinese,ADV,78,yes,8.9447,-1.5364,-0.0564,0.5926,0.6335,0.7317,5,4,3,2
53,57,終,Classical_Chinese,VERB,229,yes,-0.2813,0.1146,0.6997,0.2315,0.7621,0.8154,1,1,1,1
54,58,食,Classical_Chinese,NOUN,167,yes,-0.6806,-0.1827,0.5267,0.2158,0.739,0.7962,1,1,1,1
55,59,間,Classical_Chinese,NOUN,468,yes,-1.3234,-0.7948,0.8015,0.1907,0.6913,0.8267,3,2,1,1
56,60,違,Classical_Chinese,VERB,417,yes,-0.7729,0.1873,0.2793,0.2122,0.7678,0.7688,1,1,1,1
57,2102,章,Classical_Chinese,PROPN,205,yes,-6.1938,-7.313,2.3606,0.0,0.1837,0.9993,2,2,1,1
58,63,必,Classical_Chinese,ADV,38,yes,2.3019,0.9203,1.2248,0.3326,0.8249,0.8735,5,4,3,2
59,64,於,Classical_Chinese,VERB,146,yes,1.78,-0.1133,1.5258,0.3121,0.7444,0.9069,1,1,1,1
60,67,我,Classical_Chinese,PRON,31,yes,4.493,1.0171,0.8773,0.4184,0.8324,0.8351,5,4,3,2
61,68,未,Classical_Chinese,ADV,43,yes,1.0241,1.1828,0.4584,0.2826,0.8453,0.7887,1,1,1,1
62,69,見,Classical_Chinese,VERB,37,yes,6.892,-0.6227,0.4241,0.5123,0.7047,0.7849,5,4,3,2
63,70,以,Classical_Chinese,ADV,23,yes,2.3197,0.5581,1.3213,0.3333,0.7967,0.8842,5,4,3,2
64,72,爲,Classical_Chinese,ADP,100,yes,14.4604,-6.4147,-4.1926,0.8085,0.2536,0.2736,4,3,2,2
65,73,使,Classical_Chinese,VERB,49,yes,6.5275,-0.4442,0.5313,0.498,0.7186,0.7968,5,4,3,2
66,74,加,Classical_Chinese,VERB,491,yes,-0.3319,0.5935,0.2418,0.2295,0.7994,0.7647,1,1,1,1
67,75,乎,Classical_Chinese,ADP,134,yes,-0.5981,-0.568,1.0078,0.2191,0.709,0.8495,3,2,1,1
68,76,身,Classical_Chinese,NOUN,127,yes,0.5583,0.0954,1.233,0.2643,0.7606,0.8745,1,1,1,1
69,77,有,Classical_Chinese,VERB,11,yes,19.3512,-9.6718,-6.6634,1.0,0.0,0.0,4,3,2,2
70,78,一,Classical_Chinese,NUM,53,yes,2.3938,0.9743,1.0899,0.3362,0.8291,0.8586,5,4,3,2
71,79,日,Classical_Chinese,NOUN,77,yes,2.6929,0.3107,1.5532,0.3479,0.7774,0.9099,5,4,3,2
72,80,用,Classical_Chinese,VERB,189,yes,2.4367,1.5525,0.5554,0.3379,0.8741,0.7994,5,4,3,2
73,81,力,Classical_Chinese,NOUN,284,yes,-1.6237,-0.5777,0.3451,0.1789,0.7082,0.7761,3,2,1,1
74,82,足,Classical_Chinese,VERB,436,yes,-1.2522,1.8514,-2.1036,0.1934,0.8974,0.505,3,2,1,1
75,84,過,Classical_Chinese,NOUN,364,yes,2.0519,1.2355,0.7207,0.3228,0.8494,0.8177,5,4,3,2
76,86,黨,Classical_Chinese,NOUN,494,yes,-1.6123,0.0056,-0.6098,0.1794,0.7536,0.6704,3,2,1,1
77,87,觀,Classical_Chinese,VERB,292,yes,-0.197,0.2364,0.5187,0.2348,0.7716,0.7954,1,1,1,1
78,88,過,Classical_Chinese,NOUN,364,yes,-1.0184,1.8992,-2.1363,0.2026,0.9011,0.5013,3,2,1,1
79,89,斯,Classical_Chinese,ADV,148,yes,-0.6773,0.8397,-0.2739,0.216,0.8186,0.7076,1,1,1,1
80,90,朝,Classical_Chinese,VERB,414,yes,-0.4661,-0.0616,0.6044,0.2242,0.7484,0.8048,1,1,1,1
81,91,聞,Classical_Chinese,VERB,55,yes,4.9567,0.2408,1.1374,0.4365,0.7719,0.8639,5,4,3,2
82,93,死,Classical_Chinese,VERB,125,yes,2.2222,0.681,1.0659,0.3295,0.8062,0.856,5,4,3,2
83,94,可,Classical_Chinese,VERB,151,yes,0.9978,1.5825,0.0032,0.2815,0.8764,0.7383,1,1,1,1
84,95,士,Classical_Chinese,NOUN,59,yes,3.2845,0.5651,1.2237,0.371,0.7972,0.8734,5,4,3,2
85,96,而,Classical_Chinese,PART,178,yes,8.6932,-1.474,0.7302,0.5828,0.6384,0.8188,5,4,3,2
86,97,恥,Classical_Chinese,VERB,295,yes,-0.2681,1.2551,-0.6661,0.232,0.8509,0.6642,1,1,1,1
87,98,惡,Classical_Chinese,ADV,356,yes,-1.6326,-0.6973,0.3577,0.1786,0.6989,0.7775,3,2,1,1
88,99,衣,Classical_Chinese,NOUN,296,yes,-1.6302,0.2898,-0.9219,0.1787,0.7758,0.6358,3,2,1,1
89,100,足,Classical_Chinese,VERB,436,yes,-0.3327,1.3029,-0.7294,0.2294,0.8547,0.6571,1,1,1,1
90,101,與,Classical_Chinese,ADV,170,yes,-2.1223,-0.2073,-0.3911,0.1594,0.737,0.6946,3,2,1,1
91,103,天,Classical_Chinese,NOUN,16,yes,1.4032,0.6356,0.8963,0.2974,0.8027,0.8372,1,1,1,1
92,104,下,Classical_Chinese,NOUN,21,yes,3.9327,0.6929,1.0613,0.3964,0.8072,0.8554,5,4,3,2
93,105,適,Classical_Chinese,VERB,454,yes,-1.641,0.1622,-0.7404,0.1782,0.7658,0.6559,3,2,1,1
94,106,莫,Classical_Chinese,ADV,107,yes,0.4395,0.957,0.5311,0.2597,0.8277,0.7967,1,1,1,1
95,107,義,Classical_Chinese,VERB,306,yes,1.8132,2.0432,0.0026,0.3134,0.9123,0.7382,1,1,1,1
96,108,比,Classical_Chinese,VERB,497,yes,-1.3358,-0.4557,0.6572,0.1902,0.7177,0.8107,3,2,1,1
97,110,德,Classical_Chinese,NOUN,117,yes,1.1531,0.9375,0.5756,0.2876,0.8262,0.8017,1,1,1,1
98,111,小,Classical_Chinese,VERB,92,yes,-0.8695,1.5111,-1.588,0.2084,0.8709,0.5621,3,2,1,1
99,112,土,Classical_Chinese,NOUN,452,yes,-2.2742,-0.9067,0.0225,0.1534,0.6826,0.7404,3,2,1,1
100,115,放,Classical_Chinese,VERB,352,yes,-1.5545,-1.009,0.6736,0.1816,0.6746,0.8125,3,2,1,1
101,116,利,Classical_Chinese,VERB,486,yes,-1.8628,-0.3554,-0.2862,0.1695,0.7255,0.7062,3,2,1,1
102,117,行,Classical_Chinese,NOUN,253,yes,6.1157,-0.1296,0.7045,0.4819,0.7431,0.8159,5,4,3,2
103,118,多,Classical_Chinese,VERB,240,yes,0.1174,1.1181,-0.1579,0.2471,0.8403,0.7204,1,1,1,1
104,122,國,Classical_Chinese,NOUN,62,yes,3.0959,0.4995,1.1845,0.3637,0.7921,0.8691,5,4,3,2
105,123,從,Classical_Chinese,VERB,91,yes,3.9235,1.0296,0.7438,0.3961,0.8334,0.8203,5,4,3,2
106,124,政,Classical_Chinese,NOUN,88,yes,1.8061,1.4239,0.6239,0.3132,0.8641,0.807,5,4,3,2
107,125,何,Classical_Chinese,ADV,99,yes,2.0499,1.9383,0.4444,0.3227,0.9041,0.7871,1,1,1,1
108,126,如,Classical_Chinese,PART,219,yes,5.8567,-0.5089,1.1492,0.4717,0.7136,0.8652,5,4,3,2
109,127,禮,Classical_Chinese,NOUN,66,yes,1.7313,1.3548,0.612,0.3102,0.8587,0.8057,5,4,3,2
110,128,患,Classical_Chinese,VERB,359,yes,-0.7227,0.5271,-0.1112,0.2142,0.7942,0.7256,1,1,1,1
111,129,位,Classical_Chinese,NOUN,160,yes,-0.5277,0.5034,0.1159,0.2218,0.7924,0.7508,1,1,1,1
112,130,立,Classical_Chinese,VERB,139,yes,2.083,0.9775,1.061,0.324,0.8293,0.8554,5,4,3,2
113,131,己,Classical_Chinese,PRON,137,yes,-1.2241,-0.2111,0.4712,0.1945,0.7368,0.7901,3,2,1,1
114,132,求,Classical_Chinese,PROPN,271,yes,3.0678,0.9778,0.9587,0.3626,0.8293,0.8441,5,4,3,2
115,134,吾,Classical_Chinese,PRON,25,yes,3.1944,1.0893,0.8528,0.3675,0.838,0.8324,5,4,3,2
116,136,曾子,Classical_Chinese,PROPN,171,yes,-0.7708,0.4334,0.0419,0.2123,0.7869,0.7426,1,1,1,1
117,137,出,Classical_Chinese,VERB,102,yes,2.9746,1.1305,1.0639,0.3589,0.8412,0.8557,5,4,3,2
118,138,門,Classical_Chinese,NOUN,180,yes,-0.5708,0.402,-0.1147,0.2201,0.7845,0.7252,1,1,1,1
119,139,問,Classical_Chinese,ADV,209,yes,-5.2633,-6.7781,2.3649,0.0364,0.2253,0.9998,2,2,1,1
120,140,謂,Classical_Chinese,VERB,35,yes,5.916,-0.5725,1.125,0.4741,0.7086,0.8625,5,4,3,2
121,141,夫子,Classical_Chinese,NOUN,97,yes,1.3224,0.759,1.003,0.2942,0.8123,0.849,1,1,1,1
122,142,忠,Classical_Chinese,VERB,500,yes,-1.083,0.9798,-0.9144,0.2001,0.8295,0.6367,1,1,1,1
123,144,而,Classical_Chinese,PART,178,yes,-0.4254,0.4875,0.2865,0.2258,0.7912,0.7696,1,1,1,1
124,145,已,Classical_Chinese,VERB,263,yes,0.024,0.8758,0.1258,0.2434,0.8214,0.7518,1,1,1,1
125,147,賢,Classical_Chinese,NOUN,267,yes,-1.0149,0.1234,-0.079,0.2027,0.7628,0.7292,1,1,1,1
126,148,思,Classical_Chinese,VERB,155,yes,1.4508,0.5237,0.9559,0.2993,0.794,0.8438,1,1,1,1
127,150,焉,Classical_Chinese,PRON,347,yes,1.8732,1.392,0.806,0.3158,0.8616,0.8272,5,4,3,2
