,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,kazna,Croatian,NOUN,407,yes,-2.0944,-0.5625,2.0742,0.1412,0.1546,0.4907,5,4,3,2
1,6,u,Croatian,ADP,2,yes,14.5112,7.3667,2.8745,0.705,0.6606,0.596,2,2,1,1
2,7,makedonija,Croatian,PROPN,36,yes,3.2599,-1.2498,-0.2194,0.323,0.1107,0.189,3,3,2,2
3,8,neki,Croatian,DET,103,yes,-0.4771,-0.6764,-0.1733,0.1961,0.1473,0.1951,3,3,2,2
4,10,da,Croatian,SCONJ,12,yes,3.3004,-1.2827,0.1032,0.3244,0.1086,0.2315,3,3,2,2
5,11,biti,Croatian,AUX,1,yes,20.0517,9.9993,5.2844,0.8931,0.8286,0.913,2,2,1,1
6,15,napad,Croatian,NOUN,289,yes,0.8181,-1.2441,-0.1143,0.2401,0.1111,0.2028,3,3,2,2
7,16,na,Croatian,ADP,4,yes,7.9316,1.8336,-0.495,0.4816,0.3075,0.1528,1,1,1,1
8,17,sloboda,Croatian,NOUN,288,yes,-0.0545,-0.5449,-0.4188,0.2105,0.1557,0.1628,3,3,2,2
9,18,medij,Croatian,NOUN,148,yes,0.5866,-0.3743,-0.9449,0.2322,0.1666,0.0936,3,3,2,2
10,20,dok,Croatian,SCONJ,113,yes,-2.4134,1.0968,-0.5573,0.1304,0.2605,0.1446,5,4,3,2
11,21,drugi,Croatian,ADJ,44,yes,2.2732,-0.8118,-0.7499,0.2895,0.1387,0.1192,3,3,2,2
12,22,kako,Croatian,ADV,216,yes,5.1812,-0.7726,-0.0448,0.3882,0.1412,0.212,1,1,1,1
13,24,o,Croatian,ADP,16,yes,3.4628,0.3431,-1.1846,0.3299,0.2124,0.062,3,3,2,2
14,25,njegov,Croatian,DET,70,yes,-1.3721,0.512,-1.0532,0.1657,0.2232,0.0793,3,3,2,2
15,26,kazneni,Croatian,ADJ,453,yes,-3.8124,0.2818,3.3087,0.0829,0.2085,0.6531,5,4,3,2
16,33,godina,Croatian,NOUN,13,yes,9.2153,4.8221,1.5812,0.5252,0.4982,0.4259,2,2,1,1
17,35,zbog,Croatian,ADP,72,yes,-0.2449,-0.3353,-0.7329,0.204,0.1691,0.1215,3,3,2,2
18,4132,kretanje,Croatian,NOUN,411,yes,-2.0093,0.0059,0.8779,0.1441,0.1908,0.3334,5,4,3,2
19,38,i,Croatian,CCONJ,3,yes,23.2009,12.6845,5.9454,1.0,1.0,1.0,2,2,1,1
20,42,koji,Croatian,DET,7,yes,6.5395,0.276,-0.2756,0.4343,0.2081,0.1816,1,1,1,1
21,45,makedonski,Croatian,ADJ,105,yes,-1.2727,0.1951,-0.6113,0.1691,0.2029,0.1375,3,3,2,2
22,46,vlada,Croatian,PROPN,475,yes,6.1506,0.614,-0.5414,0.4211,0.2297,0.1467,1,1,1,1
23,47,moći,Croatian,VERB,41,yes,7.7698,0.5025,0.3877,0.4761,0.2225,0.2689,1,1,1,1
24,49,kazati,Croatian,VERB,20,yes,7.1067,0.4254,-0.1271,0.4536,0.2176,0.2012,1,1,1,1
25,50,novinar,Croatian,NOUN,204,yes,-0.3437,0.0078,-0.8636,0.2007,0.191,0.1043,3,3,2,2
26,51,taj,Croatian,DET,11,yes,9.8684,1.8845,0.4904,0.5474,0.3107,0.2824,1,1,1,1
27,2097,poseban,Croatian,ADJ,266,yes,-3.1687,2.4386,-1.3463,0.1047,0.3461,0.0408,5,4,3,2
28,53,balkanski,Croatian,ADJ,318,yes,-2.0818,-0.3977,1.7754,0.1416,0.1651,0.4514,5,4,3,2
29,54,država,Croatian,NOUN,96,yes,3.5583,-0.3785,-0.9551,0.3331,0.1663,0.0922,3,3,2,2
30,52,mali,Croatian,ADJ,449,yes,-3.6719,0.8232,2.089,0.0877,0.243,0.4927,5,4,3,2
31,55,bivši,Croatian,ADJ,83,yes,-2.4886,-0.2628,1.8035,0.1278,0.1737,0.4551,5,4,3,2
32,2105,žrtva,Croatian,NOUN,486,yes,-0.2211,-0.5179,0.0396,0.2048,0.1574,0.2231,3,3,2,2
33,60,četiri,Croatian,NUM,350,yes,-2.5067,0.8543,0.1454,0.1272,0.245,0.237,5,4,3,2
34,63,sud,Croatian,NOUN,97,yes,2.1007,-0.6591,-0.8753,0.2836,0.1484,0.1027,3,3,2,2
35,66,ožujak,Croatian,NOUN,182,yes,-0.8028,-0.43,0.0269,0.1851,0.163,0.2214,3,3,2,2
36,74,dobiti,Croatian,VERB,155,yes,3.2926,-0.5889,-0.7289,0.3241,0.1529,0.122,3,3,2,2
37,76,od,Croatian,ADP,14,yes,4.3516,0.6926,-1.2789,0.3601,0.2347,0.0496,3,3,2,2
38,77,dva,Croatian,NUM,71,yes,0.5661,0.0677,-1.0318,0.2315,0.1948,0.0822,3,3,2,2
39,78,do,Croatian,ADP,27,yes,0.4739,0.4894,-1.3725,0.2284,0.2217,0.0373,3,3,2,2
40,4175,albanac,Croatian,PROPN,410,yes,-0.5399,-0.7813,0.4262,0.194,0.1406,0.2739,3,3,2,2
41,83,što,Croatian,SCONJ,80,yes,-4.8525,4.5975,-1.6103,0.0476,0.4839,0.006,4,4,3,2
42,86,obveza,Croatian,NOUN,236,yes,-0.2461,0.4135,-1.3604,0.204,0.2169,0.0389,3,3,2,2
43,87,prema,Croatian,ADP,46,yes,-0.0946,0.0394,-1.2149,0.2091,0.193,0.0581,3,3,2,2
44,91,korak,Croatian,NOUN,151,yes,3.2676,-0.8046,-0.3162,0.3233,0.1391,0.1763,3,3,2,2
45,95,te,Croatian,CCONJ,60,yes,-0.971,0.2895,-1.0694,0.1794,0.2089,0.0772,3,3,2,2
46,96,institucija,Croatian,NOUN,343,yes,0.6138,-0.0621,-1.2105,0.2332,0.1865,0.0586,3,3,2,2
47,97,ne,Croatian,PART,25,yes,0.9241,-2.0875,0.8459,0.2437,0.0572,0.3292,3,3,2,2
48,98,koristiti,Croatian,VERB,221,yes,1.2028,-0.0449,-1.2345,0.2532,0.1876,0.0555,3,3,2,2
49,99,isti,Croatian,ADJ,330,yes,-1.5288,-0.4002,1.0138,0.1604,0.1649,0.3512,5,4,3,2
50,102,zakon,Croatian,NOUN,82,yes,1.7656,-0.3904,-1.4229,0.2723,0.1656,0.0307,3,3,2,2
51,103,sav,Croatian,DET,186,yes,0.1846,-0.8101,-0.4963,0.2186,0.1388,0.1526,3,3,2,2
52,104,izjaviti,Croatian,VERB,26,yes,5.7097,-0.235,-0.3919,0.4062,0.1755,0.1663,1,1,1,1
53,105,za,Croatian,ADP,6,yes,9.4975,2.6988,-0.2575,0.5348,0.3627,0.184,1,1,1,1
54,106,setimes,Croatian,PROPN,61,yes,-0.9412,-1.896,2.5775,0.1804,0.0695,0.557,5,4,3,2
55,111,a,Croatian,CCONJ,35,yes,1.5768,-1.1111,-0.3112,0.2659,0.1196,0.1769,3,3,2,2
56,112,posebice,Croatian,ADV,268,yes,-2.5337,1.9403,-1.5228,0.1263,0.3143,0.0176,5,4,3,2
57,115,slučaj,Croatian,NOUN,231,yes,0.1117,-0.6,-0.5503,0.2161,0.1522,0.1455,3,3,2,2
58,116,pod,Croatian,ADP,158,yes,-3.4902,2.3416,-1.0042,0.0938,0.3399,0.0858,5,4,3,2
59,120,predstavljati,Croatian,VERB,227,yes,3.3752,-1.0959,-0.4721,0.3269,0.1205,0.1558,3,3,2,2
60,121,borba,Croatian,NOUN,189,yes,1.4524,-1.303,-0.2162,0.2616,0.1073,0.1894,3,3,2,2
61,122,između,Croatian,ADP,118,yes,0.4609,-1.1223,-0.1277,0.228,0.1189,0.2011,3,3,2,2
62,125,njezin,Croatian,DET,171,yes,-3.2732,2.0669,-1.0112,0.1012,0.3224,0.0849,5,4,3,2
63,126,politika,Croatian,NOUN,346,yes,0.5411,-0.2072,-0.551,0.2307,0.1773,0.1454,3,3,2,2
64,2174,srijeda,Croatian,NOUN,198,yes,-0.9062,0.085,-0.3554,0.1816,0.1959,0.1711,3,3,2,2
65,129,sadašnji,Croatian,ADJ,491,yes,-2.4573,0.2393,1.1302,0.1289,0.2057,0.3666,5,4,3,2
66,130,politički,Croatian,ADJ,73,yes,0.1359,-0.4799,-0.7092,0.2169,0.1598,0.1246,3,3,2,2
67,133,htjeti,Croatian,AUX,10,yes,2.7254,-1.1943,-0.2674,0.3049,0.1143,0.1827,3,3,2,2
68,135,nadzor,Croatian,NOUN,322,yes,-0.0514,-0.2591,-0.7917,0.2106,0.1739,0.1137,3,3,2,2
69,136,svaki,Croatian,DET,230,yes,-1.6135,0.2557,-0.2161,0.1575,0.2068,0.1895,5,4,3,2
70,137,slobodan,Croatian,ADJ,367,yes,-2.2988,0.7705,0.2395,0.1343,0.2397,0.2494,5,4,3,2
71,139,mišljenje,Croatian,NOUN,334,yes,-0.1572,-0.1954,-0.5838,0.207,0.178,0.1411,3,3,2,2
72,4235,banka,Croatian,NOUN,460,yes,-0.5916,-0.7067,0.5712,0.1922,0.1454,0.293,3,3,2,2
73,140,protiv,Croatian,ADP,50,yes,-0.9452,0.4492,-1.1726,0.1802,0.2191,0.0636,3,3,2,2
74,141,oni,Croatian,PRON,91,yes,1.5757,-0.754,-0.8213,0.2658,0.1424,0.1098,3,3,2,2
75,143,cilj,Croatian,NOUN,100,yes,4.0579,-0.6629,-0.4974,0.3501,0.1482,0.1525,3,3,2,2
76,2192,uključivati,Croatian,VERB,333,yes,0.6517,-0.7703,-0.8202,0.2344,0.1413,0.11,3,3,2,2
77,145,sebe,Croatian,PRON,5,yes,2.0442,-1.4168,-0.247,0.2817,0.1001,0.1854,3,3,2,2
78,2194,oess,Croatian,PROPN,209,yes,-0.0613,-1.2332,0.2657,0.2102,0.1118,0.2528,3,3,2,2
79,147,pokazati,Croatian,VERB,465,yes,1.0547,-1.4705,0.1496,0.2481,0.0966,0.2376,3,3,2,2
80,142,njihov,Croatian,DET,133,yes,-1.2342,-0.3534,0.1204,0.1704,0.1679,0.2337,5,4,3,2
81,149,kao,Croatian,SCONJ,23,yes,3.27,-0.4692,-0.7906,0.3233,0.1605,0.1139,3,3,2,2
82,144,danas,Croatian,ADV,485,yes,-3.6078,1.4294,0.6993,0.0898,0.2817,0.3099,5,4,3,2
83,153,premijer,Croatian,NOUN,65,yes,2.5572,-1.1955,-0.3231,0.2991,0.1142,0.1754,3,3,2,2
84,159,oporbeni,Croatian,ADJ,448,yes,-3.7889,1.4827,1.0989,0.0837,0.2851,0.3624,5,4,3,2
85,164,dužnosnik,Croatian,NOUN,123,yes,2.0028,-0.171,-1.3324,0.2803,0.1796,0.0426,3,3,2,2
86,168,bilo,Croatian,PART,425,yes,-4.2457,2.4238,0.3996,0.0682,0.3452,0.2704,5,4,3,2
87,169,tvrtka,Croatian,NOUN,126,yes,2.3676,-0.523,-1.2031,0.2927,0.1571,0.0596,3,3,2,2
88,173,ovaj,Croatian,DET,24,yes,1.6753,-0.6288,-1.0985,0.2692,0.1503,0.0734,3,3,2,2
89,175,kriminal,Croatian,NOUN,423,yes,-1.8896,-0.379,1.4235,0.1482,0.1663,0.4051,5,4,3,2
90,177,postojati,Croatian,VERB,214,yes,2.5399,-1.0166,-0.6603,0.2986,0.1256,0.131,3,3,2,2
91,178,zemlja,Croatian,NOUN,15,yes,14.2666,6.7314,3.4171,0.6967,0.6201,0.6674,2,2,1,1
92,179,ali,Croatian,CCONJ,54,yes,0.3331,-1.7777,0.7699,0.2236,0.077,0.3192,3,3,2,2
93,2230,100,Croatian,NUM,396,yes,-2.7336,0.2951,1.5325,0.1195,0.2093,0.4195,5,4,3,2
94,4280,ebrd,Croatian,PROPN,228,yes,-1.09,-0.072,-0.1098,0.1753,0.1859,0.2034,3,3,2,2
95,189,raditi,Croatian,VERB,196,yes,2.925,-0.8672,-0.6489,0.3116,0.1351,0.1325,3,3,2,2
96,190,svoj,Croatian,DET,19,yes,1.7559,-0.0199,-1.4139,0.2719,0.1892,0.0319,3,3,2,2
97,191,posao,Croatian,NOUN,39,yes,1.47,-0.3717,-0.9891,0.2622,0.1668,0.0878,3,3,2,2
98,192,reći,Croatian,VERB,32,yes,4.9239,-0.9165,-0.0169,0.3795,0.132,0.2157,1,1,1,1
99,197,tužitelj,Croatian,NOUN,438,yes,-1.7343,0.8569,-0.7949,0.1534,0.2452,0.1133,5,4,3,2
100,200,svjedok,Croatian,NOUN,293,yes,-0.8549,-0.7391,0.7227,0.1833,0.1433,0.313,3,3,2,2
101,2251,njemačka,Croatian,PROPN,467,yes,-1.2937,-1.1683,1.9905,0.1684,0.1159,0.4797,5,4,3,2
102,204,milijun,Croatian,NOUN,99,yes,-2.0354,-0.0163,1.1978,0.1432,0.1894,0.3755,5,4,3,2
103,205,euro,Croatian,NOUN,68,yes,1.06,-0.3907,-0.7989,0.2483,0.1655,0.1128,3,3,2,2
104,213,sa,Croatian,ADP,9,yes,8.2437,2.0551,-0.5503,0.4922,0.3216,0.1455,1,1,1,1
105,217,preko,Croatian,ADP,286,yes,-3.044,1.595,-0.3181,0.109,0.2923,0.176,5,4,3,2
106,220,turska,Croatian,PROPN,58,yes,3.5368,-0.827,-0.3804,0.3324,0.1377,0.1678,3,3,2,2
107,222,američki,Croatian,ADJ,192,yes,-2.8475,-0.0138,1.9577,0.1156,0.1896,0.4754,5,4,3,2
108,226,riječ,Croatian,NOUN,162,yes,0.4577,-0.9204,-0.3979,0.2279,0.1317,0.1655,3,3,2,2
109,233,mnogo,Croatian,DET,239,yes,0.4076,-1.2521,0.5574,0.2262,0.1106,0.2912,3,3,2,2
110,2282,financijski,Croatian,ADJ,349,yes,-2.703,1.5222,-0.8254,0.1206,0.2876,0.1093,5,4,3,2
111,235,što,Croatian,SCONJ,80,yes,2.1806,-1.0006,-0.4816,0.2864,0.1266,0.1545,3,3,2,2
112,238,imovina,Croatian,NOUN,433,yes,-2.0867,0.9541,-0.3545,0.1415,0.2514,0.1712,5,4,3,2
113,241,ustavan,Croatian,ADJ,391,yes,-4.7788,3.8385,-0.541,0.0501,0.4354,0.1467,4,4,3,2
114,246,imati,Croatian,VERB,34,yes,9.026,1.2349,0.3949,0.5188,0.2693,0.2698,1,1,1,1
115,248,međunarodni,Croatian,ADJ,55,yes,0.4275,0.3508,-1.6563,0.2268,0.2129,0.0,3,3,2,2
116,2298,cipar,Croatian,PROPN,237,yes,-0.545,-0.5261,-0.1165,0.1938,0.1569,0.2026,3,3,2,2
117,257,željeti,Croatian,VERB,137,yes,3.8928,-1.0482,0.119,0.3445,0.1236,0.2335,3,3,2,2
118,258,li,Croatian,PART,106,yes,-1.1441,-1.196,1.4877,0.1735,0.1141,0.4136,5,4,3,2
119,260,ili,Croatian,CCONJ,53,yes,-0.1698,-0.4976,-0.5678,0.2066,0.1587,0.1432,3,3,2,2
120,265,ostati,Croatian,VERB,347,yes,2.0671,-1.726,0.2241,0.2825,0.0803,0.2474,3,3,2,2
121,266,bez,Croatian,ADP,294,yes,-3.141,1.5996,-0.2325,0.1057,0.2926,0.1873,5,4,3,2
122,267,sada,Croatian,ADV,125,yes,-1.4212,-0.7428,1.2311,0.1641,0.1431,0.3798,5,4,3,2
123,272,potpora,Croatian,NOUN,168,yes,1.6265,-0.6799,-0.7193,0.2675,0.1471,0.1233,3,3,2,2
124,273,iz,Croatian,ADP,17,yes,2.4499,-0.819,-0.688,0.2955,0.1382,0.1274,3,3,2,2
125,275,otvoriti,Croatian,ADJ,436,yes,1.1665,-1.5127,-0.1848,0.2519,0.0939,0.1936,3,3,2,2
126,277,ostali,Croatian,ADJ,178,yes,-0.4828,0.0693,-0.7989,0.1959,0.1949,0.1128,3,3,2,2
127,2325,godišnji,Croatian,ADJ,365,yes,-3.7011,2.5049,-0.931,0.0867,0.3503,0.0954,5,4,3,2
128,280,način,Croatian,NOUN,223,yes,0.9125,-1.6381,0.1424,0.2433,0.0859,0.2366,3,3,2,2
129,282,član,Croatian,NOUN,212,yes,0.9811,-0.6648,-0.6864,0.2456,0.148,0.1276,3,3,2,2
130,283,predsjedništvo,Croatian,NOUN,355,yes,-3.5015,1.5824,0.359,0.0934,0.2915,0.2651,5,4,3,2
131,284,bih,Croatian,PROPN,87,yes,0.9912,-0.8229,-0.7361,0.246,0.138,0.1211,3,3,2,2
132,2334,kolega,Croatian,NOUN,279,yes,0.4493,-1.1454,0.1626,0.2276,0.1174,0.2393,3,3,2,2
133,287,stranka,Croatian,NOUN,38,yes,5.7628,0.5955,-0.6087,0.408,0.2285,0.1378,1,1,1,1
134,2343,more,Croatian,NOUN,488,yes,-2.0284,0.1333,0.8964,0.1435,0.199,0.3358,5,4,3,2
135,299,bosna,Croatian,PROPN,202,yes,0.2588,-0.8104,0.0982,0.2211,0.1388,0.2308,3,3,2,2
136,300,hercegovina,Croatian,PROPN,201,yes,-3.4244,-1.2837,5.6833,0.0961,0.1086,0.9655,5,4,3,2
137,303,utorak,Croatian,NOUN,241,yes,-1.7938,0.224,0.0723,0.1514,0.2048,0.2274,5,4,3,2
138,305,mjesto,Croatian,NOUN,104,yes,2.192,-0.7971,-0.7077,0.2867,0.1396,0.1248,3,3,2,2
139,307,sdp,Croatian,PROPN,348,yes,-0.6652,-0.8963,0.5051,0.1897,0.1333,0.2843,3,3,2,2
140,309,članstvo,Croatian,NOUN,78,yes,2.7741,-1.3009,-0.2934,0.3065,0.1074,0.1793,3,3,2,2
141,310,visok,Croatian,ADJ,108,yes,-3.5207,2.2417,-0.8767,0.0928,0.3335,0.1026,5,4,3,2
142,312,hrvatski,Croatian,ADJ,191,yes,-1.4857,-0.7075,0.9508,0.1619,0.1453,0.343,5,4,3,2
143,313,jedan,Croatian,NUM,33,yes,2.4758,-0.4925,-1.1295,0.2964,0.159,0.0693,3,3,2,2
144,319,pun,Croatian,ADJ,395,yes,-3.95,2.2721,-0.0514,0.0782,0.3355,0.2111,5,4,3,2
145,321,sav,Croatian,DET,186,yes,-0.8736,0.1735,-0.9221,0.1827,0.2015,0.0966,3,3,2,2
146,322,nakon,Croatian,SCONJ,205,yes,-3.4867,2.1061,-0.4817,0.0939,0.3249,0.1545,5,4,3,2
147,323,priopćiti,Croatian,VERB,187,yes,2.994,-0.4717,-1.0277,0.314,0.1604,0.0827,3,3,2,2
148,325,iako,Croatian,SCONJ,245,yes,-2.1494,-0.4801,1.8778,0.1393,0.1598,0.4649,5,4,3,2
149,327,mnogi,Croatian,ADJ,319,yes,-2.3123,0.3699,0.6235,0.1338,0.2141,0.2999,5,4,3,2
