,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,3,než,Czech,SCONJ,65,yes,0.5737,0.8421,-0.405,0.2704,0.8395,0.1402,4,4,3,2
1,4,slovo,Czech,NOUN,497,yes,-0.6422,0.9421,0.2105,0.2248,0.8468,0.2168,1,1,1,1
2,5,fax,Czech,NOUN,32,yes,1.1297,-0.1573,-1.1301,0.2913,0.7665,0.0499,1,1,1,1
3,7,především,Czech,ADV,112,yes,-0.0345,0.6652,-0.5787,0.2476,0.8266,0.1185,1,1,1,1
4,9,telefonní,Czech,ADJ,236,yes,-4.1486,-2.5326,-0.6803,0.0932,0.5929,0.1059,2,2,1,1
5,10,linka,Czech,NOUN,296,yes,-1.0959,0.1008,0.3556,0.2078,0.7854,0.2349,1,1,1,1
6,13,moci,Czech,VERB,23,yes,10.8994,-3.1078,0.7919,0.6581,0.5508,0.2892,5,4,3,2
7,14,být,Czech,VERB,22,yes,13.7516,-6.2869,2.7351,0.7652,0.3185,0.5312,3,3,2,2
8,2061,rekonstrukce,Czech,NOUN,350,yes,0.9545,1.4523,-0.2999,0.2847,0.8841,0.1533,4,4,3,2
9,15,systém,Czech,NOUN,408,yes,0.8258,1.507,-0.0354,0.2799,0.8881,0.1862,4,4,3,2
10,18,peníze,Czech,NOUN,221,yes,0.0038,1.6368,0.6424,0.2491,0.8976,0.2706,1,1,1,1
11,23,tento,Czech,DET,21,yes,3.0248,-0.2661,-1.2832,0.3625,0.7585,0.0308,4,4,3,2
12,30,dobře,Czech,ADV,233,yes,-2.7488,0.1661,1.4951,0.1457,0.7901,0.3768,2,2,1,1
13,32,text,Czech,NOUN,273,yes,-3.0264,-1.2355,0.6996,0.1353,0.6877,0.2777,2,2,1,1
14,33,na,Czech,ADP,5,yes,12.1485,-6.3837,1.9578,0.705,0.3114,0.4344,3,3,2,2
15,34,stránka,Czech,NOUN,316,yes,0.7027,0.2704,-1.0893,0.2753,0.7977,0.055,1,1,1,1
16,35,a,Czech,PROPN,240,yes,-1.9652,0.0802,1.2178,0.1751,0.7838,0.3423,1,1,1,1
17,36,4,Czech,NUM,105,yes,-1.3966,0.3787,1.1128,0.1965,0.8057,0.3292,1,1,1,1
18,37,při,Czech,ADP,31,yes,-0.5873,0.2432,-1.0444,0.2269,0.7958,0.0605,1,1,1,1
19,40,trvat,Czech,VERB,479,yes,0.3391,1.1283,0.207,0.2616,0.8605,0.2164,4,4,3,2
20,41,zhruba,Czech,ADV,232,yes,-3.0092,-1.3353,-0.7132,0.1359,0.6804,0.1018,2,2,1,1
21,42,3,Czech,NUM,67,yes,0.1348,-0.3384,-0.372,0.254,0.7532,0.1443,1,1,1,1
22,45,podle,Czech,ADP,62,yes,-0.5123,-0.2865,-1.318,0.2297,0.757,0.0265,1,1,1,1
23,47,se,Czech,PRON,4,yes,2.9981,0.5841,-0.925,0.3615,0.8207,0.0754,4,4,3,2
24,2097,ručení,Czech,NOUN,137,yes,-3.4843,-0.9047,1.5951,0.1181,0.7119,0.3893,2,2,1,1
25,51,jeden,Czech,NUM,46,yes,4.4706,0.2212,-0.6783,0.4167,0.7942,0.1061,5,4,3,2
26,52,za,Czech,ADP,18,yes,3.4382,-0.4105,-1.2565,0.378,0.748,0.0341,4,4,3,2
27,53,10,Czech,NUM,128,yes,0.9674,-0.323,-0.4116,0.2852,0.7544,0.1393,1,1,1,1
