,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2048,rejse,Danish,VERB,471,yes,-0.836,1.1559,0.5427,0.7039,0.8137,0.8686,4,4,3,2
1,1,på,Danish,ADP,7,yes,-7.7813,-1.5854,0.8146,0.4042,0.5873,0.9084,5,4,3,2
2,3,have,Danish,VERB,28,yes,-5.5551,-0.1135,1.0614,0.5003,0.7089,0.9444,5,4,3,2
3,6,til,Danish,ADV,192,yes,-9.4662,-4.0835,-2.6898,0.3316,0.3809,0.3963,3,3,2,2
4,8,i,Danish,ADP,1,yes,-13.5535,-6.6221,-3.8247,0.1552,0.1711,0.2304,3,3,2,2
5,11,af,Danish,ADP,9,yes,-5.212,-0.9777,1.4418,0.5151,0.6375,1.0,5,4,3,2
6,12,at,Danish,SCONJ,13,yes,-5.9699,-0.2342,1.1517,0.4824,0.6989,0.9576,5,4,3,2
7,13,formand,Danish,NOUN,275,yes,0.6703,0.2056,0.084,0.7689,0.7352,0.8016,1,1,1,1
8,16,gå,Danish,VERB,49,yes,-9.7051,-2.2816,0.1837,0.3212,0.5297,0.8162,5,4,3,2
9,17,ind,Danish,ADV,73,yes,-1.2783,0.9861,0.6433,0.6848,0.7997,0.8833,4,4,3,2
10,18,den,Danish,PRON,47,yes,-5.4755,-3.0183,0.7615,0.5037,0.4689,0.9006,5,4,3,2
11,2067,sælge,Danish,VERB,341,yes,-0.3329,0.8348,0.6702,0.7256,0.7872,0.8872,1,1,1,1
12,2069,aften,Danish,NOUN,486,yes,2.5617,-1.2338,0.2651,0.8505,0.6163,0.8281,2,2,1,1
13,22,eller,Danish,CCONJ,54,yes,-0.4698,0.2932,0.827,0.7197,0.7425,0.9102,1,1,1,1
14,23,slet,Danish,ADV,321,yes,4.0997,-3.7046,1.1712,0.9169,0.4122,0.9605,2,2,1,1
15,24,og,Danish,CCONJ,2,yes,-14.0832,-6.5423,-3.8456,0.1324,0.1777,0.2274,3,3,2,2
16,25,ret,Danish,ADV,417,yes,2.5961,-0.6859,-0.5839,0.852,0.6616,0.704,1,1,1,1
17,2073,tilfælde,Danish,NOUN,313,yes,0.7913,0.7538,-0.3949,0.7741,0.7805,0.7316,1,1,1,1
18,28,meget,Danish,ADV,95,yes,-3.3461,1.0362,0.8828,0.5956,0.8038,0.9183,4,4,3,2
19,29,lille,Danish,ADJ,90,yes,1.2524,-0.6395,0.7126,0.794,0.6654,0.8934,1,1,1,1
20,30,grad,Danish,NOUN,403,yes,0.361,-0.2831,0.4466,0.7556,0.6948,0.8546,1,1,1,1
21,32,som,Danish,PRON,42,yes,-2.4898,0.9182,1.0154,0.6326,0.7941,0.9377,4,4,3,2
22,33,en,Danish,PRON,105,yes,-4.052,-2.2102,1.0432,0.5652,0.5356,0.9418,5,4,3,2
23,2082,kort,Danish,ADJ,324,yes,2.7144,0.0673,-0.9993,0.8571,0.7238,0.6433,1,1,1,1
24,36,det,Danish,PRON,8,yes,-12.2031,-3.903,-0.488,0.2135,0.3958,0.718,5,4,3,2
25,37,under,Danish,ADP,116,yes,2.4184,-0.5763,-0.2673,0.8443,0.6706,0.7503,2,2,1,1
26,41,følge,Danish,VERB,191,yes,-0.963,1.1034,0.71,0.6984,0.8094,0.8931,4,4,3,2
27,44,med,Danish,ADV,110,yes,-3.0635,1.4119,0.4783,0.6078,0.8349,0.8592,4,4,3,2
28,45,hel,Danish,ADJ,85,yes,0.5554,-0.531,1.0201,0.7639,0.6744,0.9384,1,1,1,1
29,48,hus,Danish,NOUN,345,yes,1.7337,-0.5743,0.2684,0.8148,0.6708,0.8285,1,1,1,1
30,50,med,Danish,ADV,110,yes,-7.6013,-1.5559,0.9301,0.412,0.5897,0.9252,5,4,3,2
31,51,barn,Danish,NOUN,109,yes,-2.5459,0.5859,1.0303,0.6301,0.7666,0.9399,4,4,3,2
32,2099,folketing,Danish,NOUN,478,yes,2.2763,0.5716,-1.4519,0.8382,0.7655,0.5772,1,1,1,1
33,55,have,Danish,VERB,28,yes,-12.5796,-5.4782,-3.2903,0.1972,0.2657,0.3085,3,3,2,2
34,56,selv,Danish,ADV,124,yes,0.928,1.7362,-1.3614,0.78,0.8617,0.5904,1,1,1,1
35,57,tre,Danish,NUM,103,yes,0.9443,-0.5254,0.7949,0.7807,0.6748,0.9055,1,1,1,1
36,59,være,Danish,VERB,19,yes,-9.384,-2.7489,0.6195,0.3351,0.4911,0.8798,5,4,3,2
37,2108,klokke,Danish,NOUN,291,yes,1.7183,0.0003,-0.3057,0.8141,0.7183,0.7447,1,1,1,1
38,61,for,Danish,ADV,167,yes,-7.1445,-1.605,1.1634,0.4317,0.5856,0.9593,5,4,3,2
39,60,så,Danish,SCONJ,102,yes,-3.3433,0.5318,1.2989,0.5957,0.7622,0.9791,5,4,3,2
40,64,den,Danish,PRON,47,yes,-3.8857,0.0931,1.2422,0.5723,0.7259,0.9708,5,4,3,2
41,65,egen,Danish,ADJ,158,yes,3.7294,-1.3116,-0.3386,0.9009,0.6099,0.7398,2,2,1,1
42,68,hun,Danish,PRON,38,yes,-4.4808,0.746,0.9091,0.5467,0.7799,0.9222,5,4,3,2
43,70,år,Danish,NOUN,35,yes,-10.2805,-4.8069,-3.1685,0.2964,0.3211,0.3263,3,3,2,2
44,2118,olsen,Danish,PROPN,474,yes,5.4791,-5.3027,1.1933,0.9764,0.2801,0.9637,2,2,1,1
45,73,sin,Danish,DET,40,yes,0.6485,-0.6957,1.1278,0.768,0.6608,0.9541,1,1,1,1
46,2124,blandt_andet,Danish,ADV,365,yes,1.7683,-0.6565,0.3539,0.8163,0.664,0.841,1,1,1,1
47,2126,20,Danish,NUM,229,yes,2.7035,-1.1945,0.3318,0.8566,0.6195,0.8378,2,2,1,1
48,79,ville,Danish,VERB,438,yes,-2.7021,1.278,0.9624,0.6234,0.8238,0.93,4,4,3,2
49,80,mand,Danish,NOUN,83,yes,-2.3437,0.437,0.8228,0.6389,0.7543,0.9095,4,4,3,2
50,83,men,Danish,CCONJ,21,yes,-4.7623,0.5533,1.0941,0.5345,0.7639,0.9492,5,4,3,2
51,84,få,Danish,ADJ,367,yes,-15.2259,-7.3323,-4.9778,0.083,0.1125,0.0619,3,3,2,2
52,85,han,Danish,PRON,17,yes,-6.106,-0.2196,1.1134,0.4765,0.7001,0.952,5,4,3,2
53,86,ikke,Danish,ADV,14,yes,-7.8827,-1.4459,0.3416,0.3999,0.5988,0.8392,5,4,3,2
54,87,lov,Danish,NOUN,267,yes,0.3162,0.6598,0.3295,0.7536,0.7727,0.8375,1,1,1,1
55,88,for,Danish,ADV,167,yes,1.1351,1.4948,-1.2211,0.789,0.8417,0.6109,1,1,1,1
56,90,som,Danish,PRON,42,yes,-3.513,0.2653,1.3691,0.5884,0.7402,0.9894,5,4,3,2
57,4186,henrik,Danish,PROPN,460,yes,2.4661,-1.1475,0.0653,0.8464,0.6234,0.7989,2,2,1,1
58,93,bare,Danish,ADV,150,yes,0.0479,2.1547,-1.2002,0.742,0.8962,0.6139,1,1,1,1
59,2143,søge,Danish,VERB,312,yes,0.2389,0.7913,-0.0128,0.7503,0.7836,0.7875,1,1,1,1
