,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,iga,Estonian,DET,86,yes,0.962,-0.2224,0.9283,0.787,0.768,0.8792,2,1,1,1
1,3,kroon,Estonian,NOUN,52,yes,-3.0108,0.9353,0.729,0.6303,0.857,0.8539,4,3,3,2
2,4,tulema,Estonian,VERB,21,yes,-13.7268,-6.5206,-2.9223,0.2077,0.2834,0.3906,3,2,2,2
3,6,isik,Estonian,NOUN,379,yes,1.184,0.7975,-0.9391,0.7957,0.8464,0.6422,2,1,1,1
4,8,eesti,Estonian,ADJ,76,yes,-4.6947,0.0818,0.9583,0.5639,0.7914,0.883,5,4,3,2
5,9,ekspress,Estonian,PROPN,228,yes,0.8392,1.0182,-0.7062,0.7821,0.8634,0.6718,2,1,1,1
6,10,teadma,Estonian,VERB,40,yes,-6.4407,0.3114,0.3072,0.4951,0.809,0.8004,5,4,3,2
7,11,olema,Estonian,VERB,22,yes,-18.9952,-10.2033,-3.8789,0.0,0.0,0.2692,3,2,2,2
8,12,pank,Estonian,PROPN,319,yes,1.3231,-0.6437,1.1033,0.8012,0.7355,0.9014,2,1,1,1
9,13,uurima,Estonian,VERB,211,yes,-2.7893,2.3284,-0.2894,0.6391,0.9642,0.7247,4,3,3,2
10,14,hansa_pank,Estonian,PROPN,72,yes,-0.958,0.3091,0.9496,0.7113,0.8089,0.8819,2,1,1,1
11,17,mis,Estonian,PRON,8,yes,-6.4264,0.0867,0.6341,0.4956,0.7917,0.8419,5,4,3,2
12,18,toimuma,Estonian,VERB,190,yes,-0.9785,1.0596,0.3849,0.7105,0.8666,0.8102,4,3,3,2
13,19,kaks,Estonian,NUM,67,yes,-0.3434,-0.0001,0.9454,0.7355,0.7851,0.8814,2,1,1,1
14,20,aasta,Estonian,NOUN,14,yes,-8.1324,-3.7631,-0.9171,0.4284,0.4955,0.645,5,4,3,2
15,21,tagasi,Estonian,ADV,132,yes,2.9218,0.9798,-3.8958,0.8643,0.8605,0.2671,2,1,1,1
16,22,suvi,Estonian,NOUN,375,yes,-1.3714,-1.4958,-1.9281,0.695,0.67,0.5168,1,1,1,1
17,23,ja,Estonian,CCONJ,2,yes,-13.9761,-6.6858,-2.4362,0.1979,0.2706,0.4523,3,2,2,2
18,26,pank,Estonian,PROPN,319,yes,-1.1769,0.2033,1.3811,0.7026,0.8007,0.9367,2,1,1,1
19,27,ligi,Estonian,ADV,265,yes,3.5332,-2.0805,0.3234,0.8884,0.625,0.8024,1,1,1,1
20,28,miljard,Estonian,NUM,335,yes,2.469,-0.7914,-0.4111,0.8464,0.7242,0.7092,2,1,1,1
21,31,raha,Estonian,NOUN,45,yes,-2.6263,0.7205,1.1161,0.6455,0.8405,0.903,4,3,3,2
22,32,see,Estonian,DET,12,yes,-14.6828,-7.3303,-2.9602,0.1701,0.2211,0.3858,3,2,2,2
