,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,le,French,PRON,25,yes,21.3222,9.2845,1.9474,0.8269,0.7698,0.5066,1,1,1,1
1,4,être,French,VERB,68,yes,15.3878,6.0631,1.0813,0.6475,0.5565,0.4007,1,1,1,1
2,5,devenir,French,VERB,57,yes,4.2902,-0.599,-0.9481,0.312,0.1152,0.1524,2,2,2,2
3,2056,accord,French,NOUN,448,yes,-0.7359,-0.5749,2.1323,0.1601,0.1168,0.5292,3,2,2,2
4,8,dans,French,ADP,10,yes,4.3582,0.6583,-1.0224,0.3141,0.1985,0.1433,2,2,2,2
5,9,ce,French,PRON,23,yes,3.5568,-0.044,-1.0336,0.2898,0.152,0.1419,2,2,2,2
6,11,que,French,ADV,85,yes,4.1199,-0.487,-0.8966,0.3069,0.1227,0.1587,2,2,2,2
7,12,on,French,PRON,33,yes,0.3707,-0.658,-1.1167,0.1935,0.1113,0.1317,3,2,2,2
8,2061,souvent,French,ADV,192,yes,-1.802,1.0624,-1.2049,0.1278,0.2253,0.1209,5,4,3,2
9,14,considérer,French,VERB,320,yes,0.4917,-1.1852,-0.2225,0.1972,0.0764,0.2411,3,2,2,2
10,13,le,French,PRON,25,yes,0.9274,-1.2169,-0.8677,0.2103,0.0743,0.1622,3,2,2,2
11,16,comme,French,SCONJ,109,yes,-2.0329,1.3248,-1.5513,0.1208,0.2427,0.0786,5,4,3,2
12,19,œuvre,French,NOUN,244,yes,0.9799,-1.6733,0.8052,0.2119,0.0441,0.3669,3,2,2,2
13,20,situer,French,VERB,35,yes,2.6576,-1.1561,-0.937,0.2627,0.0783,0.1537,2,2,2,2
14,2067,voir,French,VERB,126,yes,2.2176,-1.3935,-0.6877,0.2493,0.0626,0.1842,2,2,2,2
15,22,de,French,ADP,2,yes,27.0472,12.7595,2.873,1.0,1.0,0.6199,1,1,1,1
16,25,château,French,NOUN,139,yes,0.8222,-0.7941,-0.7268,0.2072,0.1023,0.1794,3,2,2,2
17,30,problème,French,NOUN,312,yes,0.5174,-1.3581,1.2951,0.1979,0.065,0.4268,3,2,2,2
18,32,avoir,French,VERB,24,yes,4.5562,-0.1117,-1.0189,0.3201,0.1475,0.1437,2,2,2,2
19,33,faire,French,AUX,61,yes,8.1677,0.7973,-0.562,0.4292,0.2077,0.1996,2,2,2,2
20,34,il,French,PRON,7,yes,8.7948,1.2211,-0.4944,0.4482,0.2358,0.2079,2,2,2,2
21,35,ne,French,ADV,18,yes,3.2133,-0.807,-0.6471,0.2795,0.1015,0.1892,2,2,2,2
22,36,être,French,VERB,68,yes,3.7607,-1.3409,-0.4146,0.296,0.0661,0.2176,2,2,2,2
23,37,plus,French,ADV,21,yes,3.8769,-1.3464,-0.3042,0.2995,0.0657,0.2311,2,2,2,2
24,38,en,French,PRON,98,yes,13.6663,5.099,0.839,0.5955,0.4926,0.371,1,1,1,1
25,41,auprès,French,ADV,440,yes,-2.3357,1.5032,-1.1547,0.1117,0.2545,0.1271,5,4,3,2
26,42,communauté,French,NOUN,250,yes,0.4168,-0.6643,-0.105,0.1949,0.1109,0.2555,3,2,2,2
27,44,général,French,ADJ,134,yes,-2.9363,2.0566,-0.7654,0.0935,0.2911,0.1747,5,4,3,2
28,45,et,French,CCONJ,6,yes,14.6906,5.6214,0.9644,0.6264,0.5272,0.3864,1,1,1,1
29,46,américain,French,ADJ,127,yes,-1.5783,0.1879,0.4251,0.1346,0.1674,0.3204,5,4,3,2
30,48,toutefois,French,ADV,215,yes,-2.6106,1.4686,0.0487,0.1034,0.2522,0.2743,4,3,3,2
31,4146,mars,French,NOUN,354,yes,-2.2129,1.2217,-0.9712,0.1154,0.2358,0.1495,5,4,3,2
32,2100,obtenir,French,VERB,177,yes,1.8593,-1.2558,-0.895,0.2385,0.0717,0.1589,2,2,2,2
33,53,entrer,French,VERB,136,yes,2.2831,-1.5166,-0.4021,0.2513,0.0545,0.2192,2,2,2,2
34,55,ce,French,PRON,23,yes,5.3861,-0.7572,-0.2212,0.3451,0.1048,0.2413,2,2,2,2
35,57,qui,French,PRON,17,yes,3.1455,-0.1132,-1.3343,0.2774,0.1474,0.1051,2,2,2,2
36,58,mettre,French,VERB,77,yes,3.6642,-1.2945,-0.6487,0.2931,0.0692,0.189,2,2,2,2
37,60,à,French,ADP,3,yes,17.323,6.9103,1.2731,0.706,0.6126,0.4241,1,1,1,1
38,64,avec,French,ADP,20,yes,0.6388,-0.0433,-1.8358,0.2016,0.152,0.0437,3,2,2,2
39,68,comprendre,French,VERB,189,yes,0.432,-1.2716,-0.1401,0.1954,0.0707,0.2512,3,2,2,2
40,71,grand,French,ADJ,37,yes,-0.0599,-0.1783,-1.3932,0.1805,0.1431,0.0979,5,4,3,2
41,73,différent,French,ADJ,395,yes,-3.8601,2.5316,0.8432,0.0656,0.3226,0.3715,4,3,3,2
42,74,lieu,French,NOUN,117,yes,0.0422,-0.5149,0.1218,0.1836,0.1208,0.2833,3,2,2,2
43,76,proposer,French,VERB,338,yes,0.2587,-1.1456,0.2421,0.1901,0.079,0.298,3,2,2,2
