,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,de,Galician,ADP,2,yes,29.0781,-13.3105,6.4753,1.0,0.0,1.0,1,1,1,1
1,2,novo,Galician,ADJ,36,yes,1.9617,1.2586,-0.9057,0.2428,0.9463,0.2211,3,2,2,2
2,5,se,Galician,SCONJ,132,yes,5.2558,-0.149,-1.1984,0.3348,0.8549,0.1903,3,2,2,2
3,2053,santiago,Galician,PROPN,441,yes,-2.9362,-2.4208,0.2577,0.1061,0.7073,0.3439,5,4,3,2
4,6,un,Galician,PRON,183,yes,9.8583,-1.5711,-0.4829,0.4633,0.7625,0.2658,2,1,1,1
5,7,significativo,Galician,ADJ,291,yes,-1.607,-0.4739,0.2281,0.1432,0.8338,0.3408,4,3,3,2
6,9,entre,Galician,ADP,28,yes,0.2552,0.2292,-1.6205,0.1952,0.8794,0.1457,3,2,2,2
7,10,o,Galician,PRON,31,yes,25.8683,-11.2294,5.1038,0.9104,0.1352,0.8553,1,1,1,1
8,11,nivel,Galician,NOUN,96,yes,3.0049,0.7393,-1.383,0.272,0.9126,0.1708,3,2,2,2
9,12,acceso,Galician,NOUN,324,yes,-0.3071,0.4585,0.0741,0.1795,0.8943,0.3245,3,2,2,2
10,13,a,Galician,ADP,7,yes,13.2883,-2.8397,0.17,0.5591,0.6801,0.3347,2,1,1,1
11,14,internet,Galician,PROPN,483,yes,-1.1779,0.4833,2.1554,0.1552,0.896,0.5441,4,3,3,2
12,15,e,Galician,CCONJ,4,yes,17.5433,-6.8148,2.836,0.6779,0.4219,0.616,2,1,1,1
13,16,determinar,Galician,VERB,189,yes,1.118,1.1117,-0.8023,0.2193,0.9368,0.2321,3,2,2,2
14,17,característica,Galician,NOUN,259,yes,0.9524,0.7063,-0.9921,0.2147,0.9104,0.212,3,2,2,2
15,19,territorio,Galician,NOUN,315,yes,0.1654,1.3109,0.5696,0.1927,0.9497,0.3768,3,2,2,2
16,20,que,Galician,SCONJ,11,yes,7.0359,-0.3642,-0.9437,0.3845,0.8409,0.2171,3,2,2,2
17,22,xa,Galician,ADV,50,yes,-1.0955,-0.7552,-1.1271,0.1575,0.8155,0.1978,3,2,2,2
18,24,factor,Galician,NOUN,283,yes,-0.3564,0.2655,-0.3029,0.1781,0.8818,0.2848,3,2,2,2
19,2074,recurso,Galician,NOUN,173,yes,0.4988,0.1901,-1.2163,0.202,0.8769,0.1884,3,2,2,2
