,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,ה,Hebrew,SCONJ,14,yes,22.7644,10.8454,2.879,0.9423,0.8976,0.4945,1,1,1,1
1,2,קהל,Hebrew,NOUN,311,yes,-2.3848,0.917,1.3889,0.1232,0.2139,0.3569,4,4,3,2
2,4,סוף,Hebrew,NOUN,198,yes,0.5534,-1.4443,0.7073,0.2189,0.0513,0.2939,5,4,3,2
3,5,ערבי,Hebrew,ADJ,150,yes,2.4081,-1.8266,0.2248,0.2793,0.0249,0.2493,2,2,2,2
4,6,ו,Hebrew,CCONJ,5,yes,18.4962,8.1504,2.2095,0.8033,0.712,0.4327,1,1,1,1
5,7,יהודי,Hebrew,ADJ,59,yes,3.3124,-1.5549,-0.2669,0.3088,0.0436,0.2039,2,2,2,2
6,9,ב,Hebrew,ADP,3,yes,17.3163,7.028,1.8541,0.7649,0.6347,0.3999,1,1,1,1
7,10,הוא,Hebrew,AUX,20,yes,24.5349,12.3324,3.5539,1.0,1.0,0.5569,1,1,1,1
8,11,עד,Hebrew,ADP,92,yes,-0.1928,-0.1494,-1.4515,0.1946,0.1404,0.0945,5,4,3,2
9,15,איש,Hebrew,NOUN,19,yes,7.3805,0.4738,-0.5846,0.4413,0.1833,0.1746,2,2,2,2
10,18,אל,Hebrew,PROPN,481,yes,-0.9711,0.3215,-0.6936,0.1693,0.1729,0.1645,5,4,3,2
11,21,ל,Hebrew,ADP,6,yes,14.2089,5.2413,1.3297,0.6637,0.5117,0.3514,1,1,1,1
12,23,_,Hebrew,SCONJ,315,yes,1.1775,-1.4943,-0.1655,0.2392,0.0478,0.2133,2,2,2,2
13,28,גם,Hebrew,ADV,15,yes,3.2292,-0.934,-0.9985,0.3061,0.0864,0.1364,2,2,2,2
14,29,כאשר,Hebrew,SCONJ,74,yes,-1.9423,0.709,-0.4012,0.1376,0.1995,0.1915,5,4,3,2
15,34,יד,Hebrew,NOUN,79,yes,0.3634,-1.4373,1.4333,0.2127,0.0517,0.361,5,4,3,2
16,36,על,Hebrew,ADP,10,yes,6.5353,0.1896,-0.7345,0.4137,0.1638,0.1607,2,2,2,2
17,40,חייל,Hebrew,NOUN,154,yes,0.4595,-0.2523,-0.8936,0.2158,0.1333,0.146,5,4,3,2
18,43,כ,Hebrew,ADP,13,yes,2.1947,-0.9426,-0.9684,0.2724,0.0858,0.1391,2,2,2,2
19,45,של,Hebrew,ADP,4,yes,8.2056,1.2296,-0.8464,0.4681,0.2354,0.1504,2,2,2,2
20,47,כדי,Hebrew,ADP,50,yes,-1.0514,0.1593,-0.9498,0.1666,0.1617,0.1409,5,4,3,2
21,48,_,Hebrew,SCONJ,315,yes,6.4362,0.0372,-0.6234,0.4105,0.1533,0.171,2,2,2,2
22,49,ערבי,Hebrew,ADJ,150,yes,-1.7929,0.9619,-0.7798,0.1425,0.217,0.1565,5,4,3,2
23,51,נסע,Hebrew,VERB,438,yes,-0.4112,-0.8305,0.7179,0.1875,0.0935,0.2949,5,4,3,2
24,52,איבד,Hebrew,VERB,260,yes,0.9964,-1.2442,-0.5758,0.2333,0.065,0.1754,2,2,2,2
25,53,את,Hebrew,ADP,8,yes,8.5206,0.6358,-0.4248,0.4784,0.1945,0.1893,2,2,2,2
26,58,כש,Hebrew,SCONJ,72,yes,-1.3384,0.6742,-1.5638,0.1573,0.1971,0.0841,5,4,3,2
27,63,לא,Hebrew,ADV,12,yes,6.5046,0.189,-0.9889,0.4127,0.1637,0.1372,2,2,2,2
28,66,ש,Hebrew,SCONJ,7,yes,12.1186,4.594,0.9266,0.5956,0.4671,0.3142,1,1,1,1
29,67,לפני,Hebrew,ADP,102,yes,-0.2894,-0.2301,-0.6872,0.1915,0.1349,0.1651,5,4,3,2
30,68,בית,Hebrew,NOUN,21,yes,3.5761,-1.2088,-0.6359,0.3174,0.0675,0.1698,2,2,2,2
31,70,הר,Hebrew,NOUN,393,yes,-1.523,0.1233,1.3571,0.1513,0.1592,0.3539,5,4,3,2
32,73,אבן,Hebrew,NOUN,440,yes,-3.508,1.4758,3.7466,0.0866,0.2524,0.5747,4,4,3,2
33,75,ישראל,Hebrew,PROPN,22,yes,2.9868,-0.7935,-0.8176,0.2982,0.0961,0.1531,2,2,2,2
34,79,כך,Hebrew,PROPN,161,yes,-1.7647,0.4302,0.7017,0.1434,0.1803,0.2934,5,4,3,2
35,81,ביקש,Hebrew,VERB,243,yes,1.0665,-1.1169,-0.8295,0.2356,0.0738,0.152,2,2,2,2
36,82,מ,Hebrew,ADP,9,yes,9.2542,1.1374,-0.3505,0.5023,0.229,0.1962,2,2,2,2
37,83,שלא,Hebrew,ADV,348,yes,-2.8829,2.2539,-1.4299,0.107,0.3059,0.0965,3,3,3,2
38,84,פגע,Hebrew,VERB,386,yes,0.2722,-0.5366,-1.0467,0.2097,0.1138,0.1319,2,2,2,2
39,88,אחרי,Hebrew,ADP,108,yes,-0.5242,0.1125,-1.0236,0.1838,0.1585,0.134,5,4,3,2
40,89,הלוויה,Hebrew,NOUN,372,yes,-1.4462,-0.2693,2.3815,0.1538,0.1322,0.4486,4,4,3,2
41,90,הלך,Hebrew,VERB,113,yes,1.3923,-1.081,-0.8098,0.2462,0.0763,0.1538,2,2,2,2
42,2136,בגלל,Hebrew,ADP,364,yes,-2.6988,0.1581,4.4166,0.113,0.1616,0.6365,4,4,3,2
43,92,כול,Hebrew,NOUN,340,yes,-2.3218,1.1107,0.5865,0.1253,0.2272,0.2828,5,4,3,2
44,93,אחד,Hebrew,NUM,44,yes,2.1768,-1.9014,-0.0639,0.2718,0.0198,0.2227,2,2,2,2
45,94,מוות,Hebrew,NOUN,73,yes,2.1038,-1.2388,-0.587,0.2694,0.0654,0.1744,2,2,2,2
46,98,קשה,Hebrew,AUX,480,yes,-0.1049,-1.1313,0.8753,0.1975,0.0728,0.3094,5,4,3,2
47,99,הוציא,Hebrew,VERB,416,yes,0.2594,-1.1041,-0.0176,0.2093,0.0747,0.227,5,4,3,2
48,102,חברה,Hebrew,NOUN,156,yes,0.4393,-1.4884,0.8949,0.2152,0.0482,0.3112,5,4,3,2
49,104,רק,Hebrew,ADV,31,yes,1.4,-0.6426,-1.4081,0.2465,0.1065,0.0985,2,2,2,2
50,105,תוך,Hebrew,ADP,463,yes,-3.9305,3.3804,-2.3759,0.0729,0.3835,0.0091,3,3,3,2
51,110,מאיר,Hebrew,PROPN,169,yes,-1.7966,0.9555,-0.472,0.1424,0.2165,0.185,5,4,3,2
52,111,כהנא,Hebrew,PROPN,28,yes,2.7772,-1.5207,-0.5241,0.2913,0.046,0.1802,2,2,2,2
53,113,עכשיו,Hebrew,ADV,254,yes,-3.1744,2.1941,-1.5128,0.0975,0.3018,0.0888,3,3,3,2
54,114,קרא,Hebrew,VERB,196,yes,1.0351,-1.0051,-0.8508,0.2346,0.0815,0.15,2,2,2,2
55,119,מסע,Hebrew,NOUN,105,yes,1.4568,-1.5709,0.1299,0.2483,0.0425,0.2406,2,2,2,2
56,122,היה,Hebrew,VERB,54,yes,4.1527,-0.7669,-1.0935,0.3361,0.0979,0.1276,2,2,2,2
57,124,נמצא,Hebrew,VERB,191,yes,1.871,-1.3544,-0.655,0.2618,0.0574,0.1681,2,2,2,2
