,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,fögnuður,Icelandic,NOUN,226,yes,-0.6519,0.6003,0.1102,0.2188,0.7797,0.2647,2,1,1,1
1,2,verða,Icelandic,AUX,140,yes,8.0862,-1.0976,-0.1552,0.5769,0.6557,0.2377,5,4,3,2
2,3,þessi,Icelandic,DET,30,yes,2.5546,0.5553,-1.328,0.3502,0.7764,0.1185,3,2,2,2
3,4,heimur,Icelandic,NOUN,48,yes,2.9713,0.4455,-1.1618,0.3673,0.7684,0.1354,3,2,2,2
4,5,sá,Icelandic,DET,9,yes,11.6871,-2.851,0.2294,0.7244,0.5277,0.2768,5,4,3,2
5,7,er,Icelandic,SCONJ,4,yes,8.2506,-0.5602,-0.3738,0.5836,0.6949,0.2155,5,4,3,2
6,8,góður,Icelandic,ADJ,36,yes,3.7183,0.6097,-1.0066,0.3979,0.7804,0.1512,3,2,2,2
7,9,maður,Icelandic,NOUN,19,yes,9.6345,-1.6961,0.2413,0.6403,0.612,0.278,5,4,3,2
8,10,fagna,Icelandic,VERB,256,yes,1.0138,2.5695,0.8475,0.287,0.9235,0.3396,3,2,2,2
9,11,engill,Icelandic,NOUN,75,yes,1.9348,0.9113,-1.0105,0.3248,0.8024,0.1508,3,2,2,2
10,13,á,Icelandic,ADP,15,yes,2.6514,-0.1278,-1.7531,0.3541,0.7265,0.0753,3,2,2,2
11,15,sinn,Icelandic,NOUN,400,yes,2.774,-1.4978,-2.494,0.3592,0.6265,0.0,3,2,2,2
12,17,þjónusta,Icelandic,NOUN,372,yes,-0.8335,-0.3485,-0.7403,0.2113,0.7104,0.1782,2,1,1,1
13,18,kennimaður,Icelandic,NOUN,421,yes,-2.6905,-0.7089,0.9381,0.1352,0.6841,0.3488,2,1,1,1
14,20,bera,Icelandic,VERB,56,yes,7.2336,-0.8165,-0.4569,0.5419,0.6762,0.207,5,4,3,2
15,22,og,Icelandic,ADV,65,yes,18.2418,-8.1395,6.1937,0.9931,0.1415,0.8829,4,3,3,2
16,23,vígsla,Icelandic,NOUN,399,yes,-1.9449,0.6965,1.5728,0.1658,0.7867,0.4133,2,1,1,1
17,24,yfir,Icelandic,ADP,98,yes,-1.0287,0.2794,0.1612,0.2033,0.7562,0.2698,2,1,1,1
18,26,hann,Icelandic,PRON,1,yes,14.3843,-3.7404,1.6858,0.835,0.4627,0.4248,5,4,3,2
19,27,vera,Icelandic,VERB,392,yes,17.1914,-7.864,6.5308,0.95,0.1616,0.9172,4,3,3,2
20,29,að,Icelandic,ADP,33,yes,5.078,0.8774,-0.4952,0.4536,0.7999,0.2031,3,2,2,2
21,30,þjóna,Icelandic,VERB,269,yes,0.6066,1.9611,0.3027,0.2703,0.879,0.2842,3,2,2,2
22,31,guð,Icelandic,PROPN,10,yes,9.422,-1.5864,0.2644,0.6316,0.62,0.2803,5,4,3,2
23,2080,auglit,Icelandic,NOUN,351,yes,-1.6463,-0.7889,-0.3841,0.178,0.6782,0.2144,2,1,1,1
24,33,allur,Icelandic,DET,12,yes,7.0645,-0.7567,-1.1078,0.535,0.6806,0.1409,5,4,3,2
25,34,hátíð,Icelandic,NOUN,80,yes,1.3553,0.0747,-1.5053,0.301,0.7413,0.1005,3,2,2,2
26,2083,hlýða,Icelandic,VERB,423,yes,-0.5218,1.1062,0.4525,0.2241,0.8166,0.2994,2,1,1,1
27,35,með,Icelandic,ADP,29,yes,1.3641,-0.3469,-1.9847,0.3014,0.7105,0.0518,3,2,2,2
28,32,skapari,Icelandic,NOUN,328,yes,-1.9253,-2.0891,-1.6862,0.1666,0.5833,0.0821,1,1,1,1
29,38,annar,Icelandic,PRON,32,yes,4.6057,-0.0778,-1.2021,0.4342,0.7301,0.1313,3,2,2,2
30,39,veita,Icelandic,VERB,81,yes,4.8211,0.741,-0.4833,0.4431,0.7899,0.2043,3,2,2,2
31,41,í,Icelandic,ADP,8,yes,5.2199,-1.5365,-1.9737,0.4594,0.6236,0.0529,3,2,2,2
32,43,þú,Icelandic,PRON,25,yes,4.19,0.9647,-0.5466,0.4172,0.8063,0.1979,3,2,2,2
33,44,slíkur,Icelandic,PRON,174,yes,-2.2613,-1.9133,-1.1264,0.1528,0.5961,0.139,1,1,1,1
34,45,sem,Icelandic,SCONJ,24,yes,4.0447,0.2704,-1.088,0.4112,0.7556,0.1429,3,2,2,2
35,46,til,Icelandic,ADP,14,yes,5.2489,-0.7016,-1.5727,0.4606,0.6846,0.0936,3,2,2,2
36,47,hver,Icelandic,PRON,101,yes,0.3529,-0.1398,-1.3482,0.2599,0.7256,0.1164,3,2,2,2
37,48,gera,Icelandic,VERB,38,yes,8.9762,-1.4653,0.1492,0.6133,0.6288,0.2686,5,4,3,2
38,49,bók,Icelandic,NOUN,462,yes,-3.014,-0.475,1.4025,0.122,0.7011,0.396,2,1,1,1
