,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,adalah,Indonesian,AUX,8,yes,5.0917,-0.5299,1.2049,0.4192,0.7742,0.9337,4,3,3,2
1,3,buah,Indonesian,NOUN,450,yes,1.2569,0.8399,0.738,0.2778,0.8793,0.8894,5,4,3,2
2,4,desa,Indonesian,PROPN,213,yes,2.0783,2.0039,-0.61,0.3081,0.9686,0.7614,5,4,3,2
3,5,yang,Indonesian,PRON,1,yes,12.1445,-5.1566,-1.5493,0.6792,0.4191,0.6722,1,1,1,1
4,6,letak,Indonesian,VERB,77,yes,2.8755,1.3622,0.0648,0.3375,0.9194,0.8255,5,4,3,2
5,7,di,Indonesian,VERB,453,yes,10.8974,-4.5944,-1.2504,0.6332,0.4622,0.7006,1,1,1,1
6,8,camat,Indonesian,NOUN,61,yes,1.2141,2.2456,-1.2875,0.2762,0.9872,0.697,5,4,3,2
7,2052,semua,Indonesian,PRON,470,yes,-2.2221,-0.2899,-0.9195,0.1496,0.7926,0.732,3,2,2,2
8,13,jawa,Indonesian,PROPN,51,yes,0.9537,1.6442,-1.1326,0.2666,0.941,0.7118,5,4,3,2
9,14,tengah,Indonesian,NOUN,500,yes,-3.6253,-0.1571,-2.8688,0.0979,0.8028,0.5469,3,2,2,2
10,15,indonesia,Indonesian,PROPN,16,yes,3.0362,0.9104,0.5584,0.3434,0.8847,0.8723,5,4,3,2
11,2065,rupa,Indonesian,VERB,485,yes,-0.8397,1.2846,-1.9799,0.2005,0.9134,0.6313,3,2,2,2
12,4115,jaring,Indonesian,NOUN,423,yes,-0.7212,0.0882,1.0667,0.2049,0.8216,0.9206,5,4,3,2
13,20,terjadi,Indonesian,VERB,168,yes,2.5,1.2016,0.3475,0.3236,0.907,0.8523,5,4,3,2
14,19,biasanya,Indonesian,ADV,185,yes,-1.6818,0.5908,-1.0131,0.1695,0.8602,0.7231,3,2,2,2
15,22,atau,Indonesian,CCONJ,20,yes,2.4031,0.555,1.1158,0.3201,0.8574,0.9253,5,4,3,2
16,23,dengan,Indonesian,SCONJ,60,yes,-0.3042,0.7612,0.5797,0.2203,0.8732,0.8743,5,4,3,2
17,25,rumah,Indonesian,NOUN,197,yes,0.0393,0.7379,1.0889,0.2329,0.8715,0.9227,5,4,3,2
18,26,dan,Indonesian,CCONJ,2,yes,20.8483,-10.6176,-3.7495,1.0,0.0,0.4633,1,1,1,1
19,28,semua,Indonesian,PRON,470,yes,-2.6115,-0.3068,-0.6847,0.1352,0.7913,0.7543,3,2,2,2
20,30,dia,Indonesian,PRON,4,yes,16.5311,-7.6249,-2.8011,0.8409,0.2297,0.5533,1,1,1,1
21,31,ketika,Indonesian,SCONJ,133,yes,-0.6213,0.7505,0.1474,0.2086,0.8724,0.8333,5,4,3,2
22,32,mereka,Indonesian,PRON,24,yes,4.2227,0.5454,0.766,0.3871,0.8567,0.892,4,3,3,2
23,34,diri,Indonesian,PRON,121,yes,-0.7601,-0.289,1.1624,0.2035,0.7927,0.9297,5,4,3,2
24,36,ini,Indonesian,DET,6,yes,7.289,-0.7672,0.4774,0.5002,0.756,0.8646,4,3,3,2
25,37,ikut,Indonesian,VERB,97,yes,5.4848,0.3509,0.061,0.4337,0.8418,0.8251,4,3,3,2
26,38,oleh,Indonesian,ADP,12,yes,2.3794,0.1722,1.4845,0.3192,0.8281,0.9603,5,4,3,2
27,41,pakai,Indonesian,NOUN,471,yes,2.7619,0.7679,0.7378,0.3333,0.8738,0.8894,5,4,3,2
28,46,pada,Indonesian,ADP,5,yes,4.5401,-0.7518,1.2985,0.3988,0.7571,0.9426,4,3,3,2
29,47,tahun,Indonesian,NOUN,11,yes,15.3011,-7.2711,-2.5123,0.7955,0.2568,0.5807,1,1,1,1
30,2096,klub,Indonesian,NOUN,189,yes,1.0727,0.6726,1.2361,0.271,0.8665,0.9367,5,4,3,2
31,50,jerman,Indonesian,PROPN,210,yes,-0.011,0.9634,-0.2791,0.2311,0.8888,0.7928,5,4,3,2
32,51,dengan,Indonesian,SCONJ,60,yes,4.6747,-0.142,1.1689,0.4038,0.8039,0.9303,4,3,3,2
33,54,masih,Indonesian,ADV,105,yes,-0.3693,0.8062,-0.5186,0.2179,0.8767,0.7701,5,4,3,2
