,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,as,Irish,ADP,27,yes,-2.4894,-0.391,-1.447,0.7735,0.0795,0.2116,3,3,2,2
1,2,lár,Irish,NOUN,332,yes,1.6431,0.6613,0.3907,0.8815,0.1338,0.3438,5,4,3,2
2,3,an,Irish,PART,169,yes,-12.215,4.9677,1.3205,0.5193,0.3559,0.4108,1,1,1,1
3,5,is,Irish,PART,109,yes,-7.5143,2.1432,0.2828,0.6422,0.2102,0.3361,3,3,2,2
4,6,ea,Irish,PRON,333,yes,1.1644,0.0314,0.545,0.869,0.1013,0.3549,5,4,3,2
5,9,sula,Irish,SCONJ,271,yes,1.9411,0.1628,1.5546,0.8893,0.1081,0.4276,5,4,3,2
6,10,téigh,Irish,VERB,64,yes,-6.3789,-0.0863,-1.0647,0.6718,0.0952,0.2391,1,1,1,1
7,11,sí,Irish,PRON,46,yes,-0.5898,-0.9268,-0.4393,0.8231,0.0519,0.2841,3,3,2,2
8,12,a,Irish,PRON,400,yes,-5.2731,-0.4954,-1.4698,0.7007,0.0741,0.2099,3,3,2,2
9,14,i,Irish,PART,171,yes,-11.6758,2.0855,-0.1551,0.5334,0.2072,0.3045,1,1,1,1
10,16,thiar,Irish,ADV,361,yes,2.5306,1.0955,1.0971,0.9047,0.1562,0.3947,5,4,3,2
11,17,ó,Irish,SCONJ,309,yes,-4.1991,-0.7964,-1.3229,0.7288,0.0586,0.2205,3,3,2,2
12,19,anuas,Irish,ADV,247,yes,1.8659,0.0718,1.7653,0.8873,0.1034,0.4428,5,4,3,2
13,2068,mícheál,Irish,PROPN,497,yes,1.2445,0.2376,0.4163,0.8711,0.1119,0.3457,5,4,3,2
14,21,solas,Irish,NOUN,385,yes,0.5554,-0.5744,0.4153,0.8531,0.0701,0.3456,3,3,2,2
15,22,ní,Irish,NOUN,339,yes,0.0897,-1.0036,0.411,0.8409,0.0479,0.3453,3,3,2,2
16,23,bí,Irish,VERB,2,yes,-32.0876,17.459,9.5068,0.0,1.0,1.0,2,2,1,1
17,24,ar,Irish,VERB,292,yes,-12.8473,4.4902,1.4001,0.5028,0.3312,0.4165,1,1,1,1
18,25,fáil,Irish,NOUN,83,yes,-1.4042,-1.1842,-0.5106,0.8019,0.0386,0.279,3,3,2,2
19,26,ach,Irish,SCONJ,16,yes,-4.542,-0.6622,-1.2323,0.7198,0.0655,0.227,3,3,2,2
20,27,oiread,Irish,NOUN,170,yes,-0.9604,-1.4112,-0.0068,0.8134,0.0269,0.3152,3,3,2,2
21,28,oíche,Irish,NOUN,156,yes,-0.8411,-1.163,-0.3108,0.8166,0.0397,0.2933,3,3,2,2
22,29,nó,Irish,CCONJ,24,yes,-2.9461,-0.6061,-1.509,0.7616,0.0684,0.2071,3,3,2,2
23,30,mar,Irish,SCONJ,51,yes,-2.2022,-1.2441,-0.888,0.781,0.0355,0.2518,3,3,2,2
24,2071,foghlaim,Irish,NOUN,496,yes,-0.3047,-1.4517,0.5059,0.8306,0.0248,0.3521,3,3,2,2
25,34,ansin,Irish,ADV,111,yes,-0.2226,-0.6231,-0.2307,0.8327,0.0676,0.2991,3,3,2,2
