,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,4,da,Italian,ADP,9,yes,-7.6354,1.4277,-0.7346,0.5517,0.2538,0.2979,4,3,3,2
1,5,il,Italian,DET,1,yes,-18.0555,8.3632,2.4687,0.2014,0.7424,0.7054,1,1,1,1
2,9,a,Italian,ADP,3,yes,-14.6218,6.361,1.5356,0.3168,0.6013,0.5867,1,1,1,1
3,13,uno,Italian,NUM,265,yes,-7.25,1.7105,-0.313,0.5646,0.2738,0.3515,4,3,3,2
4,15,avere,Italian,VERB,26,yes,-3.9149,-0.5891,-0.8308,0.6768,0.1118,0.2857,5,4,3,2
5,16,dovere,Italian,AUX,43,yes,-1.2354,-1.1575,-0.6814,0.7668,0.0717,0.3047,5,4,3,2
6,17,essere,Italian,VERB,25,yes,-14.7489,6.2377,1.592,0.3125,0.5927,0.5939,1,1,1,1
7,6161,casarin,Italian,PROPN,343,yes,2.0592,0.7226,0.9305,0.8776,0.2042,0.5097,3,2,2,2
8,2067,padre,Italian,NOUN,350,yes,0.5789,-0.7846,0.9338,0.8278,0.098,0.5101,3,2,2,2
9,19,per,Italian,ADP,13,yes,-7.024,0.7786,-0.8147,0.5722,0.2081,0.2877,4,3,3,2
10,20,fuga,Italian,NOUN,311,yes,-0.0563,-1.4435,1.4314,0.8065,0.0516,0.5734,5,4,3,2
11,21,di,Italian,ADP,2,yes,-24.0454,12.0207,3.7728,0.0,1.0,0.8713,1,1,1,1
12,6164,matarrese,Italian,PROPN,494,yes,5.0785,5.6541,-2.4797,0.9791,0.5515,0.0759,2,2,2,2
13,25,in,Italian,ADP,5,yes,-6.5189,1.4004,-0.5423,0.5892,0.2519,0.3224,4,3,3,2
14,27,che,Italian,ADP,465,yes,-6.0395,-0.2714,-0.671,0.6053,0.1342,0.306,4,3,3,2
15,31,vita,Italian,NOUN,93,yes,-2.4549,-1.0074,-0.9003,0.7258,0.0823,0.2768,5,4,3,2
16,34,uno,Italian,NUM,265,yes,-5.2564,-0.5535,-0.7807,0.6317,0.1143,0.292,4,3,3,2
17,38,opera,Italian,NOUN,239,yes,-0.3287,-1.006,0.2147,0.7973,0.0824,0.4187,5,4,3,2
18,41,fare,Italian,VERB,20,yes,-15.9567,7.151,2.3171,0.2719,0.657,0.6861,1,1,1,1
19,2090,difendere,Italian,VERB,446,yes,-0.5054,-0.9835,-0.6937,0.7914,0.084,0.3031,5,4,3,2
20,46,e,Italian,CCONJ,7,yes,-13.8752,5.9853,1.4207,0.3419,0.5749,0.5721,1,1,1,1
21,57,avere,Italian,VERB,26,yes,-10.0356,1.8825,-0.0181,0.471,0.2859,0.389,4,3,3,2
22,63,luce,Italian,NOUN,415,yes,0.463,0.0621,-0.2809,0.8239,0.1576,0.3556,3,2,2,2
23,64,si,Italian,PRON,11,yes,-3.2056,-0.9914,-0.6369,0.7006,0.0834,0.3103,5,4,3,2
24,2112,pivetti,Italian,PROPN,278,yes,1.9614,0.0914,2.0428,0.8743,0.1597,0.6512,3,2,2,2
