,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,に,Japanese,SCONJ,95,yes,-19.4456,7.9998,-2.184,0.0264,0.905,0.3232,1,1,1,1
1,3,は,Japanese,ADP,3,yes,-19.5859,7.7439,-2.1452,0.0207,0.8827,0.3285,1,1,1,1
2,6,の,Japanese,SCONJ,22,yes,-20.0987,9.0887,-2.3098,0.0,1.0,0.3059,1,1,1,1
3,8,が,Japanese,SCONJ,21,yes,-10.6882,1.9687,0.286,0.3798,0.3788,0.6626,2,2,2,2
4,4105,公,Japanese,NOUN,311,yes,0.754,-0.0787,-0.3445,0.8415,0.2001,0.576,4,3,3,2
5,9,ある,Japanese,PRON,221,yes,-10.2424,1.1419,0.3382,0.3978,0.3066,0.6698,2,2,2,2
6,10,の,Japanese,SCONJ,22,yes,-3.6158,-1.6571,0.8825,0.6652,0.0624,0.7446,3,2,2,2
7,11,だ,Japanese,AUX,7,yes,-13.651,4.6878,-1.0906,0.2602,0.616,0.4734,1,1,1,1
8,14,より,Japanese,ADP,111,yes,1.1573,0.1598,1.051,0.8578,0.2209,0.7678,4,3,3,2
9,15,上,Japanese,NOUN,149,yes,-0.3731,-0.4053,0.8436,0.7961,0.1716,0.7393,4,3,3,2
10,2062,ただ,Japanese,CCONJ,312,yes,2.3298,0.6585,-1.4504,0.9051,0.2644,0.424,5,4,3,2
11,17,を,Japanese,ADP,4,yes,-13.7251,5.4254,-1.2084,0.2572,0.6804,0.4572,1,1,1,1
12,19,こと,Japanese,NOUN,20,yes,-7.9798,0.0568,0.4109,0.4891,0.2119,0.6798,2,2,2,2
13,21,的,Japanese,PART,31,yes,2.1107,1.1369,1.2762,0.8963,0.3062,0.7987,4,3,3,2
14,22,なる,Japanese,VERB,19,yes,-15.9819,5.9794,-1.6278,0.1661,0.7287,0.3996,1,1,1,1
15,23,が,Japanese,SCONJ,21,yes,-3.3621,-1.5564,0.8294,0.6754,0.0712,0.7373,3,2,2,2
16,24,その,Japanese,DET,28,yes,-0.8261,-0.1509,1.1875,0.7778,0.1938,0.7865,4,3,3,2
17,26,一,Japanese,NUM,60,yes,0.3089,-0.4412,0.7778,0.8236,0.1685,0.7302,4,3,3,2
18,27,つ,Japanese,NOUN,85,yes,-2.3067,-1.0164,0.9007,0.718,0.1183,0.7471,3,2,2,2
19,28,この,Japanese,DET,36,yes,-1.393,-0.2366,1.1105,0.7549,0.1863,0.776,4,3,3,2
20,31,また,Japanese,ADV,400,yes,3.9165,2.8823,-0.1118,0.9692,0.4585,0.608,5,4,3,2
21,32,行く,Japanese,VERB,74,yes,-4.7576,-1.2709,0.5927,0.6191,0.0961,0.7048,3,2,2,2
22,33,たい,Japanese,AUX,107,yes,1.1213,-0.2595,-0.4731,0.8564,0.1843,0.5583,4,3,3,2
23,36,する,Japanese,VERB,24,yes,-13.4995,4.6412,-1.2091,0.2663,0.6119,0.4571,1,1,1,1
24,37,せる,Japanese,AUX,68,yes,2.8992,1.1713,-1.6024,0.9281,0.3092,0.4031,5,4,3,2
25,38,て,Japanese,SCONJ,8,yes,-8.1492,2.2016,-0.4046,0.4822,0.3991,0.5677,3,2,2,2
26,39,くれる,Japanese,VERB,192,yes,3.7155,3.3614,1.8767,0.9611,0.5003,0.8813,5,4,3,2
27,40,お,Japanese,NOUN,33,yes,1.76,0.6974,0.9918,0.8821,0.2678,0.7596,4,3,3,2
28,41,店,Japanese,NOUN,59,yes,-4.3389,-1.2131,0.8454,0.636,0.1011,0.7395,3,2,2,2
29,42,手,Japanese,NOUN,150,yes,-0.4383,-1.1901,0.145,0.7934,0.1031,0.6433,3,2,2,2
30,43,持つ,Japanese,VERB,90,yes,-2.6571,-1.4504,0.9848,0.7039,0.0804,0.7587,3,2,2,2
31,44,た,Japanese,AUX,5,yes,-7.8884,-0.1062,0.6442,0.4928,0.1977,0.7119,2,2,2,2
32,47,使う,Japanese,VERB,102,yes,-2.5667,-1.2003,1.3011,0.7075,0.1023,0.8022,3,2,2,2
33,50,や,Japanese,ADP,25,yes,-0.2609,0.0813,1.2789,0.8006,0.2141,0.7991,4,3,3,2
34,52,と,Japanese,SCONJ,47,yes,-15.1078,5.1378,-1.3479,0.2014,0.6553,0.4381,1,1,1,1
35,2101,聞く,Japanese,VERB,343,yes,-0.2198,-0.7316,0.9912,0.8022,0.1431,0.7596,3,2,2,2
36,54,同様,Japanese,ADJ,420,yes,1.6262,0.603,-0.0226,0.8767,0.2596,0.6202,4,3,3,2
37,58,する,Japanese,VERB,24,yes,0.1269,-0.3998,1.0801,0.8162,0.1721,0.7718,4,3,3,2
38,59,くる,Japanese,VERB,73,yes,-0.4128,-0.7882,0.4771,0.7945,0.1382,0.6889,3,2,2,2
39,60,3,Japanese,NUM,38,yes,-1.9331,-1.0406,0.9946,0.7331,0.1162,0.76,3,2,2,2
40,64,で,Japanese,SCONJ,80,yes,-8.0924,1.1224,0.6863,0.4845,0.3049,0.7177,2,2,2,2
41,65,2,Japanese,NUM,32,yes,-1.839,-0.8978,0.9907,0.7369,0.1286,0.7595,3,2,2,2
42,70,これ,Japanese,PRON,48,yes,-2.5651,-2.0834,0.2472,0.7076,0.0252,0.6573,3,2,2,2
43,71,大学,Japanese,NOUN,105,yes,0.2271,-0.3482,0.3041,0.8203,0.1766,0.6651,4,3,3,2
44,75,よ,Japanese,PART,472,yes,2.7236,0.6191,-2.9197,0.921,0.261,0.2221,5,4,3,2
45,78,年度,Japanese,NOUN,335,yes,0.374,0.0698,0.9809,0.8262,0.2131,0.7582,4,3,3,2
46,81,駅,Japanese,NOUN,75,yes,-2.1703,-1.2161,0.5543,0.7235,0.1009,0.6995,3,2,2,2
47,85,から,Japanese,SCONJ,225,yes,-3.3083,-0.706,1.1688,0.6776,0.1454,0.784,3,2,2,2
48,2135,業,Japanese,NOUN,425,yes,1.7248,0.4286,-0.9222,0.8807,0.2444,0.4966,4,3,3,2
49,91,まで,Japanese,ADP,41,yes,-0.9217,-1.1953,0.7024,0.7739,0.1027,0.7199,3,2,2,2
50,2139,影響,Japanese,NOUN,325,yes,0.2456,-0.5211,-0.038,0.821,0.1615,0.6181,4,3,3,2
51,92,1,Japanese,NUM,29,yes,-3.4146,-1.0184,0.9959,0.6733,0.1181,0.7602,3,2,2,2
52,95,km,Japanese,NOUN,295,yes,0.9063,0.3215,1.1097,0.8477,0.235,0.7759,4,3,3,2
53,96,のみ,Japanese,ADP,219,yes,2.1471,1.2084,1.3718,0.8978,0.3124,0.8119,4,3,3,2
54,99,そして,Japanese,CCONJ,457,yes,4.0832,4.8938,2.5712,0.9759,0.634,0.9767,5,4,3,2
55,100,第,Japanese,NOUN,56,yes,0.4925,-0.1536,0.7049,0.831,0.1936,0.7202,4,3,3,2
56,101,40,Japanese,NUM,341,yes,1.1518,-0.1969,-0.3504,0.8576,0.1898,0.5752,4,3,3,2
57,102,話,Japanese,NOUN,246,yes,-1.585,-1.6643,-0.1257,0.7471,0.0618,0.6061,3,2,2,2
58,105,も,Japanese,SCONJ,367,yes,-7.7397,0.0042,0.6779,0.4988,0.2074,0.7165,2,2,2,2
59,107,完全,Japanese,ADJ,455,yes,2.5752,0.9587,-2.4456,0.915,0.2906,0.2872,4,3,3,2
60,110,とも,Japanese,NOUN,245,yes,3.4108,1.8048,-2.6671,0.9488,0.3645,0.2568,5,4,3,2
61,112,家,Japanese,NOUN,82,yes,-1.4673,-1.1723,0.2554,0.7519,0.1047,0.6584,3,2,2,2
62,115,また,Japanese,ADV,400,yes,-0.5661,-1.149,0.6495,0.7883,0.1067,0.7126,3,2,2,2
63,121,一般,Japanese,NOUN,334,yes,-0.1833,-0.888,-0.4526,0.8037,0.1295,0.5611,3,2,2,2
64,2171,いく,Japanese,VERB,194,yes,1.8768,0.1242,-1.5548,0.8868,0.2178,0.4096,5,4,3,2
65,126,中心,Japanese,NOUN,151,yes,-0.8403,-1.2929,0.2816,0.7772,0.0942,0.662,3,2,2,2
66,136,与える,Japanese,VERB,262,yes,0.7836,0.1083,1.2627,0.8427,0.2164,0.7969,4,3,3,2
67,138,れる,Japanese,AUX,15,yes,-0.1213,-0.3379,1.1965,0.8062,0.1775,0.7878,4,3,3,2
68,139,最初,Japanese,NOUN,386,yes,1.0036,-0.1698,-0.6835,0.8516,0.1922,0.5294,4,3,3,2
