,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,3,잘,Korean,ADV,25,yes,-3.3903,0.7532,0.2073,0.6147,0.7543,0.8851,3,3,3,2
1,5,하+면,Korean,SCONJ,71,yes,-5.2742,-0.1527,-0.0311,0.5244,0.6621,0.8588,3,3,3,2
2,6,어느,Korean,DET,92,yes,0.8387,0.3788,0.5636,0.8175,0.7162,0.9244,5,4,3,2
3,9,수,Korean,NOUN,1,yes,-8.8095,-1.2336,-0.0376,0.3549,0.5522,0.8581,1,1,1,1
4,10,있+다,Korean,AUX,22,yes,-11.4408,-3.802,-1.3477,0.2288,0.291,0.7136,1,1,1,1
5,4107,어리+ㄴ,Korean,ADJ,375,yes,3.3105,-1.2946,-0.2427,0.936,0.546,0.8355,2,2,2,2
6,12,사람+이,Korean,NOUN,21,yes,-8.5602,-2.861,-0.3756,0.3669,0.3867,0.8208,1,1,1,1
7,13,스스로,Korean,ADV,158,yes,3.1774,-1.236,-0.2213,0.9296,0.552,0.8379,2,2,2,2
8,8206,만나+ㄴ,Korean,VERB,359,yes,0.9826,-1.8555,0.1105,0.8244,0.489,0.8744,4,4,3,2
9,19,여기+에,Korean,ADV,307,yes,1.9436,1.8618,-7.5061,0.8705,0.867,0.0343,5,4,3,2
10,25,더,Korean,ADV,36,yes,-2.5515,-0.0616,-0.0414,0.6549,0.6714,0.8577,3,3,3,2
11,2073,나오+ㄴ,Korean,VERB,483,yes,1.2945,0.312,0.5358,0.8393,0.7094,0.9214,5,4,3,2
12,29,않+는다,Korean,AUX,80,yes,3.565,-1.4592,-0.3062,0.9482,0.5293,0.8285,2,2,2,2
13,4131,때문+이+ㅂ니다,Korean,VERB,198,yes,3.8747,-1.6238,-0.3749,0.963,0.5125,0.8209,2,2,2,2
14,37,않+는,Korean,AUX,126,yes,3.565,-1.4592,-0.3062,0.9482,0.5293,0.8285,2,2,2,2
15,38,것+과,Korean,CCONJ,190,yes,-3.0452,1.4826,-0.3792,0.6313,0.8285,0.8204,3,3,3,2
