,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,unde,Latin,ADV,77,yes,0.7611,0.5287,0.813,0.2092,0.8919,0.8273,1,1,1,1
1,2,et,Latin,ADV,146,yes,-0.4742,0.2536,0.3616,0.1684,0.8772,0.7997,1,1,1,1
2,3,philosophus,Latin,NOUN,117,yes,-0.0647,-0.4645,1.3023,0.1819,0.8389,0.8572,1,1,1,1
3,4,dico,Latin,VERB,28,yes,9.5635,-5.6336,-4.9087,0.4999,0.5631,0.4771,4,3,2,2
4,5,felicitas,Latin,NOUN,365,yes,-1.5485,-1.5145,1.5407,0.1329,0.7829,0.8718,2,2,1,1
5,6,sum,Latin,AUX,1,yes,24.7063,-16.1873,-12.7057,1.0,0.0,0.0,5,4,3,2
6,7,operatio,Latin,NOUN,113,yes,3.1267,1.1185,0.6888,0.2873,0.9234,0.8197,3,3,2,2
7,8,perfectus,Latin,ADJ,108,yes,2.8861,1.0415,0.8012,0.2793,0.9193,0.8266,3,3,2,2
8,10,perfectio,Latin,NOUN,90,yes,3.4316,0.6284,1.1473,0.2974,0.8972,0.8477,3,3,2,2
9,11,autem,Latin,CCONJ,7,yes,6.5259,-0.1819,0.7831,0.3996,0.854,0.8255,4,3,2,2
10,12,dependeo,Latin,VERB,177,yes,2.4398,1.5104,0.2078,0.2646,0.9443,0.7902,1,1,1,1
11,13,ex,Latin,ADP,9,yes,2.6299,0.2772,1.0673,0.2709,0.8785,0.8429,3,3,2,2
12,15,primus,Latin,NOUN,378,yes,-1.7334,0.4325,-0.885,0.1268,0.8868,0.7234,2,2,1,1
13,17,suus,Latin,DET,29,yes,1.8858,0.7063,0.9715,0.2463,0.9014,0.837,3,3,2,2
14,18,genus,Latin,NOUN,191,yes,1.4044,0.7125,0.8734,0.2304,0.9017,0.831,1,1,1,1
15,20,ut,Latin,ADV,296,yes,2.4022,0.4976,1.2695,0.2634,0.8903,0.8552,3,3,2,2
16,21,scilicet,Latin,CCONJ,187,yes,-0.5284,0.1181,0.4675,0.1666,0.87,0.8061,1,1,1,1
17,22,maneo,Latin,VERB,308,yes,0.1744,0.5624,0.3824,0.1898,0.8937,0.8009,1,1,1,1
18,23,in,Latin,ADP,4,yes,7.2466,-1.1003,0.593,0.4234,0.805,0.8138,4,3,2,2
19,24,ipse,Latin,DET,22,yes,5.9967,-0.0995,0.3829,0.3821,0.8584,0.801,4,3,2,2
20,25,operor,Latin,VERB,159,yes,1.6602,1.5777,0.0808,0.2389,0.9479,0.7825,1,1,1,1
21,26,per,Latin,ADP,8,yes,2.6527,0.6658,1.0892,0.2716,0.8992,0.8442,3,3,2,2
22,27,qui,Latin,DET,304,yes,10.0223,-2.0286,-0.0836,0.515,0.7555,0.7724,4,3,2,2
23,28,non,Latin,PART,2,yes,9.0332,-1.6299,-0.0157,0.4824,0.7767,0.7766,4,3,2,2
24,29,facio,Latin,VERB,21,yes,9.1991,-1.9252,-0.3827,0.4878,0.761,0.7541,4,3,2,2
25,30,alius,Latin,DET,32,yes,6.4157,-0.1989,0.2686,0.3959,0.8531,0.794,4,3,2,2
26,31,praeter,Latin,ADP,148,yes,-2.4618,0.8132,-2.063,0.1027,0.9071,0.6513,2,2,1,1
27,32,sicut,Latin,ADV,300,yes,4.0619,0.6689,1.0177,0.3182,0.8994,0.8398,3,3,2,2
28,33,uideo,Latin,VERB,153,yes,2.3834,0.94,0.8049,0.2627,0.9139,0.8268,3,3,2,2
29,34,et,Latin,ADV,146,yes,10.5563,-2.4444,-0.3517,0.5327,0.7333,0.756,4,3,2,2
30,36,huiusmodi,Latin,DET,168,yes,-1.2738,0.7795,-1.0147,0.142,0.9053,0.7154,2,2,1,1
31,37,enim,Latin,ADV,19,yes,4.6244,0.2589,1.2147,0.3368,0.8775,0.8519,3,3,2,2
32,38,is,Latin,DET,497,yes,9.3966,-1.8106,-0.375,0.4944,0.7671,0.7546,4,3,2,2
33,39,possum,Latin,VERB,15,yes,12.9254,-4.1593,-1.8248,0.6109,0.6418,0.6659,4,3,2,2
34,40,ultimus,Latin,ADJ,245,yes,-1.205,0.0344,-0.0807,0.1442,0.8655,0.7726,2,2,1,1
35,41,quia,Latin,SCONJ,54,yes,2.5668,0.7027,1.0178,0.2688,0.9012,0.8398,3,3,2,2
36,42,ordino,Latin,VERB,193,yes,1.5392,1.7667,-0.0645,0.2349,0.958,0.7736,1,1,1,1
37,43,ad,Latin,ADV,432,yes,4.3095,0.4617,0.9785,0.3264,0.8883,0.8374,3,3,2,2
38,44,aliqui,Latin,DET,42,yes,2.0934,0.4258,1.198,0.2532,0.8864,0.8508,3,3,2,2
39,45,finis,Latin,NOUN,80,yes,2.4954,1.1511,0.8226,0.2664,0.9251,0.8279,3,3,2,2
40,46,uero,Latin,ADV,122,yes,-0.3939,0.4759,0.0887,0.171,0.8891,0.783,1,1,1,1
41,47,uel,Latin,CCONJ,43,yes,3.7788,0.3278,1.3728,0.3088,0.8812,0.8615,3,3,2,2
42,48,actio,Latin,NOUN,53,yes,6.1141,-0.0097,0.4361,0.386,0.8632,0.8042,4,3,2,2
43,49,sequor,Latin,VERB,100,yes,4.059,0.5327,0.8245,0.3181,0.8921,0.828,3,3,2,2
44,50,aliquis,Latin,PRON,36,yes,6.2565,-0.1069,0.7593,0.3907,0.858,0.824,4,3,2,2
45,51,ago,Latin,VERB,25,yes,7.6617,-1.1046,-0.3229,0.4371,0.8048,0.7578,4,3,2,2
46,52,comparo,Latin,VERB,237,yes,0.8585,1.6787,-0.3245,0.2124,0.9533,0.7577,1,1,1,1
47,53,ideo,Latin,ADV,293,yes,-2.0298,0.9885,-1.997,0.117,0.9164,0.6553,2,2,1,1
48,54,talis,Latin,DET,112,yes,1.6584,1.4847,0.2465,0.2388,0.9429,0.7926,1,1,1,1
49,55,intellectualis,Latin,ADJ,85,yes,-1.5601,0.0597,-0.4262,0.1325,0.8669,0.7515,2,2,1,1
50,56,natura,Latin,NOUN,67,yes,3.9516,0.6671,0.8874,0.3145,0.8993,0.8318,3,3,2,2
51,57,beatitudo,Latin,NOUN,163,yes,0.1931,0.7555,0.2065,0.1904,0.904,0.7902,1,1,1,1
52,58,siue,Latin,CCONJ,310,yes,-2.071,-0.927,0.2599,0.1156,0.8142,0.7934,2,2,1,1
53,59,secundus,Latin,NOUN,377,yes,-2.1337,0.1084,-0.8547,0.1136,0.8695,0.7252,2,2,1,1
54,60,principium,Latin,NOUN,66,yes,6.3496,-0.271,0.1831,0.3937,0.8492,0.7887,4,3,2,2
55,61,altus,Latin,ADJ,352,yes,-1.2119,0.0906,-0.2072,0.144,0.8685,0.7649,2,2,1,1
56,62,potentia,Latin,NOUN,40,yes,5.6503,-0.1394,0.7051,0.3706,0.8563,0.8207,4,3,2,2
57,63,secundum,Latin,ADP,38,yes,3.1473,0.552,1.3014,0.288,0.8932,0.8572,3,3,2,2
58,64,sensus,Latin,NOUN,277,yes,-0.8069,-0.4176,0.8909,0.1574,0.8414,0.8321,2,2,1,1
59,65,nos,Latin,PRON,267,yes,-1.8268,-0.5102,0.0744,0.1237,0.8365,0.7821,2,2,1,1
60,66,sed,Latin,CCONJ,33,yes,4.5506,0.5064,1.0081,0.3343,0.8907,0.8392,3,3,2,2
61,67,intellectus,Latin,NOUN,52,yes,4.0433,0.3759,1.2069,0.3176,0.8838,0.8514,3,3,2,2
62,69,tertius,Latin,NOUN,452,yes,-2.5765,-1.3305,0.6608,0.0989,0.7927,0.818,2,2,1,1
63,70,obiectum,Latin,NOUN,343,yes,-0.4436,-0.1061,0.5394,0.1694,0.858,0.8105,2,2,1,1
64,71,propter,Latin,ADP,73,yes,-0.1198,0.1253,0.7362,0.1801,0.8704,0.8226,1,1,1,1
65,72,hic,Latin,DET,14,yes,8.9331,-1.563,-0.0891,0.4791,0.7803,0.7721,4,3,2,2
66,73,intellego,Latin,VERB,65,yes,4.6206,0.6136,0.7742,0.3366,0.8964,0.8249,3,3,2,2
67,74,intelligibilis,Latin,ADJ,194,yes,-0.2485,0.5075,0.0709,0.1758,0.8908,0.7819,1,1,1,1
68,76,forma,Latin,NOUN,26,yes,7.3638,-0.8127,0.3696,0.4272,0.8203,0.8002,4,3,2,2
69,77,perfecte,Latin,ADV,208,yes,-0.6366,0.4115,0.0912,0.163,0.8857,0.7831,1,1,1,1
70,81,deus,Latin,NOUN,325,yes,5.9387,-0.008,0.6187,0.3802,0.8633,0.8154,4,3,2,2
