,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,3,augsts,Latvian,ADJ,426,yes,-1.9408,0.2365,0.7524,0.1678,0.2009,0.2877,1,1,1,1
1,4101,vēstule,Latvian,NOUN,121,yes,1.455,-0.7639,-1.0656,0.2869,0.1388,0.0768,4,3,3,2
2,6,viņa,Latvian,PRON,7,yes,10.1618,1.9683,0.4323,0.592,0.3083,0.2506,5,4,3,2
3,9,kā,Latvian,PART,384,yes,-2.6778,0.5387,1.1994,0.142,0.2196,0.3396,1,1,1,1
4,2057,suns,Latvian,NOUN,334,yes,-2.8312,0.827,0.6247,0.1366,0.2375,0.2729,1,1,1,1
5,10,vīrs,Latvian,NOUN,174,yes,0.9169,-0.8405,-0.7187,0.268,0.1341,0.117,4,3,3,2
6,12,būt,Latvian,VERB,11,yes,17.031,8.524,3.1727,0.8328,0.7149,0.5686,3,2,2,2
7,2060,prieks,Latvian,NOUN,489,yes,-2.7753,0.4758,1.6664,0.1386,0.2157,0.3938,1,1,1,1
8,14,pār,Latvian,ADP,272,yes,-3.096,1.4085,-0.0064,0.1273,0.2736,0.1997,2,1,1,1
9,16,un,Latvian,CCONJ,1,yes,18.6863,10.3588,3.3803,0.8908,0.8288,0.5927,3,2,2,2
10,20,vārds,Latvian,NOUN,91,yes,3.6775,-0.8526,-0.778,0.3647,0.1333,0.1101,5,4,3,2
11,4117,sofija,Latvian,PROPN,30,yes,3.5578,-1.7108,-0.0823,0.3606,0.0801,0.1909,5,4,3,2
12,22,lietus,Latvian,NOUN,481,yes,-2.469,1.2657,-0.2994,0.1493,0.2647,0.1657,2,1,1,1
13,25,debess,Latvian,NOUN,425,yes,-3.2489,2.1428,-1.0216,0.122,0.3191,0.0819,2,1,1,1
14,2074,vaigs,Latvian,NOUN,497,yes,-2.7937,0.2615,2.0997,0.1379,0.2024,0.4441,1,1,1,1
15,26,roka,Latvian,NOUN,39,yes,3.4285,-0.1886,-1.2321,0.356,0.1745,0.0574,5,4,3,2
16,28,radīt,Latvian,VERB,201,yes,1.8165,-1.4712,-0.2526,0.2995,0.0949,0.1711,4,3,3,2
17,6176,pašvaldība,Latvian,NOUN,468,yes,-2.7509,1.0903,0.5798,0.1394,0.2538,0.2677,2,1,1,1
18,2081,gulta,Latvian,NOUN,280,yes,-0.8032,0.0694,-0.6137,0.2077,0.1905,0.1292,4,3,3,2
19,34,liels,Latvian,ADJ,38,yes,2.8658,-0.3261,-1.3897,0.3363,0.166,0.0391,5,4,3,2
20,35,acs,Latvian,NOUN,86,yes,1.0762,-0.3924,-1.1313,0.2736,0.1619,0.0691,4,3,3,2
21,37,ar,Latvian,ADP,8,yes,4.2409,0.7409,-1.5482,0.3845,0.2321,0.0208,5,4,3,2
22,39,uz,Latvian,ADP,9,yes,7.5685,5.2173,0.4459,0.5011,0.5098,0.2522,5,4,3,2
23,48,savs,Latvian,DET,66,yes,-0.9102,0.6931,-1.4481,0.2039,0.2292,0.0324,4,3,3,2
24,49,garš,Latvian,ADJ,211,yes,-0.2654,-0.2339,-0.2136,0.2265,0.1717,0.1756,4,3,3,2
25,2099,sekot,Latvian,VERB,376,yes,-0.0255,-1.5093,0.934,0.235,0.0926,0.3088,4,3,3,2
26,2103,istaba,Latvian,NOUN,138,yes,-1.0829,0.476,-0.9947,0.1979,0.2157,0.085,4,3,3,2
27,55,braukt,Latvian,VERB,241,yes,3.0687,-1.2737,-0.4295,0.3434,0.1072,0.1506,5,4,3,2
28,57,no,Latvian,ADP,12,yes,3.5805,0.8152,-1.6895,0.3613,0.2368,0.0044,5,4,3,2
29,4154,aploksne,Latvian,NOUN,257,yes,0.7536,-0.5509,-1.1317,0.2623,0.152,0.0691,4,3,3,2
30,59,kurš,Latvian,DET,231,yes,2.0934,-0.777,-1.2708,0.3092,0.138,0.0529,4,3,3,2
31,2108,kāpnes,Latvian,NOUN,407,yes,-3.6329,1.5784,0.9312,0.1085,0.2841,0.3085,2,1,1,1
32,2113,glāze,Latvian,NOUN,461,yes,-2.4132,1.0919,-0.0176,0.1513,0.2539,0.1984,2,1,1,1
33,2115,nolikt,Latvian,VERB,279,yes,-0.1181,-1.0207,0.3213,0.2317,0.1229,0.2377,4,3,3,2
34,68,bet,Latvian,CCONJ,14,yes,5.4672,-0.2637,-0.4582,0.4275,0.1698,0.1472,5,4,3,2
35,6214,birojs,Latvian,NOUN,294,yes,-3.7006,1.7688,0.5634,0.1061,0.2959,0.2658,2,1,1,1
36,75,zeme,Latvian,NOUN,123,yes,-0.2268,0.0501,-0.8583,0.2279,0.1893,0.1008,4,3,3,2
37,76,tur,Latvian,ADV,78,yes,1.1679,-1.2676,-0.6074,0.2768,0.1076,0.1299,4,3,3,2
38,77,kur,Latvian,ADV,62,yes,0.511,-1.1081,-0.4306,0.2538,0.1175,0.1504,4,3,3,2
39,78,visa,Latvian,DET,111,yes,-1.8731,0.9989,-0.8582,0.1702,0.2482,0.1008,2,1,1,1
40,79,dzīvs,Latvian,ADJ,313,yes,-1.0441,-2.2937,3.515,0.1993,0.0439,0.6083,1,1,1,1
41,2127,melns,Latvian,ADJ,244,yes,-2.2191,1.0622,-0.4113,0.1581,0.2521,0.1527,2,1,1,1
42,2130,zāle,Latvian,NOUN,429,yes,-3.1158,1.821,0.0644,0.1266,0.2991,0.2079,2,1,1,1
43,83,priekša,Latvian,NOUN,347,yes,-1.8933,0.8667,-0.7563,0.1695,0.24,0.1126,2,1,1,1
44,84,pēc,Latvian,ADP,25,yes,0.5779,-0.2245,-1.1072,0.2561,0.1723,0.0719,4,3,3,2
45,91,pret,Latvian,ADP,150,yes,-1.8848,0.9087,-0.6836,0.1698,0.2426,0.1211,2,1,1,1
46,4188,pirms,Latvian,ADV,492,yes,-3.2,1.5512,0.6746,0.1237,0.2824,0.2787,2,1,1,1
47,94,stāstīt,Latvian,VERB,394,yes,0.5933,-1.8593,1.1265,0.2566,0.0709,0.3311,4,3,3,2
48,95,par,Latvian,ADP,13,yes,3.898,0.4675,-1.5283,0.3725,0.2152,0.0231,5,4,3,2
49,2142,atkal,Latvian,ADV,130,yes,-0.4871,-1.536,1.6873,0.2188,0.0909,0.3962,1,1,1,1
50,98,dēls,Latvian,NOUN,305,yes,-1.5473,-0.1939,0.7809,0.1816,0.1742,0.291,1,1,1,1
51,102,vest,Latvian,VERB,416,yes,-0.0869,-0.2601,-0.503,0.2328,0.1701,0.142,4,3,3,2
52,104,pilsēta,Latvian,NOUN,333,yes,0.0757,-0.4099,-0.5331,0.2385,0.1608,0.1385,4,3,3,2
53,2154,tikpat,Latvian,ADV,314,yes,-3.9513,2.1477,0.5115,0.0974,0.3194,0.2598,2,1,1,1
54,107,doties,Latvian,VERB,155,yes,2.9986,-0.8764,-0.8234,0.341,0.1318,0.1049,5,4,3,2
55,2158,vaļā,Latvian,ADV,412,yes,-1.8613,-1.3915,3.4867,0.1706,0.0999,0.605,1,1,1,1
