,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,siūlyti,Lithuanian,VERB,345,yes,-0.6889,-0.2826,0.4993,0.2092,0.1155,0.8245,5,4,3,2
1,3,aukštas,Lithuanian,ADJ,190,yes,-2.2718,1.3605,1.5113,0.1605,0.2038,0.9092,2,1,1,1
2,5,vadovas,Lithuanian,NOUN,390,yes,-1.0872,0.1496,0.4638,0.1969,0.1387,0.8216,2,1,1,1
3,7,siekti,Lithuanian,VERB,89,yes,3.5032,-0.5103,0.6902,0.3383,0.1032,0.8405,4,3,3,2
4,9,ir,Lithuanian,PART,10,yes,24.9968,16.1738,-5.6276,1.0,1.0,0.312,3,2,2,2
5,11,universitetas,Lithuanian,NOUN,364,yes,-2.2213,0.7543,-0.2358,0.162,0.1712,0.763,2,1,1,1
6,16,kitas,Lithuanian,PRON,16,yes,7.4107,1.4856,0.1152,0.4586,0.2105,0.7924,4,3,3,2
7,4114,25,Lithuanian,NUM,320,yes,-5.1488,4.5292,2.273,0.0719,0.3741,0.9729,1,1,1,1
8,18,mokslas,Lithuanian,NOUN,138,yes,-0.5277,-0.2257,0.362,0.2142,0.1185,0.813,2,1,1,1
9,21,asmuo,Lithuanian,NOUN,63,yes,4.3054,-0.7448,0.0239,0.363,0.0906,0.7847,4,3,3,2
10,22,darbas,Lithuanian,NOUN,68,yes,2.2547,-0.6236,0.7207,0.2998,0.0971,0.843,5,4,3,2
11,24,pajamos,Lithuanian,NOUN,176,yes,1.0994,-0.5757,0.5032,0.2643,0.0997,0.8248,5,4,3,2
12,26,toks,Lithuanian,DET,32,yes,3.3503,0.0942,1.1569,0.3336,0.1357,0.8795,5,4,3,2
13,27,išvada,Lithuanian,NOUN,485,yes,-0.6125,-1.1986,-1.2945,0.2116,0.0662,0.6745,2,1,1,1
14,31,seimas,Lithuanian,NOUN,359,yes,-3.1987,1.1438,-0.4611,0.1319,0.1921,0.7442,2,1,1,1
15,32,švietimas,Lithuanian,NOUN,328,yes,-0.9398,-1.1179,-1.2467,0.2015,0.0706,0.6785,5,4,3,2
16,33,kultūra,Lithuanian,NOUN,13,yes,4.5606,0.0925,0.5172,0.3708,0.1356,0.826,4,3,3,2
17,2081,spauda,Lithuanian,NOUN,114,yes,-0.8589,0.4008,1.0639,0.204,0.1522,0.8718,2,1,1,1
18,39,narys,Lithuanian,NOUN,333,yes,-0.2928,-0.3863,0.6907,0.2214,0.1099,0.8405,5,4,3,2
19,2089,būtinas,Lithuanian,ADJ,198,yes,1.4974,-1.5277,-0.5738,0.2765,0.0486,0.7348,5,4,3,2
20,2090,paslauga,Lithuanian,NOUN,25,yes,0.654,-0.719,0.3886,0.2505,0.092,0.8153,5,4,3,2
21,2091,plėtra,Lithuanian,NOUN,113,yes,1.6714,-0.9182,0.5239,0.2819,0.0813,0.8266,5,4,3,2
22,42,dabartinis,Lithuanian,ADJ,480,yes,-2.6718,1.4845,1.0949,0.1482,0.2105,0.8743,2,1,1,1
23,45,kelti,Lithuanian,VERB,366,yes,-0.1726,-0.5503,0.5069,0.2251,0.1011,0.8252,5,4,3,2
24,2095,kontrolė,Lithuanian,NOUN,394,yes,-2.6129,0.0507,-2.0866,0.15,0.1334,0.6082,2,1,1,1
25,2098,formavimas,Lithuanian,NOUN,456,yes,-1.2238,-0.2364,0.0457,0.1927,0.118,0.7866,2,1,1,1
26,56,būti,Lithuanian,VERB,24,yes,6.976,1.1745,0.5126,0.4452,0.1938,0.8256,4,3,3,2
27,2104,rezultatas,Lithuanian,NOUN,228,yes,0.5168,-0.673,0.7531,0.2463,0.0945,0.8458,5,4,3,2
28,58,o,Lithuanian,CCONJ,17,yes,2.8743,-0.7377,0.4835,0.3189,0.091,0.8232,5,4,3,2
29,59,iš,Lithuanian,ADV,120,yes,-0.2475,-0.6608,0.3304,0.2228,0.0951,0.8104,5,4,3,2
30,57,ypač,Lithuanian,ADV,254,yes,-1.7245,1.3207,1.781,0.1773,0.2017,0.9317,2,1,1,1
31,61,jis,Lithuanian,PRON,2,yes,15.3398,8.3281,-3.7441,0.7027,0.5783,0.4695,3,2,2,2
32,62,gauti,Lithuanian,VERB,191,yes,2.6443,-0.8311,0.447,0.3118,0.086,0.8201,5,4,3,2
33,63,didelis,Lithuanian,ADJ,346,yes,-2.0388,1.1802,1.4285,0.1676,0.1941,0.9023,2,1,1,1
34,64,nes,Lithuanian,SCONJ,69,yes,0.0547,-1.9258,-1.1946,0.2321,0.0272,0.6828,5,4,3,2
35,65,būti,Lithuanian,VERB,24,yes,9.774,2.5807,-0.4486,0.5313,0.2694,0.7452,4,3,3,2
36,2112,kūrimas,Lithuanian,NOUN,272,yes,-0.771,-0.3327,0.3864,0.2067,0.1128,0.8151,5,4,3,2
37,67,šaltinis,Lithuanian,NOUN,397,yes,-0.6638,-0.9175,-0.4422,0.21,0.0814,0.7458,5,4,3,2
38,68,atstovas,Lithuanian,NOUN,295,yes,0.2321,-1.2947,-0.3231,0.2376,0.0611,0.7557,5,4,3,2
39,2117,įgyvendinti,Lithuanian,VERB,355,yes,0.4338,-1.5763,-0.493,0.2438,0.0459,0.7415,5,4,3,2
40,70,situacija,Lithuanian,NOUN,252,yes,0.7359,-0.4791,1.0294,0.2531,0.1049,0.8689,5,4,3,2
41,74,kad,Lithuanian,SCONJ,5,yes,4.6456,-0.2706,0.1432,0.3734,0.1161,0.7947,4,3,3,2
42,75,dažnai,Lithuanian,ADV,152,yes,-0.796,0.0843,0.1684,0.2059,0.1352,0.7968,2,1,1,1
43,78,ir,Lithuanian,PART,10,yes,6.3843,1.106,0.6668,0.427,0.1901,0.8385,4,3,3,2
44,81,mokslinis,Lithuanian,ADJ,279,yes,-2.7657,1.385,0.6887,0.1453,0.2051,0.8404,2,1,1,1
45,82,veikla,Lithuanian,NOUN,100,yes,3.1087,0.1,1.2508,0.3261,0.136,0.8874,5,4,3,2
46,83,bei,Lithuanian,CCONJ,37,yes,1.8764,0.0139,1.4821,0.2882,0.1314,0.9067,5,4,3,2
47,85,net,Lithuanian,PART,95,yes,-1.0464,-0.2943,-0.01,0.1982,0.1148,0.7819,2,1,1,1
