,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,3,good,Naija,ADJ,120,yes,1.1527,-1.0693,-0.583,0.3062,0.2468,0.128,5,4,3,2
1,4,morning,Naija,NOUN,203,yes,-0.3659,0.7007,-1.1131,0.2334,0.4086,0.0607,2,1,1,1
2,7,how,Naija,ADV,68,yes,2.9866,-1.5986,-0.8229,0.3942,0.1984,0.0975,4,3,3,2
3,8,you,Naija,PRON,8,yes,7.8478,0.8207,-0.1115,0.6275,0.4195,0.1878,3,2,2,2
4,9,dey,Naija,VERB,26,yes,14.9145,6.7927,5.6516,0.9666,0.9654,0.9193,3,2,2,2
5,10,now,Naija,ADV,29,yes,5.4032,0.2233,-1.0435,0.5102,0.3649,0.0695,4,3,3,2
6,12,i,Naija,PRON,1,yes,9.1316,1.6413,0.3853,0.6891,0.4945,0.2509,3,2,2,2
7,13,fine,Naija,ADJ,237,yes,-0.3866,-1.1435,0.2728,0.2324,0.24,0.2366,2,1,1,1
8,14,your,Naija,ADJ,356,yes,-0.7453,1.7073,-1.3199,0.2152,0.5006,0.0344,2,1,1,1
9,15,night,Naija,NOUN,255,yes,-0.9526,0.8159,-1.0104,0.2052,0.4191,0.0737,2,1,1,1
10,16,we,Naija,PRON,16,yes,5.5088,-0.1758,-0.8896,0.5153,0.3284,0.0891,4,3,3,2
11,17,tank,Naija,VERB,236,yes,-0.1502,-2.4935,1.1056,0.2437,0.1166,0.3423,5,4,3,2
12,18,god,Naija,PROPN,61,yes,1.5322,-1.1431,-0.7398,0.3244,0.24,0.1081,5,4,3,2
13,19,hope,Naija,VERB,402,yes,-3.1161,1.7174,0.201,0.1014,0.5015,0.2275,2,1,1,1
14,20,sey,Naija,SCONJ,9,yes,8.8009,1.3159,0.2832,0.6732,0.4648,0.2379,3,2,2,2
15,22,sleep,Naija,VERB,222,yes,0.0345,-1.0626,-0.091,0.2526,0.2474,0.1904,5,4,3,2
