,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,og,Norwegian,CCONJ,3,yes,-15.5095,6.849,3.5347,0.1206,0.8516,0.7923,3,3,2,2
1,4,på,Norwegian,SCONJ,107,yes,0.1109,-1.5346,0.4256,0.7571,0.1351,0.3325,1,1,1,1
2,2056,behn,Norwegian,PROPN,421,yes,3.4912,2.8249,-1.1616,0.8948,0.5077,0.0977,2,2,1,1
3,9,stå,Norwegian,VERB,84,yes,-6.2742,0.3133,-1.0312,0.4969,0.2931,0.117,4,4,3,2
4,10,på,Norwegian,SCONJ,107,yes,-4.2124,1.03,-1.8222,0.5809,0.3543,0.0,5,4,3,2
5,12,under,Norwegian,ADP,101,yes,2.2385,1.7248,-1.2694,0.8438,0.4137,0.0818,2,2,1,1
6,13,den,Norwegian,PROPN,470,yes,-1.3035,0.7516,-1.687,0.6994,0.3305,0.02,5,4,3,2
7,2062,leah,Norwegian,PROPN,494,yes,2.1773,0.8153,0.4222,0.8413,0.336,0.332,2,2,1,1
8,2063,isadora,Norwegian,PROPN,427,yes,4.3566,2.0727,1.3887,0.9301,0.4434,0.4749,2,2,1,1
9,17,til,Norwegian,SCONJ,37,yes,-6.1393,1.5213,-1.4144,0.5024,0.3963,0.0603,4,4,3,2
10,23,mette-marit,Norwegian,PROPN,306,yes,1.7207,-0.3239,1.2919,0.8227,0.2386,0.4606,1,1,1,1
11,26,navn,Norwegian,NOUN,145,yes,-0.9191,-0.2133,-0.7184,0.7151,0.2481,0.1633,5,4,3,2
12,34,som,Norwegian,ADP,53,yes,-5.2876,-0.5045,-0.9624,0.5371,0.2232,0.1272,5,4,3,2
13,35,være,Norwegian,VERB,55,yes,-12.9615,5.0571,2.6357,0.2244,0.6985,0.6594,3,3,2,2
14,37,norsk,Norwegian,ADJ,59,yes,0.2428,0.7213,-1.5076,0.7624,0.3279,0.0465,1,1,1,1
