,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,и,Old_Church_Slavonic,ADV,42,yes,21.4422,9.9503,6.6227,0.9756,0.9511,0.923,4,3,2,2
1,2,вълѣсти,Old_Church_Slavonic,VERB,426,yes,-1.4364,-0.7503,1.252,0.1782,0.1488,0.362,2,2,1,1
2,3,въ,Old_Church_Slavonic,ADP,4,yes,4.8342,1.7666,-1.937,0.3967,0.3375,0.029,5,4,3,2
3,4,корабль,Old_Church_Slavonic,NOUN,294,yes,-1.6246,1.3314,-0.8903,0.1716,0.3049,0.1383,3,2,1,1
4,5,исоусъ,Old_Church_Slavonic,PROPN,16,yes,5.4225,-0.2173,-0.9189,0.4172,0.1888,0.1353,5,4,3,2
5,7,прити,Old_Church_Slavonic,VERB,20,yes,12.7579,4.9867,3.6656,0.6729,0.579,0.6141,4,3,2,2
6,8,свои,Old_Church_Slavonic,ADJ,19,yes,1.6026,0.9315,-1.9073,0.2841,0.2749,0.0321,3,2,1,1
7,9,градъ,Old_Church_Slavonic,NOUN,124,yes,1.4148,0.1313,-1.4903,0.2775,0.2149,0.0756,3,2,1,1
8,11,принести,Old_Church_Slavonic,VERB,376,yes,-0.9249,-0.775,0.7953,0.196,0.147,0.3143,3,2,1,1
9,12,и,Old_Church_Slavonic,ADV,42,yes,16.7827,7.2067,4.8547,0.8132,0.7454,0.7383,4,3,2,2
10,15,на,Old_Church_Slavonic,ADP,10,yes,2.3169,0.9193,-1.8597,0.309,0.274,0.037,3,2,1,1
11,16,одръ,Old_Church_Slavonic,NOUN,412,yes,-4.005,2.8303,-0.332,0.0886,0.4173,0.1966,1,1,1,1
12,17,лежати,Old_Church_Slavonic,VERB,359,yes,-0.3646,-0.6116,0.1024,0.2155,0.1592,0.242,3,2,1,1
13,18,видѣти,Old_Church_Slavonic,VERB,30,yes,7.7026,0.8701,-0.6392,0.4967,0.2703,0.1645,5,4,3,2
14,19,вѣра,Old_Church_Slavonic,NOUN,118,yes,-1.4607,-0.2649,0.7302,0.1773,0.1852,0.3075,3,2,1,1
15,20,рещи,Old_Church_Slavonic,VERB,9,yes,11.0363,2.6098,0.3871,0.6129,0.4007,0.2717,5,4,3,2
16,22,чѧдо,Old_Church_Slavonic,NOUN,183,yes,-0.0162,-0.2692,-0.5798,0.2277,0.1849,0.1707,3,2,1,1
17,23,отъпоущати,Old_Church_Slavonic,VERB,417,yes,-0.1917,-1.0985,0.4219,0.2215,0.1227,0.2753,3,2,1,1
18,24,себе,Old_Church_Slavonic,PRON,5,yes,4.6701,0.183,-1.5571,0.391,0.2188,0.0686,5,4,3,2
19,25,грѣхъ,Old_Church_Slavonic,NOUN,211,yes,-0.6516,-0.2078,-0.1617,0.2055,0.1895,0.2144,3,2,1,1
20,26,твои,Old_Church_Slavonic,ADJ,47,yes,0.8291,0.6734,-1.7202,0.2571,0.2556,0.0516,3,2,1,1
21,27,ѥдинъ,Old_Church_Slavonic,DET,192,yes,1.4055,-2.1882,0.1582,0.2772,0.041,0.2478,3,2,1,1
22,28,отъ,Old_Church_Slavonic,ADP,13,yes,4.1275,1.308,-1.9591,0.3721,0.3031,0.0267,5,4,3,2
23,29,кънижьникъ,Old_Church_Slavonic,NOUN,127,yes,-0.1459,-0.4704,-0.4573,0.2231,0.1698,0.1835,3,2,1,1
24,30,сь,Old_Church_Slavonic,DET,37,yes,6.3591,0.1185,-0.8887,0.4499,0.214,0.1384,5,4,3,2
25,34,вꙑ,Old_Church_Slavonic,PRON,15,yes,6.2843,0.505,-1.019,0.4473,0.2429,0.1248,5,4,3,2
26,36,зълъ,Old_Church_Slavonic,ADJ,163,yes,-0.9461,-0.2526,0.2764,0.1952,0.1861,0.2601,3,2,1,1
27,37,срьдьце,Old_Church_Slavonic,NOUN,143,yes,0.7829,-0.1456,-1.1456,0.2555,0.1942,0.1116,3,2,1,1
28,38,вашь,Old_Church_Slavonic,ADJ,67,yes,-0.0603,0.8414,-1.519,0.2261,0.2682,0.0726,3,2,1,1
29,39,чьто,Old_Church_Slavonic,ADJ,413,yes,2.546,-0.9331,-1.231,0.317,0.1351,0.1027,5,4,3,2
30,40,бо,Old_Church_Slavonic,ADV,22,yes,2.9402,-0.7351,-1.1258,0.3307,0.15,0.1137,5,4,3,2
31,41,бꙑти,Old_Church_Slavonic,AUX,3,yes,22.1411,10.6025,7.3604,1.0,1.0,1.0,4,3,2,2
32,43,отъпоустити,Old_Church_Slavonic,VERB,122,yes,2.519,-1.078,-0.9289,0.316,0.1243,0.1343,5,4,3,2
33,44,ли,Old_Church_Slavonic,CCONJ,76,yes,-0.1678,-0.4049,-0.638,0.2224,0.1747,0.1646,3,2,1,1
34,45,въстати,Old_Church_Slavonic,VERB,85,yes,2.8321,-1.0561,-1.07,0.3269,0.1259,0.1195,5,4,3,2
35,46,ходити,Old_Church_Slavonic,VERB,172,yes,0.9066,-0.7513,-0.5453,0.2598,0.1487,0.1743,3,2,1,1
36,47,нъ,Old_Church_Slavonic,CCONJ,43,yes,2.8711,-1.241,-0.8314,0.3283,0.112,0.1444,5,4,3,2
37,48,да,Old_Church_Slavonic,ADV,93,yes,2.7475,-0.7869,-1.1396,0.324,0.1461,0.1122,5,4,3,2
38,50,ꙗко,Old_Church_Slavonic,ADV,63,yes,5.5154,-0.2109,-1.197,0.4205,0.1893,0.1063,5,4,3,2
39,51,власть,Old_Church_Slavonic,NOUN,403,yes,-2.6043,1.2008,0.0399,0.1374,0.2951,0.2354,1,1,1,1
40,52,имѣти,Old_Church_Slavonic,VERB,24,yes,11.4069,4.4509,3.2538,0.6258,0.5388,0.5711,4,3,2,2
41,53,сꙑнъ,Old_Church_Slavonic,NOUN,27,yes,6.7346,0.8076,-0.9887,0.463,0.2656,0.128,5,4,3,2
42,54,чловѣчьскъ,Old_Church_Slavonic,ADJ,82,yes,-4.3165,3.1273,0.0099,0.0778,0.4395,0.2323,1,1,1,1
43,55,землꙗ,Old_Church_Slavonic,NOUN,83,yes,0.9151,-0.1708,-1.2021,0.2601,0.1923,0.1057,3,2,1,1
44,56,тъгда,Old_Church_Slavonic,ADV,75,yes,-0.1814,-0.7566,-0.0773,0.2219,0.1483,0.2232,3,2,1,1
45,57,глаголати,Old_Church_Slavonic,VERB,8,yes,13.255,3.9533,1.2166,0.6903,0.5015,0.3583,5,4,3,2
46,58,възѧти,Old_Church_Slavonic,VERB,126,yes,2.1456,-0.4096,-1.3718,0.303,0.1744,0.088,5,4,3,2
