,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,за,Old_East_Slavic,ADP,55,yes,0.7022,0.0494,-1.4178,0.245,0.1538,0.1352,1,1,1,1
1,2,молитва,Old_East_Slavic,NOUN,181,yes,-0.302,0.3685,-0.9565,0.2124,0.1728,0.1784,1,1,1,1
2,3,святыи,Old_East_Slavic,ADJ,42,yes,-1.4028,0.6003,-0.7814,0.1766,0.1866,0.1948,1,1,1,1
3,4,отьць,Old_East_Slavic,NOUN,53,yes,4.7466,-0.3675,-0.8314,0.3764,0.129,0.1901,4,4,3,2
4,5,нашь,Old_East_Slavic,ADJ,86,yes,-0.5372,-0.0692,-0.3513,0.2047,0.1468,0.235,1,1,1,1
5,6,господь,Old_East_Slavic,NOUN,93,yes,-0.1307,-0.6286,0.0383,0.2179,0.1135,0.2715,1,1,1,1
6,7,исусъ,Old_East_Slavic,PROPN,304,yes,-2.4189,1.2466,-0.7358,0.1436,0.2251,0.199,2,2,1,1
7,8,христ(ос)ъ,Old_East_Slavic,PROPN,229,yes,-1.3102,-0.0834,0.4393,0.1796,0.1459,0.309,1,1,1,1
8,9,сынъ,Old_East_Slavic,NOUN,48,yes,4.9337,0.0106,-0.7867,0.3825,0.1515,0.1943,4,4,3,2
9,10,божии,Old_East_Slavic,ADJ,178,yes,-2.7337,1.644,-1.1792,0.1334,0.2488,0.1576,2,2,1,1
10,2057,блудъ,Old_East_Slavic,PROPN,412,yes,-2.7735,0.5404,1.2229,0.1321,0.1831,0.3823,2,2,1,1
11,12,азъ,Old_East_Slavic,PRON,25,yes,4.676,-0.9393,-0.4727,0.3741,0.095,0.2236,4,4,3,2
12,14,свои,Old_East_Slavic,ADJ,13,yes,3.6439,-0.3615,-1.3413,0.3406,0.1294,0.1424,5,4,3,2
13,2062,льсть,Old_East_Slavic,NOUN,404,yes,-3.5487,2.6085,-1.8775,0.1069,0.3062,0.0922,2,2,1,1
14,2065,володимѣрь,Old_East_Slavic,ADJ,385,yes,-4.3103,2.0177,0.3017,0.0822,0.271,0.2961,2,2,1,1
15,19,написати,Old_East_Slavic,VERB,435,yes,-0.8192,-0.8233,1.3472,0.1956,0.1019,0.3939,1,1,1,1
