,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,_,Old_French,PROPN,14,yes,2.5416,3.8861,-5.5091,0.8926,0.8751,0.2745,4,3,3,2
1,2,_,Old_French,PROPN,14,yes,2.5416,3.8861,-5.5091,0.8926,0.8751,0.2745,4,3,3,2
2,3,_,Old_French,PROPN,14,yes,2.8563,4.6385,-6.2306,0.9061,0.9402,0.1984,4,3,3,2
3,4,_,Old_French,PROPN,14,yes,2.7487,4.3728,-5.9538,0.9015,0.9172,0.2276,4,3,3,2
4,5,_,Old_French,PROPN,14,yes,2.1783,2.8856,-4.3095,0.877,0.7885,0.4011,4,3,3,2
5,6,_,Old_French,PROPN,14,yes,2.5416,3.8861,-5.5091,0.8926,0.8751,0.2745,4,3,3,2
6,7,_,Old_French,PROPN,14,yes,2.8857,4.2593,-6.0447,0.9074,0.9074,0.218,4,3,3,2
7,9,_,Old_French,PROPN,14,yes,4.0268,5.3294,-8.111,0.9563,1.0,0.0,4,3,3,2
8,10,_,Old_French,PROPN,14,yes,3.583,4.4404,-6.9372,0.9373,0.9231,0.1238,4,3,3,2
9,11,_,Old_French,PROPN,14,yes,2.5114,3.3942,-4.7359,0.8913,0.8325,0.3561,4,3,3,2
10,12,_,Old_French,PROPN,14,yes,2.5416,3.8861,-5.5091,0.8926,0.8751,0.2745,4,3,3,2
11,13,@card@,Old_French,DET,485,yes,1.1719,-0.9893,0.6235,0.8338,0.4532,0.9215,5,4,3,2
12,15,@card@,Old_French,DET,485,yes,-3.1879,-2.0351,-2.7056,0.6468,0.3627,0.5703,3,2,2,2
13,17,@card@,Old_French,DET,485,yes,3.3151,-2.257,-0.0956,0.9258,0.3435,0.8457,5,4,3,2
14,19,le,Old_French,DET,13,yes,-8.4696,-4.0686,-2.4128,0.4202,0.1868,0.6012,2,1,1,1
15,20,bon,Old_French,ADJ,89,yes,-0.7042,0.1795,1.1701,0.7534,0.5544,0.9792,3,2,2,2
16,21,roi,Old_French,NOUN,103,yes,-1.1559,0.5261,0.9654,0.734,0.5844,0.9576,3,2,2,2
17,22,de,Old_French,ADP,16,yes,-10.5486,-3.6178,-2.6391,0.331,0.2258,0.5773,2,1,1,1
18,25,cui,Old_French,PRON,188,yes,0.9589,-0.2951,0.6043,0.8247,0.5133,0.9195,5,4,3,2
19,27,nos,Old_French,PRON,85,yes,-1.1864,1.5451,0.5478,0.7327,0.6725,0.9135,3,2,2,2
20,29,que,Old_French,ADV,272,yes,-10.1805,-0.917,-1.089,0.3468,0.4595,0.7409,2,1,1,1
21,30,estre,Old_French,VERB,41,yes,-8.4774,-0.562,-0.3599,0.4198,0.4902,0.8178,2,1,1,1
