,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,mężczyzna,Polish,NOUN,6,yes,-14.4145,5.386,2.8872,0.0832,0.7512,0.6292,1,1,1,1
1,2,w,Polish,ADP,1,yes,-16.1634,8.4011,3.1951,0.0,1.0,0.6727,1,1,1,1
2,3,czapka,Polish,NOUN,69,yes,-2.7927,-2.2376,0.5154,0.6363,0.1222,0.2943,3,3,2,2
3,4,z,Polish,ADP,3,yes,-10.9403,5.1105,1.5184,0.2486,0.7285,0.4359,1,1,1,1
4,5,daszek,Polish,NOUN,247,yes,2.5654,1.2834,-0.3487,0.8912,0.4127,0.1723,5,4,3,2
5,6,trzymać,Polish,ADJ,237,yes,-11.3098,3.6565,2.2397,0.231,0.6085,0.5378,1,1,1,1
6,7,ręka,Polish,NOUN,18,yes,-7.0368,0.1721,-0.4027,0.4343,0.321,0.1647,2,2,1,1
7,9,i,Polish,PART,373,yes,-11.5518,4.3516,2.0758,0.2195,0.6659,0.5146,1,1,1,1
8,10,spoglądać,Polish,VERB,331,yes,-1.184,-2.1304,0.3334,0.7128,0.131,0.2686,3,3,2,2
9,11,przez,Polish,ADP,34,yes,-2.2158,-0.3619,-0.9626,0.6637,0.277,0.0856,3,3,2,2
10,14,kobieta,Polish,NOUN,11,yes,-13.1161,3.8341,1.1367,0.145,0.6232,0.382,1,1,1,1
11,2063,mówić,Polish,VERB,252,yes,-0.0948,0.6075,-0.9332,0.7647,0.357,0.0898,3,3,2,2
12,15,długi,Polish,ADJ,107,yes,0.3963,0.2177,-1.0008,0.788,0.3248,0.0802,3,3,2,2
13,17,ciemny,Polish,ADJ,151,yes,1.2739,0.0289,-0.3805,0.8298,0.3092,0.1678,3,3,2,2
14,18,sukienka,Polish,NOUN,192,yes,-0.1201,-1.2995,0.0817,0.7634,0.1996,0.2331,3,3,2,2
15,19,biały,Polish,ADJ,31,yes,-2.9831,-0.7533,-0.4585,0.6272,0.2447,0.1568,3,3,2,2
16,20,kapelusz,Polish,NOUN,89,yes,-2.3376,-2.1721,0.1881,0.6579,0.1276,0.2481,3,3,2,2
17,21,stać,Polish,ADJ,157,yes,-15.9295,6.6711,3.4221,0.0111,0.8573,0.7047,1,1,1,1
18,22,jeden,Polish,ADJ,43,yes,-4.6663,-1.3291,-0.2575,0.5471,0.1972,0.1852,2,2,1,1
19,23,duży,Polish,ADJ,33,yes,-2.1696,0.5959,-1.373,0.6659,0.356,0.0276,3,3,2,2
20,24,torba,Polish,NOUN,308,yes,-1.2401,-2.1377,0.386,0.7101,0.1304,0.276,3,3,2,2
21,25,na,Polish,ADP,2,yes,-12.9146,6.1777,1.9463,0.1546,0.8165,0.4963,1,1,1,1
22,26,ramię,Polish,NOUN,173,yes,-0.6986,-1.2649,-0.2286,0.7359,0.2025,0.1892,3,3,2,2
23,27,drugi,Polish,ADJ,39,yes,-4.3301,-1.7228,-0.1339,0.5631,0.1647,0.2026,2,2,1,1
24,2074,świat,Polish,NOUN,364,yes,1.3677,0.0693,-0.0066,0.8342,0.3125,0.2206,3,3,2,2
25,28,wózek,Polish,NOUN,216,yes,-0.3317,-0.994,-0.4863,0.7534,0.2248,0.1529,3,3,2,2
26,30,chodnik,Polish,NOUN,83,yes,-1.6504,-1.4781,-0.2436,0.6906,0.1849,0.1871,3,3,2,2
27,31,obok,Polish,ADV,108,yes,-4.101,-0.2892,-1.0542,0.574,0.283,0.0727,2,2,1,1
28,33,ławka,Polish,NOUN,164,yes,-0.357,-1.0307,-0.2721,0.7522,0.2218,0.1831,3,3,2,2
29,34,który,Polish,DET,51,yes,-2.7234,-1.1727,-0.9947,0.6396,0.2101,0.0811,3,3,2,2
30,35,siedzieć,Polish,ADJ,220,yes,-13.9682,5.2421,2.4794,0.1045,0.7393,0.5716,1,1,1,1
31,36,dwa,Polish,NUM,14,yes,-2.1322,-0.8852,-0.9765,0.6677,0.2338,0.0836,3,3,2,2
32,37,chłopiec,Polish,NOUN,16,yes,-9.6968,1.6363,0.0979,0.3077,0.4418,0.2353,2,2,1,1
33,38,niebieski,Polish,ADJ,67,yes,-2.4414,-1.0974,-0.3787,0.653,0.2163,0.168,3,3,2,2
34,39,kurtka,Polish,NOUN,74,yes,-3.263,-1.7455,0.1343,0.6139,0.1628,0.2405,3,3,2,2
35,40,biec,Polish,VERB,53,yes,-6.1195,-0.658,-0.3827,0.478,0.2525,0.1675,2,2,1,1
36,41,po,Polish,ADP,12,yes,-2.7547,0.3573,-1.1061,0.6381,0.3363,0.0653,3,3,2,2
37,42,śnieg,Polish,NOUN,60,yes,-1.5804,-1.7048,-0.3222,0.694,0.1662,0.176,3,3,2,2
38,43,deska,Polish,NOUN,75,yes,-3.4514,0.066,1.3668,0.6049,0.3123,0.4145,3,3,2,2
39,44,a,Polish,PART,212,yes,-3.6815,-0.6606,-0.9127,0.594,0.2523,0.0926,2,2,1,1
40,45,za,Polish,ADP,29,yes,-1.562,-0.4096,-1.1099,0.6948,0.273,0.0648,3,3,2,2
41,46,on,Polish,PRON,8,yes,-9.9491,3.6325,1.3939,0.2957,0.6065,0.4183,1,1,1,1
42,47,pies,Polish,NOUN,30,yes,-6.6239,0.5925,-0.8082,0.454,0.3557,0.1074,2,2,1,1
43,49,wraz,Polish,ADV,291,yes,1.1362,-2.2404,2.7586,0.8232,0.122,0.6111,3,3,2,2
44,50,mały,Polish,ADJ,35,yes,-1.1865,-0.2835,-0.8768,0.7127,0.2834,0.0977,3,3,2,2
45,52,woda,Polish,NOUN,20,yes,-4.6529,-0.6111,-0.6859,0.5477,0.2564,0.1247,2,2,1,1
46,53,do,Polish,ADP,7,yes,-4.565,0.9181,-1.3594,0.5519,0.3826,0.0296,3,3,2,2
47,55,wodny,Polish,ADJ,348,yes,4.766,3.8871,0.6362,0.996,0.6276,0.3114,4,4,3,2
48,56,pobliże,Polish,NOUN,62,yes,4.0443,3.5433,0.3929,0.9616,0.5992,0.277,4,4,3,2
49,57,znajdować,Polish,ADJ,447,yes,-0.0627,-0.7441,-0.3442,0.7662,0.2454,0.1729,3,3,2,2
50,58,się,Polish,PRON,4,yes,-1.6808,0.6156,-1.3424,0.6892,0.3576,0.032,3,3,2,2
51,59,obok,Polish,ADV,108,yes,-0.0558,-0.6202,-0.5492,0.7665,0.2556,0.144,3,3,2,2
52,60,dziecko,Polish,NOUN,25,yes,-9.8744,1.6766,0.1937,0.2993,0.4452,0.2489,2,2,1,1
53,61,dziewczynka,Polish,NOUN,19,yes,-7.8071,0.6629,-0.437,0.3976,0.3615,0.1598,2,2,1,1
54,62,bawić,Polish,VERB,226,yes,-0.9165,-0.9686,-0.5442,0.7255,0.2269,0.1447,3,3,2,2
55,63,plac,Polish,NOUN,268,yes,0.4718,-0.6122,-0.3006,0.7916,0.2563,0.1791,3,3,2,2
56,2106,nowy,Polish,ADJ,209,yes,2.3594,1.264,-0.9107,0.8814,0.4111,0.0929,5,4,3,2
57,65,siebie,Polish,PRON,27,yes,-3.9215,0.2885,-1.295,0.5826,0.3306,0.0387,3,3,2,2
58,66,bluzka,Polish,NOUN,224,yes,-0.7893,-1.7043,0.1662,0.7316,0.1662,0.245,3,3,2,2
59,68,nieść,Polish,VERB,442,yes,-0.7587,-1.923,0.328,0.7331,0.1482,0.2678,3,3,2,2
60,69,deskorolka,Polish,NOUN,111,yes,-0.7591,-1.6854,0.0907,0.733,0.1678,0.2343,3,3,2,2
61,70,iść,Polish,VERB,52,yes,-5.9502,0.2177,-0.711,0.486,0.3248,0.1211,2,2,1,1
62,72,kształt,Polish,NOUN,387,yes,1.0438,-0.3095,-0.0241,0.8188,0.2813,0.2181,3,3,2,2
63,76,pod,Polish,ADP,55,yes,-0.205,-0.0615,-0.9015,0.7594,0.3017,0.0942,3,3,2,2
64,77,chłopak,Polish,NOUN,64,yes,-4.3922,-0.7307,-0.717,0.5602,0.2465,0.1203,2,2,1,1
65,78,zielony,Polish,ADJ,138,yes,0.4987,-0.7072,-0.2329,0.7929,0.2485,0.1886,3,3,2,2
66,79,koszulka,Polish,NOUN,98,yes,-4.19,-0.233,1.9199,0.5698,0.2876,0.4926,3,3,2,2
67,80,skakać,Polish,VERB,48,yes,-7.1168,0.1425,-0.5273,0.4305,0.3186,0.1471,2,2,1,1
68,81,trawa,Polish,NOUN,42,yes,-2.1979,-1.1414,-0.7363,0.6646,0.2126,0.1176,3,3,2,2
