,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,o,Portuguese,DET,1,yes,-18.6843,7.3308,1.714,0.2951,0.5994,0.4994,1,1,1,1
1,2,objetivo,Portuguese,NOUN,226,yes,-0.5749,-1.4182,0.2865,0.8208,0.0519,0.3492,5,4,3,2
2,3,de,Portuguese,ADP,3,yes,-13.7331,2.9458,0.1097,0.4388,0.325,0.3306,2,2,2,2
3,4,principal,Portuguese,ADJ,99,yes,3.0085,2.2538,-0.8879,0.9248,0.2817,0.2256,5,4,3,2
4,6,cidade,Portuguese,NOUN,58,yes,-1.8961,-1.7727,-0.2076,0.7824,0.0298,0.2972,3,2,2,2
5,7,ser,Portuguese,VERB,22,yes,-5.2559,-0.6152,-1.3554,0.6849,0.1022,0.1765,3,2,2,2
6,8,que,Portuguese,CCONJ,18,yes,-4.0501,-1.0053,-1.1063,0.7199,0.0778,0.2027,3,2,2,2
7,11,ter,Portuguese,AUX,35,yes,-1.208,-1.0797,-1.1523,0.8024,0.0731,0.1978,3,2,2,2
8,12,sair,Portuguese,VERB,113,yes,-2.7721,-1.6467,-0.9026,0.757,0.0376,0.2241,3,2,2,2
9,13,_,Portuguese,ADV,64,yes,-0.1177,-0.953,0.1787,0.8341,0.081,0.3379,5,4,3,2
10,14,e,Portuguese,CCONJ,8,yes,-11.958,3.3626,0.4557,0.4904,0.3511,0.367,1,1,1,1
11,16,_,Portuguese,ADV,64,yes,-17.5118,6.1834,1.5601,0.3291,0.5276,0.4832,1,1,1,1
12,17,_,Portuguese,ADV,64,yes,-8.254,0.5426,-0.7959,0.5979,0.1746,0.2353,2,2,2,2
13,18,minuto,Portuguese,NOUN,237,yes,0.4825,-0.5869,0.9564,0.8515,0.104,0.4197,5,4,3,2
14,2065,tornar,Portuguese,VERB,382,yes,0.8775,0.0093,-0.3752,0.863,0.1413,0.2796,5,4,3,2
15,21,em,Portuguese,ADP,4,yes,-8.6149,1.0217,-0.7108,0.5874,0.2046,0.2443,2,2,2,2
16,22,um,Portuguese,DET,11,yes,-4.7073,0.1223,-1.3696,0.7008,0.1483,0.175,3,2,2,2
17,23,reunião,Portuguese,NOUN,205,yes,-1.4517,-1.6824,-0.2465,0.7953,0.0354,0.2931,3,2,2,2
