,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,putea,Romanian,AUX,208,yes,-1.5652,-0.6702,0.5863,0.2146,0.1858,0.2817,5,4,3,2
1,4,semăna,Romanian,VERB,328,yes,-1.157,0.2546,-0.4447,0.2328,0.2658,0.1693,5,4,3,2
2,5,la,Romanian,ADP,6,yes,5.6721,2.2272,-1.5788,0.5376,0.4365,0.0456,2,2,1,1
3,6,fântână,Romanian,NOUN,218,yes,-0.5105,-0.942,0.2345,0.2616,0.1622,0.2433,3,3,2,2
4,8,că,Romanian,SCONJ,12,yes,8.108,0.9128,-0.0539,0.6463,0.3227,0.2119,2,2,1,1
5,9,eu,Romanian,PRON,1,yes,11.8164,2.8549,0.9579,0.8119,0.4908,0.3222,2,2,1,1
6,10,nu,Romanian,ADV,8,yes,7.4296,0.3457,-0.2171,0.6161,0.2737,0.1941,2,2,1,1
7,11,el,Romanian,PRON,5,yes,9.5033,1.9095,-0.1979,0.7086,0.409,0.1962,2,2,1,1
8,12,vrea,Romanian,VERB,110,yes,4.9144,-0.8244,-0.6472,0.5038,0.1724,0.1472,2,2,1,1
9,13,pune,Romanian,VERB,52,yes,6.4318,0.2438,-0.0368,0.5715,0.2648,0.2138,2,2,1,1
10,14,în,Romanian,ADP,11,yes,3.3428,2.0178,-1.9575,0.4336,0.4183,0.0043,2,2,1,1
11,17,avea,Romanian,VERB,31,yes,10.3674,1.8766,1.0007,0.7472,0.4061,0.3269,2,2,1,1
12,18,pe,Romanian,ADP,15,yes,4.4512,1.646,-1.7463,0.4831,0.3862,0.0274,2,2,1,1
13,20,și,Romanian,ADV,34,yes,16.0309,8.6608,6.198,1.0,0.9932,0.8936,1,1,1,1
14,21,apoi,Romanian,ADV,167,yes,-0.6922,-1.2073,0.4919,0.2535,0.1393,0.2714,3,3,2,2
15,23,mai,Romanian,ADV,20,yes,3.7215,-0.8434,-0.8863,0.4505,0.1708,0.1211,2,2,1,1
16,24,odată,Romanian,ADV,318,yes,-2.0212,-0.6146,1.3479,0.1942,0.1906,0.3647,4,4,3,2
17,25,când,Romanian,ADV,21,yes,3.4797,-1.3428,-0.5125,0.4398,0.1275,0.1619,2,2,1,1
18,26,spin,Romanian,NOUN,461,yes,-1.256,0.6696,-0.7888,0.2284,0.3017,0.1318,5,4,3,2
19,27,putea,Romanian,AUX,208,yes,2.317,-1.9514,-0.1123,0.3879,0.0749,0.2055,3,3,2,2
20,28,să,Romanian,PART,7,yes,6.6791,-0.0063,-0.2249,0.5826,0.2432,0.1933,2,2,1,1
21,29,aduna,Romanian,VERB,321,yes,-0.1267,-0.9159,-0.0662,0.2788,0.1645,0.2106,3,3,2,2
22,31,al,Romanian,DET,56,yes,-1.3517,1.3152,-1.1724,0.2241,0.3576,0.0899,5,4,3,2
23,32,meu,Romanian,PRON,403,yes,1.5832,1.1035,-1.9545,0.3551,0.3392,0.0047,3,3,2,2
24,33,dor,Romanian,NOUN,42,yes,3.9071,-0.4947,-0.847,0.4588,0.2009,0.1254,2,2,1,1
25,35,părea,Romanian,VERB,168,yes,1.7333,-1.5988,-0.2541,0.3618,0.1054,0.1901,3,3,2,2
26,2084,ileana,Romanian,NOUN,409,yes,-3.6517,1.6383,0.7111,0.1214,0.3855,0.2953,5,4,3,2
27,37,prin,Romanian,ADP,74,yes,-2.2896,1.6678,-1.2536,0.1822,0.3881,0.0811,5,4,3,2
28,38,grădină,Romanian,NOUN,140,yes,0.8502,-0.2332,-1.1108,0.3224,0.2236,0.0967,3,3,2,2
29,39,lângă,Romanian,ADP,259,yes,-2.6651,0.9788,0.4653,0.1655,0.3284,0.2685,5,4,3,2
30,2086,chip,Romanian,NOUN,457,yes,-2.3177,0.6235,0.32,0.181,0.2977,0.2527,5,4,3,2
31,41,fi,Romanian,VERB,33,yes,7.6007,2.3084,-0.9963,0.6237,0.4435,0.1091,2,2,1,1
32,43,un,Romanian,NUM,394,yes,3.2538,2.152,-1.9137,0.4297,0.43,0.0091,2,2,1,1
33,44,mare,Romanian,NOUN,244,yes,1.6648,0.4087,-1.5287,0.3587,0.2791,0.0511,3,3,2,2
34,46,cu,Romanian,ADP,14,yes,5.4417,2.5368,-1.5758,0.5273,0.4633,0.0459,2,2,1,1
35,47,tată,Romanian,NOUN,125,yes,1.4563,0.004,-1.0787,0.3494,0.2441,0.1002,3,3,2,2
36,48,său,Romanian,DET,215,yes,-3.8633,1.2917,1.0565,0.112,0.3555,0.333,5,4,3,2
37,49,bate,Romanian,VERB,47,yes,6.6458,0.5895,-0.213,0.5811,0.2948,0.1945,2,2,1,1
38,50,dumnezeu,Romanian,PROPN,194,yes,-1.2132,-0.9579,0.9811,0.2303,0.1609,0.3247,4,4,3,2
39,2098,sân,Romanian,NOUN,481,yes,-2.6006,0.6524,0.6913,0.1683,0.3002,0.2931,5,4,3,2
