,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,ciamar,Scottish_Gaelic,ADV,499,yes,2.4591,-2.0664,4.8644,0.9194,0.0204,0.4732,2,2,1,1
1,2,a,Scottish_Gaelic,ADJ,347,yes,-5.0648,0.2364,-1.0051,0.7137,0.1248,0.0827,4,3,2,2
2,3,rach,Scottish_Gaelic,NOUN,37,yes,-9.5271,2.3508,0.2748,0.5917,0.2207,0.1679,4,3,2,2
3,4,do,Scottish_Gaelic,DET,115,yes,-3.4808,-0.4277,-1.2322,0.757,0.0947,0.0676,3,3,2,2
4,5,sibh,Scottish_Gaelic,PRON,76,yes,-1.9284,-1.4045,-0.7421,0.7995,0.0504,0.1002,3,3,2,2
5,6,an-diugh,Scottish_Gaelic,ADV,144,yes,0.5705,-1.3027,1.2529,0.8678,0.0551,0.233,2,2,1,1
6,2055,ceò,Scottish_Gaelic,NOUN,380,yes,1.2196,-1.0419,1.7477,0.8855,0.0669,0.2659,2,2,1,1
7,9,cha,Scottish_Gaelic,PART,23,yes,-1.4495,-1.1771,-0.5819,0.8126,0.0608,0.1109,2,2,1,1
8,10,bi,Scottish_Gaelic,ADJ,118,yes,-31.1696,19.5407,12.7823,0.0,1.0,1.0,5,4,3,2
9,11,i,Scottish_Gaelic,PRON,15,yes,-4.7742,-0.2423,-0.8732,0.7217,0.1031,0.0915,3,3,2,2
10,12,ach,Scottish_Gaelic,PART,130,yes,0.0944,-0.6017,0.0001,0.8548,0.0868,0.1496,2,2,1,1
11,13,gu,Scottish_Gaelic,PRON,434,yes,0.5942,-0.2292,0.0715,0.8684,0.1037,0.1543,2,2,1,1
12,14,math,Scottish_Gaelic,ADV,126,yes,0.5364,0.1933,-0.5146,0.8669,0.1229,0.1154,2,2,1,1
13,17,fèin,Scottish_Gaelic,PRON,36,yes,-0.9988,-1.0154,-0.3895,0.8249,0.0681,0.1237,2,2,1,1
14,19,faigh,Scottish_Gaelic,NOUN,100,yes,-8.92,1.9021,-0.1049,0.6083,0.2004,0.1426,4,3,2,2
15,20,sinn,Scottish_Gaelic,PRON,43,yes,-2.7376,-0.77,-1.0007,0.7774,0.0792,0.083,3,3,2,2
