,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,kazna,Serbian,NOUN,421,yes,-2.6337,-0.5008,-3.418,0.133,0.1164,0.3903,1,1,1,1
1,6,u,Serbian,ADP,2,yes,13.9513,7.8299,-1.7127,0.7092,0.6578,0.5769,5,4,3,2
2,7,makedonija,Serbian,PROPN,35,yes,3.2179,-0.6858,0.245,0.3363,0.1044,0.7911,3,3,2,2
3,8,neki,Serbian,DET,115,yes,0.1993,-0.651,0.5022,0.2314,0.1067,0.8193,1,1,1,1
4,10,da,Serbian,SCONJ,4,yes,8.3308,3.2774,-1.4433,0.5139,0.362,0.6064,5,4,3,2
5,11,biti,Serbian,AUX,1,yes,20.1066,11.3074,-4.2725,0.923,0.8838,0.2968,4,4,3,2
6,15,napad,Serbian,NOUN,323,yes,0.226,-0.9288,-0.0814,0.2324,0.0886,0.7554,3,3,2,2
7,16,na,Serbian,ADP,6,yes,7.2181,1.6089,0.5106,0.4753,0.2535,0.8202,5,4,3,2
8,17,sloboda,Serbian,NOUN,233,yes,-0.008,-0.6384,0.2273,0.2242,0.1075,0.7892,1,1,1,1
9,18,medij,Serbian,NOUN,144,yes,-0.5919,0.169,1.5057,0.204,0.16,0.929,1,1,1,1
10,20,ali,Serbian,CCONJ,42,yes,0.5602,-1.4226,-0.375,0.244,0.0565,0.7233,3,3,2,2
11,21,drugi,Serbian,ADJ,26,yes,2.8581,-0.78,0.6411,0.3238,0.0983,0.8345,3,3,2,2
12,23,o,Serbian,ADP,17,yes,3.3285,0.1863,1.0953,0.3401,0.1611,0.8841,3,3,2,2
13,24,njegov,Serbian,DET,59,yes,-0.9273,-0.1048,0.7317,0.1923,0.1422,0.8444,1,1,1,1
14,26,deo,Serbian,NOUN,110,yes,3.3949,-0.9647,0.1591,0.3425,0.0863,0.7817,3,3,2,2
15,32,godina,Serbian,NOUN,13,yes,8.5667,4.4092,-0.8039,0.5221,0.4355,0.6764,5,4,3,2
16,34,zbog,Serbian,ADP,72,yes,-0.4101,-0.2792,0.6201,0.2103,0.1308,0.8322,1,1,1,1
17,37,i,Serbian,CCONJ,3,yes,22.3235,13.0963,-4.4353,1.0,1.0,0.279,4,4,3,2
18,41,koji,Serbian,DET,8,yes,6.8434,0.7783,-0.014,0.4623,0.1996,0.7628,5,4,3,2
19,2091,specijalan,Serbian,ADJ,397,yes,-6.4633,5.9544,1.6581,0.0,0.5359,0.9457,2,2,1,1
