,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2049,kapitola,Slovak,NOUN,99,yes,-0.2797,0.2991,-0.9442,0.7727,0.8145,0.0886,5,4,3,2
1,2,tá,Slovak,DET,41,yes,0.1941,-0.0296,-0.8706,0.7903,0.7912,0.0978,1,1,1,1
2,3,ľudský,Slovak,ADJ,373,yes,3.4833,-1.176,0.5053,0.912,0.7099,0.2693,2,2,1,1
3,1,kde,Slovak,ADV,207,yes,1.621,0.831,1.9248,0.8431,0.8522,0.4463,1,1,1,1
4,7,prečo,Slovak,ADV,165,yes,1.0771,0.2197,-0.254,0.823,0.8089,0.1746,1,1,1,1
5,8,to,Slovak,DET,6,yes,-13.894,-5.5649,1.9671,0.2689,0.3986,0.4516,3,3,2,2
6,2058,11,Slovak,NUM,264,yes,2.9753,-1.8218,-0.4692,0.8932,0.6641,0.1478,2,2,1,1
7,2059,pozrieť,Slovak,VERB,87,yes,-3.3412,1.5729,-0.0846,0.6594,0.9049,0.1958,5,4,3,2
8,10,písať,Slovak,VERB,203,yes,-2.8297,1.6874,-0.1944,0.6784,0.913,0.1821,5,4,3,2
9,11,byť,Slovak,VERB,16,yes,-20.9615,-10.7677,3.3079,0.0073,0.0295,0.6188,3,3,2,2
10,15,aby,Slovak,SCONJ,43,yes,-0.6878,1.3236,-0.397,0.7576,0.8872,0.1568,5,4,3,2
11,16,sa,Slovak,PRON,2,yes,-4.0415,1.0286,-0.5027,0.6335,0.8663,0.1436,5,4,3,2
12,17,človek,Slovak,NOUN,46,yes,-4.1783,1.3895,-0.1261,0.6285,0.8919,0.1906,5,4,3,2
13,18,môcť,Slovak,VERB,32,yes,-8.5928,-1.0857,0.1462,0.4651,0.7163,0.2245,4,4,3,2
14,2065,už,Slovak,ADV,186,yes,2.5998,-1.2469,0.1705,0.8793,0.7049,0.2276,2,2,1,1
15,22,my,Slovak,PRON,31,yes,-3.6743,0.413,-1.1181,0.6471,0.8226,0.0669,5,4,3,2
16,24,z,Slovak,ADP,12,yes,-5.7658,-1.2098,-0.9961,0.5697,0.7075,0.0821,4,4,3,2
17,26,existovať,Slovak,VERB,229,yes,-1.1936,0.2321,-0.9563,0.7389,0.8098,0.0871,5,4,3,2
18,2075,oblasť,Slovak,NOUN,151,yes,-0.4397,0.6397,-0.4811,0.7668,0.8387,0.1463,5,4,3,2
19,27,láska,Slovak,NOUN,220,yes,0.1759,0.6405,0.1413,0.7896,0.8387,0.2239,1,1,1,1
20,2077,cirkev,Slovak,NOUN,158,yes,-0.024,-0.0347,-0.1943,0.7822,0.7908,0.1821,1,1,1,1
21,30,čas,Slovak,NOUN,119,yes,-1.9221,1.0995,-0.7034,0.712,0.8713,0.1186,5,4,3,2
22,31,môj,Slovak,DET,60,yes,1.0102,-0.3611,-1.1554,0.8205,0.7677,0.0623,1,1,1,1
23,32,starý,Slovak,ADJ,131,yes,0.3369,0.1121,-0.8195,0.7956,0.8013,0.1041,1,1,1,1
24,33,otec,Slovak,NOUN,359,yes,0.7807,-0.4236,-1.2194,0.812,0.7633,0.0543,1,1,1,1
25,35,nový,Slovak,ADJ,76,yes,-0.6227,0.3978,-0.7709,0.76,0.8215,0.1102,5,4,3,2
26,2083,rus,Slovak,PROPN,324,yes,2.0062,-0.806,-0.3156,0.8573,0.7361,0.167,2,2,1,1
27,2087,slúžiť,Slovak,VERB,466,yes,-0.274,1.1959,0.7449,0.773,0.8781,0.2992,1,1,1,1
28,40,ľahký,Slovak,ADJ,367,yes,1.713,0.236,1.7399,0.8465,0.81,0.4233,1,1,1,1
29,41,otázka,Slovak,NOUN,227,yes,-0.2046,0.7873,0.1412,0.7755,0.8492,0.2239,1,1,1,1
30,43,ťažký,Slovak,ADJ,319,yes,0.8823,1.3009,1.8826,0.8157,0.8856,0.441,1,1,1,1
31,44,odpoveď,Slovak,NOUN,415,yes,1.3707,-0.2221,-0.5781,0.8338,0.7776,0.1342,1,1,1,1
32,45,autobus,Slovak,NOUN,391,yes,2.0103,-0.471,0.3075,0.8575,0.7599,0.2447,2,2,1,1
33,47,na,Slovak,ADP,4,yes,-10.1178,-4.7144,0.5343,0.4086,0.4589,0.2729,3,3,2,2
34,4143,pohár,Slovak,NOUN,485,yes,1.3224,0.2414,0.5835,0.832,0.8104,0.2791,1,1,1,1
35,50,iný,Slovak,DET,127,yes,-1.0522,0.3693,-0.8363,0.7442,0.8195,0.102,5,4,3,2
36,2099,svedčiť,Slovak,VERB,393,yes,1.8088,-0.5281,-0.3565,0.85,0.7558,0.1619,2,2,1,1
37,52,tu,Slovak,ADV,51,yes,-1.0727,1.885,0.2222,0.7434,0.927,0.234,5,4,3,2
38,54,ešte,Slovak,ADV,472,yes,2.6688,-0.1959,1.87,0.8819,0.7794,0.4395,1,1,1,1
39,55,vidieť,Slovak,VERB,73,yes,-6.5263,0.2466,-0.0714,0.5416,0.8108,0.1974,4,4,3,2
40,56,ako,Slovak,ADV,104,yes,0.4181,1.1474,0.8994,0.7986,0.8747,0.3185,1,1,1,1
41,62,silný,Slovak,ADJ,274,yes,0.7437,0.5326,0.5833,0.8106,0.8311,0.279,1,1,1,1
42,65,ja,Slovak,PRON,8,yes,-7.8576,-0.7734,-0.3791,0.4923,0.7384,0.159,4,4,3,2
43,2118,novgorod,Slovak,PROPN,341,yes,1.0159,0.3577,0.1145,0.8207,0.8187,0.2206,1,1,1,1
44,71,čakať,Slovak,VERB,179,yes,-2.7873,0.8107,-0.8858,0.6799,0.8508,0.0959,5,4,3,2
45,72,veľmi,Slovak,ADV,64,yes,0.0811,-0.0458,-0.9404,0.7861,0.7901,0.0891,1,1,1,1
46,73,zaujímavý,Slovak,ADJ,202,yes,0.3056,0.2245,-0.6754,0.7944,0.8092,0.1221,1,1,1,1
47,74,pohľad,Slovak,NOUN,180,yes,-1.622,1.518,-0.3501,0.7231,0.901,0.1627,5,4,3,2
48,75,bežný,Slovak,ADJ,476,yes,1.6267,0.5654,1.9174,0.8433,0.8334,0.4454,1,1,1,1
49,77,on,Slovak,PRON,7,yes,-9.5211,-1.5632,-0.1162,0.4307,0.6824,0.1918,4,4,3,2
50,2126,centrum,Slovak,NOUN,495,yes,0.504,0.1852,-0.6268,0.8017,0.8064,0.1282,1,1,1,1
