,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,tisti,Slovenian,DET,99,yes,-2.8462,1.6531,0.2001,0.7158,0.9505,0.7778,4,3,3,2
1,3,večer,Slovenian,NOUN,344,yes,0.4659,1.3269,-1.9328,0.8268,0.9307,0.4838,5,4,3,2
2,4,biti,Slovenian,VERB,12,yes,-18.133,-8.4612,-2.643,0.2032,0.3374,0.386,1,1,1,1
3,4100,sodnik,Slovenian,NOUN,483,yes,2.696,-1.4025,0.5571,0.9016,0.7653,0.827,3,2,2,2
4,2055,poiskati,Slovenian,VERB,461,yes,0.2294,0.9848,-0.3859,0.8189,0.91,0.697,5,4,3,2
5,8,zgoditi,Slovenian,VERB,187,yes,-3.9441,1.6838,0.053,0.679,0.9523,0.7575,4,3,3,2
6,9,se,Slovenian,PRON,4,yes,-4.583,0.6517,0.7537,0.6575,0.8898,0.8541,4,3,3,2
7,10,mesec,Slovenian,NOUN,155,yes,-2.6173,1.0192,0.809,0.7234,0.9121,0.8617,4,3,3,2
8,11,dan,Slovenian,NOUN,44,yes,-5.2729,-0.1382,0.8922,0.6344,0.8419,0.8732,4,3,3,2
9,12,po,Slovenian,ADP,16,yes,-2.5086,-0.0318,1.1293,0.7271,0.8483,0.9058,4,3,3,2
10,13,ta,Slovenian,DET,10,yes,-14.5421,-6.3884,-2.0166,0.3236,0.463,0.4723,1,1,1,1
11,14,ko,Slovenian,SCONJ,22,yes,-2.6101,1.0216,0.5936,0.7237,0.9122,0.832,4,3,3,2
12,15,izvedeti,Slovenian,VERB,368,yes,-2.4816,1.676,0.168,0.728,0.9519,0.7734,4,3,3,2
13,16,da,Slovenian,SCONJ,6,yes,-7.9976,-0.4481,0.146,0.543,0.8231,0.7703,4,3,3,2
14,17,jaz,Slovenian,PRON,21,yes,-4.7751,1.182,0.5385,0.6511,0.9219,0.8244,4,3,3,2
15,2066,mnenje,Slovenian,NOUN,154,yes,-1.0473,0.3795,0.8006,0.7761,0.8733,0.8605,5,4,3,2
16,2069,mogoč,Slovenian,ADJ,143,yes,-2.7684,1.8454,-0.0069,0.7184,0.9621,0.7493,4,3,3,2
17,22,v,Slovenian,ADP,2,yes,-9.4974,-4.8195,-0.5382,0.4927,0.5581,0.676,1,1,1,1
18,2071,oziroma,Slovenian,CCONJ,202,yes,2.1981,-1.0403,0.4223,0.8849,0.7872,0.8084,3,2,2,2
19,27,ob,Slovenian,ADP,37,yes,-0.1198,0.0445,1.0723,0.8072,0.853,0.898,5,4,3,2
20,30,začeti,Slovenian,VERB,94,yes,-3.8144,1.3475,0.3479,0.6833,0.932,0.7982,4,3,3,2
21,32,on,Slovenian,PRON,8,yes,-7.8563,-0.4119,0.4124,0.5478,0.8253,0.807,4,3,3,2
22,36,priti,Slovenian,VERB,58,yes,-7.7003,-0.8033,0.4812,0.553,0.8016,0.8165,4,3,3,2
23,37,do,Slovenian,ADP,32,yes,-0.8627,0.5388,0.7884,0.7823,0.8829,0.8589,5,4,3,2
24,39,in,Slovenian,CCONJ,3,yes,-16.6661,-7.7755,-2.2312,0.2524,0.379,0.4427,1,1,1,1
25,41,sploh,Slovenian,PART,140,yes,0.1065,1.3633,-0.663,0.8148,0.9329,0.6588,5,4,3,2
26,2089,podjetje,Slovenian,NOUN,81,yes,-2.1197,0.4696,1.1665,0.7401,0.8787,0.911,4,3,3,2
27,43,kaj,Slovenian,PRON,68,yes,-2.9568,2.3024,-0.3528,0.7121,0.9898,0.7016,4,3,3,2
28,44,šele,Slovenian,PART,123,yes,0.9683,1.3712,-2.6907,0.8437,0.9334,0.3794,2,2,2,2
29,45,naslednji,Slovenian,ADJ,200,yes,0.7003,1.3401,-1.8637,0.8347,0.9315,0.4934,5,4,3,2
30,46,iz,Slovenian,ADP,27,yes,-1.9505,0.4741,1.0743,0.7458,0.879,0.8983,5,4,3,2
31,2095,povečati,Slovenian,VERB,465,yes,-0.4849,1.1948,-0.2533,0.795,0.9227,0.7153,5,4,3,2
