,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,el,Spanish,DET,1,yes,-22.4388,-10.4806,5.0376,0.0328,0.0346,0.72,1,1,1,1
1,3,de,Spanish,ADP,2,yes,-23.3851,-10.9574,5.3364,0.0,0.0,0.7512,1,1,1,1
2,5,y,Spanish,CCONJ,3,yes,-14.9211,-5.7269,2.6609,0.2937,0.3794,0.471,2,1,1,1
3,10,millón,Spanish,NOUN,58,yes,-1.4373,0.5597,-1.0085,0.7616,0.8354,0.0866,4,3,3,2
4,11,dólar,Spanish,NOUN,97,yes,0.5331,0.5294,0.4561,0.83,0.8332,0.24,5,4,3,2
5,13,mayo,Spanish,NOUN,62,yes,0.674,-0.2567,-0.8505,0.8348,0.7762,0.1032,5,4,3,2
6,15,a,Spanish,ADP,4,yes,-18.9953,-8.2192,3.8658,0.1523,0.1986,0.5972,1,1,1,1
7,18,informar,Spanish,VERB,268,yes,0.9265,-0.6074,-0.9442,0.8436,0.7507,0.0934,5,4,3,2
8,19,hoy,Spanish,ADV,32,yes,-0.9656,0.6749,-1.0595,0.7779,0.8437,0.0813,4,3,3,2
9,20,uno,Spanish,PRON,41,yes,-5.5384,-1.2999,-1.1109,0.6193,0.7005,0.0759,4,3,3,2
10,22,banco,Spanish,PROPN,371,yes,1.7581,1.0654,3.302,0.8725,0.8721,0.5381,5,4,3,2
11,25,según,Spanish,ADP,63,yes,2.1092,-1.3035,-0.8516,0.8846,0.7002,0.1031,3,2,2,2
12,28,ser,Spanish,AUX,10,yes,-11.4457,-2.7088,-0.0027,0.4143,0.5983,0.192,2,1,1,1
13,31,en,Spanish,ADP,6,yes,-12.175,-4.1841,1.763,0.389,0.4913,0.3769,2,1,1,1
14,32,poder,Spanish,NOUN,366,yes,0.6924,1.0836,1.4955,0.8355,0.8734,0.3489,5,4,3,2
15,2080,lejos,Spanish,ADV,473,yes,1.6409,-1.133,-1.313,0.8684,0.7126,0.0547,5,4,3,2
16,35,él,Spanish,PRON,5,yes,-11.2065,-2.8001,0.1997,0.4226,0.5917,0.2132,2,1,1,1
17,37,estadounidense,Spanish,ADJ,362,yes,3.6244,-2.8252,-0.7746,0.9372,0.5899,0.1111,3,2,2,2
18,38,su,Spanish,DET,13,yes,-1.6897,-0.8011,-1.3265,0.7528,0.7367,0.0533,5,4,3,2
19,39,valor,Spanish,NOUN,353,yes,0.785,0.3641,0.564,0.8387,0.8212,0.2513,5,4,3,2
20,41,cambio,Spanish,NOUN,244,yes,-0.8009,1.0017,-0.6234,0.7837,0.8674,0.127,4,3,3,2
21,42,oficial,Spanish,ADJ,217,yes,2.8884,-2.1143,-0.644,0.9117,0.6414,0.1248,3,2,2,2
22,44,que,Spanish,PRON,9,yes,-8.7109,-1.1034,-0.6135,0.5092,0.7148,0.128,2,1,1,1
