,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,4099,dr,Swedish,NOUN,249,yes,-6.1359,-6.7625,-0.8607,0.0,0.2733,0.167,4,3,3,2
1,3,av,Swedish,ADP,8,yes,7.3421,-1.2665,-1.1343,0.5199,0.7007,0.1273,1,1,1,1
2,5,genom,Swedish,ADP,69,yes,-1.8198,-1.4664,-1.8633,0.1665,0.6851,0.0215,5,4,3,2
3,4101,horn,Swedish,PROPN,269,yes,-0.0833,-2.9048,2.8679,0.2335,0.5733,0.7084,5,4,3,2
4,7,införa,Swedish,VERB,493,yes,-1.5355,-0.3803,-0.4617,0.1775,0.7696,0.225,5,4,3,2
5,12,den,Swedish,PRON,6,yes,9.2108,-1.6581,-0.3895,0.592,0.6702,0.2354,1,1,1,1
6,13,innebära,Swedish,VERB,176,yes,1.7436,1.1411,-0.8575,0.3039,0.8879,0.1675,3,2,2,2
7,14,bl.a.,Swedish,ADV,313,yes,-3.2948,-2.0118,-0.7577,0.1096,0.6427,0.182,4,3,3,2
8,15,att,Swedish,SCONJ,14,yes,4.3058,1.005,-0.7597,0.4028,0.8773,0.1817,3,2,2,2
9,16,endast,Swedish,ADV,466,yes,-3.0348,-1.6428,-0.2429,0.1196,0.6714,0.2567,4,3,3,2
10,17,en,Swedish,PRON,282,yes,2.0185,0.2359,-1.1853,0.3145,0.8175,0.1199,3,2,2,2
11,19,komma,Swedish,AUX,54,yes,0.8355,1.8468,0.1681,0.2689,0.9428,0.3164,3,2,2,2
12,20,att,Swedish,SCONJ,14,yes,4.9966,0.6742,-0.7924,0.4294,0.8516,0.177,3,2,2,2
13,21,finnas,Swedish,VERB,35,yes,8.7848,-1.5122,-0.5004,0.5756,0.6816,0.2194,1,1,1,1
14,22,för,Swedish,ADV,296,yes,9.5945,-1.6815,-0.2601,0.6068,0.6684,0.2542,1,1,1,1
15,2068,pris,Swedish,NOUN,349,yes,-0.3544,0.7477,0.2829,0.223,0.8573,0.3331,5,4,3,2
16,4119,försök,Swedish,NOUN,422,yes,-0.7275,1.0066,0.986,0.2086,0.8775,0.4352,5,4,3,2
17,24,statlig,Swedish,ADJ,231,yes,-5.4399,-3.0881,4.0887,0.0268,0.559,0.8856,5,4,3,2
18,26,bli,Swedish,AUX,186,yes,10.5872,-2.5993,0.4344,0.6451,0.597,0.3551,1,1,1,1
19,27,gemensam,Swedish,ADJ,308,yes,-2.2225,-0.9938,-0.2472,0.151,0.7219,0.2561,5,4,3,2
20,28,all,Swedish,PRON,268,yes,-0.3392,-0.3147,-1.0612,0.2236,0.7747,0.1379,5,4,3,2
21,4122,bred,Swedish,ADJ,365,yes,-3.6605,-1.4215,0.8456,0.0955,0.6886,0.4148,4,3,3,2
22,2078,exempelvis,Swedish,ADV,454,yes,-4.3633,-3.7891,-0.7293,0.0684,0.5045,0.1861,4,3,3,2
23,32,gälla,Swedish,VERB,74,yes,3.4178,0.7283,-0.9561,0.3685,0.8558,0.1532,3,2,2,2
24,33,även,Swedish,ADV,84,yes,0.2927,0.3117,-0.7262,0.248,0.8234,0.1866,3,2,2,2
25,36,och,Swedish,CCONJ,3,yes,13.8768,-6.3995,2.6919,0.772,0.3015,0.6828,2,1,1,1
26,38,en,Swedish,PRON,282,yes,14.0932,-7.4916,2.3634,0.7803,0.2166,0.6351,2,1,1,1
27,39,inkomst,Swedish,NOUN,144,yes,1.2286,0.5447,-1.0715,0.2841,0.8415,0.1364,3,2,2,2
28,40,som,Swedish,CCONJ,197,yes,6.0924,0.3148,-0.5157,0.4717,0.8237,0.2171,1,1,1,1
29,41,på,Swedish,ADP,5,yes,11.7852,-5.1763,2.21,0.6913,0.3966,0.6129,2,1,1,1
30,42,denna,Swedish,PRON,68,yes,-0.6693,-0.6615,-1.4479,0.2109,0.7477,0.0818,5,4,3,2
31,43,sätt,Swedish,NOUN,136,yes,0.5916,0.419,-0.9616,0.2595,0.8318,0.1524,3,2,2,2
32,2091,än,Swedish,ADP,215,yes,-2.3921,-0.8498,-0.2615,0.1444,0.7331,0.254,5,4,3,2
33,46,kalla,Swedish,VERB,362,yes,0.221,0.716,-0.6871,0.2452,0.8549,0.1922,3,2,2,2
34,48,vara,Swedish,NOUN,221,yes,5.6711,-1.0513,-1.6313,0.4554,0.7174,0.0552,1,1,1,1
35,50,tjänst,Swedish,NOUN,460,yes,-1.1064,0.1989,0.3739,0.194,0.8146,0.3463,5,4,3,2
36,52,lön,Swedish,NOUN,370,yes,-0.5386,0.719,0.3505,0.2159,0.8551,0.3429,5,4,3,2
37,2101,anse,Swedish,VERB,243,yes,1.0354,1.5184,0.1436,0.2766,0.9173,0.3129,3,2,2,2
38,4155,medicinsk,Swedish,ADJ,418,yes,-4.8113,-3.6615,-0.2602,0.0511,0.5144,0.2542,4,3,3,2
39,63,eller,Swedish,CCONJ,20,yes,4.2219,0.461,-1.1635,0.3995,0.835,0.1231,3,2,2,2
40,64,därmed,Swedish,ADV,500,yes,-1.9331,1.3881,3.454,0.1621,0.9071,0.7935,5,4,3,2
41,67,om,Swedish,SCONJ,33,yes,2.2254,1.3349,-0.6368,0.3225,0.903,0.1996,3,2,2,2
42,69,arbeta,Swedish,VERB,253,yes,1.5547,1.0373,-0.9583,0.2967,0.8798,0.1529,3,2,2,2
43,70,i,Swedish,ADP,2,yes,14.6227,-6.8336,2.9386,0.8007,0.2677,0.7186,2,1,1,1
44,71,jordbruk,Swedish,NOUN,438,yes,-3.2532,-1.7023,0.2136,0.1112,0.6668,0.323,4,3,3,2
45,77,make,Swedish,NOUN,303,yes,-0.0619,0.6197,-0.1072,0.2343,0.8474,0.2764,3,2,2,2
