,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,bayan,Turkish,NOUN,215,yes,-6.0564,-6.3968,-2.0394,0.0098,0.376,0.0632,1,1,1,1
1,7,sınıf,Turkish,NOUN,451,yes,-3.2175,-1.8301,-0.8935,0.1114,0.703,0.1844,1,1,1,1
2,4106,analizci,Turkish,NOUN,293,yes,0.3772,1.2738,0.2069,0.24,0.9253,0.3008,5,4,3,2
3,11,yıl,Turkish,ADJ,176,yes,6.7918,-0.9769,-0.6715,0.4695,0.7642,0.2079,3,3,3,2
4,15,adet,Turkish,NOUN,270,yes,-1.7141,0.2793,1.6657,0.1652,0.8541,0.4551,4,4,3,2
5,16,sat,Turkish,VERB,319,yes,1.2354,1.0131,-0.8768,0.2707,0.9067,0.1862,5,4,3,2
6,19,ınc.,Turkish,PROPN,315,yes,-4.0314,-3.0228,-1.5791,0.0823,0.6176,0.1119,1,1,1,1
7,20,3,Turkish,NUM,248,yes,-2.4996,-1.3888,-1.5371,0.1371,0.7346,0.1164,1,1,1,1
8,22,dönem,Turkish,NOUN,182,yes,1.9701,0.9632,-0.8499,0.297,0.9031,0.189,5,4,3,2
9,23,bir,Turkish,NOUN,394,yes,-0.1443,0.5272,-0.5231,0.2214,0.8719,0.2236,4,4,3,2
10,24,hisse,Turkish,NOUN,11,yes,8.3826,-1.5763,0.2553,0.5265,0.7212,0.3059,3,3,3,2
11,25,fiyat,Turkish,NOUN,26,yes,6.1188,0.2063,0.3576,0.4455,0.8489,0.3168,3,3,3,2
12,28,seviye,Turkish,NOUN,97,yes,1.7088,0.4085,-1.589,0.2877,0.8634,0.1109,5,4,3,2
13,29,10,Turkish,NUM,163,yes,-1.7108,-0.7204,-0.8359,0.1653,0.7825,0.1905,1,1,1,1
14,2078,dört,Turkish,NUM,410,yes,-1.9,-0.7547,-0.9773,0.1585,0.7801,0.1756,1,1,1,1
15,30,yüksel,Turkish,NOUN,220,yes,3.4404,0.3939,-0.8832,0.3496,0.8623,0.1855,3,3,3,2
16,32,oran,Turkish,NOUN,61,yes,3.6637,1.2584,-0.1055,0.3576,0.9242,0.2678,3,3,3,2
17,33,15,Turkish,NUM,437,yes,-3.7611,-0.8381,2.4086,0.092,0.7741,0.5337,1,1,1,1
18,31,yeni,Turkish,ADJ,45,yes,2.0676,1.0392,-0.7224,0.3005,0.9085,0.2025,5,4,3,2
19,36,ol,Turkish,ADJ,36,yes,18.3664,-9.5275,3.6898,0.8837,0.1518,0.6692,2,2,2,2
20,37,bir,Turkish,NOUN,394,yes,14.7839,-7.8127,1.9923,0.7555,0.2746,0.4896,2,2,2,2
21,39,tarih,Turkish,NOUN,314,yes,0.093,0.8476,0.1076,0.2299,0.8948,0.2903,4,4,3,2
22,40,henüz,Turkish,ADV,367,yes,-2.4007,0.4115,3.3068,0.1406,0.8636,0.6287,1,1,1,1
23,44,göre,Turkish,ADP,149,yes,-2.725,-1.3526,-1.0349,0.129,0.7372,0.1695,1,1,1,1
24,45,komisyon,Turkish,NOUN,138,yes,-1.0364,-0.8292,-1.7344,0.1894,0.7747,0.0955,1,1,1,1
25,47,bu,Turkish,PRON,5,yes,8.6978,-1.0766,0.1597,0.5377,0.757,0.2958,3,3,3,2
26,2096,devlet,Turkish,NOUN,177,yes,-0.8285,-0.2259,-0.4854,0.1969,0.8179,0.2276,4,4,3,2
27,49,pek,Turkish,ADV,429,yes,-3.7317,-2.6561,-1.8016,0.093,0.6439,0.0884,1,1,1,1
28,50,inan,Turkish,VERB,498,yes,0.0282,0.6557,-0.0496,0.2275,0.8811,0.2737,5,4,3,2
29,53,değişiklik,Turkish,NOUN,201,yes,0.8708,1.1674,-0.2847,0.2577,0.9177,0.2488,5,4,3,2
30,54,karşı,Turkish,ADP,271,yes,-2.6645,-0.4683,1.1769,0.1312,0.8006,0.4034,1,1,1,1
31,57,bay,Turkish,NOUN,9,yes,-5.0961,-4.6222,-2.6374,0.0442,0.5031,0.0,1,1,1,1
32,60,şekil,Turkish,NOUN,43,yes,3.65,0.915,-0.2761,0.3571,0.8996,0.2497,3,3,3,2
33,4156,sadece,Turkish,ADV,346,yes,-1.7223,-0.2666,-0.0976,0.1649,0.815,0.2686,1,1,1,1
34,61,tahmin,Turkish,NOUN,106,yes,1.5796,1.2084,-0.419,0.283,0.9207,0.2346,5,4,3,2
35,65,bazı,Turkish,ADJ,255,yes,0.5503,1.3387,-0.1508,0.2462,0.93,0.263,5,4,3,2
36,67,fon,Turkish,NOUN,140,yes,1.5759,0.6608,-1.3428,0.2829,0.8814,0.1369,5,4,3,2
37,2117,ekim,Turkish,PROPN,379,yes,-2.7147,-1.4206,-0.9522,0.1294,0.7324,0.1782,1,1,1,1
38,71,daha,Turkish,ADV,7,yes,2.0452,0.5296,-1.4215,0.2997,0.872,0.1286,5,4,3,2
39,80,tam,Turkish,ADJ,478,yes,-3.3555,-1.2352,0.9522,0.1065,0.7457,0.3796,1,1,1,1
40,81,ve,Turkish,CCONJ,2,yes,12.9433,-6.8991,1.891,0.6896,0.34,0.4789,2,2,2,2
41,2133,herkes,Turkish,NOUN,307,yes,-0.9935,0.7154,0.7768,0.191,0.8853,0.3611,4,4,3,2
42,86,parça,Turkish,NOUN,295,yes,-0.1024,0.5218,-0.441,0.2229,0.8715,0.2323,4,4,3,2
43,2136,cuma,Turkish,NOUN,304,yes,-4.2721,-3.3051,-1.9331,0.0737,0.5974,0.0745,1,1,1,1
44,91,için,Turkish,ADP,6,yes,5.9244,0.0102,-0.2987,0.4385,0.8348,0.2473,3,3,3,2
45,93,ver,Turkish,ADJ,317,yes,-0.0899,0.8218,-0.5087,0.2233,0.893,0.2251,4,4,3,2
46,95,üzerine,Turkish,ADV,327,yes,-1.7923,-0.3242,-0.1436,0.1624,0.8109,0.2637,1,1,1,1
47,96,bile,Turkish,ADV,119,yes,0.3136,1.622,1.3291,0.2377,0.9503,0.4195,4,4,3,2
48,97,geç,Turkish,VERB,318,yes,1.0468,0.5772,-1.1756,0.264,0.8755,0.1546,5,4,3,2
49,99,bu,Turkish,PRON,5,yes,7.7727,-0.4769,-0.0147,0.5046,0.8,0.2774,3,3,3,2
50,103,ol,Turkish,ADJ,36,yes,14.4807,-6.9039,2.4853,0.7447,0.3397,0.5418,2,2,2,2
51,104,mi,Turkish,AUX,139,yes,-0.2311,1.3753,1.496,0.2183,0.9326,0.4371,4,4,3,2
52,108,gel,Turkish,ADJ,287,yes,-0.7064,0.2822,-0.6328,0.2012,0.8543,0.212,4,4,3,2
53,110,sıra,Turkish,NOUN,458,yes,-1.1927,0.2458,0.5312,0.1839,0.8517,0.3351,4,4,3,2
54,111,ne,Turkish,PRON,184,yes,0.6193,1.4861,0.9683,0.2487,0.9405,0.3813,4,4,3,2
55,112,var,Turkish,VERB,210,yes,4.732,0.2685,-0.5181,0.3958,0.8533,0.2241,3,3,3,2
56,116,göster,Turkish,VERB,90,yes,3.7942,0.8792,-0.6836,0.3623,0.8971,0.2066,3,3,3,2
57,118,new,Turkish,PROPN,71,yes,-0.4589,0.4867,0.3523,0.2101,0.869,0.3162,5,4,3,2
58,119,york,Turkish,PROPN,108,yes,-2.1054,-0.6848,0.0943,0.1512,0.7851,0.2889,1,1,1,1
59,124,grup,Turkish,NOUN,242,yes,1.1018,1.0567,-0.251,0.2659,0.9098,0.2524,5,4,3,2
60,125,yer,Turkish,NOUN,82,yes,2.3691,1.1254,-0.5454,0.3113,0.9147,0.2213,5,4,3,2
61,126,al,Turkish,ADJ,385,yes,8.0364,-0.3783,0.3583,0.5141,0.807,0.3168,3,3,3,2
62,128,hiç,Turkish,ADV,353,yes,-2.3373,-0.0727,1.7828,0.1429,0.8289,0.4675,1,1,1,1
63,129,de,Turkish,VERB,29,yes,4.3487,-3.5486,0.3098,0.3821,0.58,0.3117,5,4,3,2
64,2178,tacir,Turkish,NOUN,436,yes,-0.1629,0.5898,-0.3624,0.2207,0.8764,0.2406,4,4,3,2
65,131,ol,Turkish,ADJ,36,yes,5.2958,0.0104,-0.8551,0.416,0.8349,0.1885,3,3,3,2
66,4224,bakımından,Turkish,ADV,355,yes,-1.3458,0.5679,1.3344,0.1784,0.8748,0.4201,4,4,3,2
67,2180,benzer,Turkish,ADJ,461,yes,-3.3596,-1.0913,0.9857,0.1063,0.756,0.3832,1,1,1,1
68,134,yönelik,Turkish,ADP,101,yes,0.1179,1.1469,0.089,0.2307,0.9162,0.2883,5,4,3,2
69,135,da,Turkish,CCONJ,12,yes,4.9539,0.1771,-0.5847,0.4038,0.8468,0.2171,3,3,3,2
70,136,güç,Turkish,NOUN,331,yes,-1.4687,-0.0242,0.3111,0.174,0.8324,0.3118,1,1,1,1
71,137,bir,Turkish,NOUN,394,yes,-1.1625,0.1475,-0.2474,0.1849,0.8447,0.2528,4,4,3,2
72,2188,fazla,Turkish,ADV,341,yes,-1.2884,-0.4009,-1.6773,0.1804,0.8054,0.1015,1,1,1,1
73,144,konu,Turkish,NOUN,55,yes,3.4039,1.9062,0.7331,0.3483,0.9706,0.3565,3,3,3,2
74,147,gen,Turkish,NOUN,421,yes,-1.4951,-0.0842,0.3094,0.173,0.8281,0.3117,4,4,3,2
75,2197,rekabet,Turkish,NOUN,384,yes,-1.4985,0.3035,1.2308,0.1729,0.8558,0.4091,4,4,3,2
76,149,kendi,Turkish,PRON,49,yes,2.0784,1.2527,-0.5869,0.3009,0.9238,0.2169,5,4,3,2
77,2201,oluş,Turkish,VERB,464,yes,-1.4941,-0.7083,-1.3358,0.1731,0.7834,0.1377,1,1,1,1
78,155,orta,Turkish,NOUN,178,yes,-1.9859,-0.3315,0.7385,0.1555,0.8104,0.357,4,4,3,2
79,2208,konuş,Turkish,NOUN,443,yes,-0.516,0.7884,0.4677,0.2081,0.8906,0.3284,4,4,3,2
80,2209,londra,Turkish,PROPN,387,yes,-1.9248,0.2097,1.663,0.1577,0.8491,0.4548,4,4,3,2
81,164,ekle,Turkish,VERB,225,yes,0.4705,1.2441,0.0728,0.2434,0.9232,0.2866,5,4,3,2
82,166,japonya,Turkish,PROPN,224,yes,-1.7021,-0.236,-0.0461,0.1656,0.8172,0.2741,1,1,1,1
83,167,mali,Turkish,ADJ,202,yes,-0.2795,0.7501,-0.1331,0.2165,0.8878,0.2649,4,4,3,2
84,170,güç,Turkish,NOUN,331,yes,-0.6308,0.3678,-0.0973,0.204,0.8605,0.2686,4,4,3,2
85,181,yap,Turkish,ADJ,169,yes,7.5672,-0.9354,-0.3717,0.4973,0.7671,0.2396,3,3,3,2
86,182,banka,Turkish,NOUN,117,yes,2.6509,0.8042,-0.6277,0.3214,0.8917,0.2125,5,4,3,2
