,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,у,Ukrainian,ADP,3,yes,-10.0278,-5.4796,-0.8976,0.2034,0.1834,0.7265,5,4,3,2
1,4101,бідний,Ukrainian,ADJ,402,yes,0.1368,1.1174,-0.0961,0.7133,0.818,0.827,2,2,1,1
2,2054,клітина,Ukrainian,NOUN,326,yes,1.0103,0.5159,-0.0165,0.7571,0.7601,0.837,2,2,1,1
3,6,бути,Ukrainian,VERB,23,yes,-14.0819,-7.3004,-2.5769,0.0,0.0082,0.5157,5,4,3,2
4,4105,дочка,Ukrainian,NOUN,161,yes,-0.6002,0.8404,0.4703,0.6763,0.7913,0.8981,3,3,2,2
5,12,та,Ukrainian,CCONJ,11,yes,-4.4339,-0.4978,0.6856,0.484,0.6626,0.9251,4,4,3,2
6,2061,ніс,Ukrainian,NOUN,369,yes,2.0242,-0.9615,0.8481,0.808,0.618,0.9455,2,2,1,1
7,15,якось,Ukrainian,ADV,286,yes,1.6653,0.9857,-0.465,0.79,0.8053,0.7808,2,2,1,1
8,17,він,Ukrainian,PRON,8,yes,-8.7255,-1.1962,-0.862,0.2687,0.5954,0.7309,4,4,3,2
9,2065,зрозуміти,Ukrainian,VERB,370,yes,-1.2282,0.9969,0.274,0.6448,0.8064,0.8735,3,3,2,2
10,19,від,Ukrainian,ADP,28,yes,-1.8355,-0.0383,1.0762,0.6143,0.7068,0.9741,3,3,2,2
11,4117,холодний,Ukrainian,ADJ,389,yes,0.5828,0.4087,-0.1215,0.7357,0.7498,0.8239,2,2,1,1
12,25,й,Ukrainian,CCONJ,26,yes,-1.4231,-0.0625,0.9986,0.635,0.7045,0.9644,3,3,2,2
13,27,ж,Ukrainian,PART,68,yes,-2.3583,0.8028,0.6287,0.5881,0.7877,0.918,3,3,2,2
14,30,стіна,Ukrainian,NOUN,288,yes,0.6587,0.231,0.6968,0.7395,0.7327,0.9265,2,2,1,1
15,31,певний,Ukrainian,ADJ,255,yes,2.0159,-0.09,0.428,0.8075,0.7018,0.8928,2,2,1,1
16,32,свій,Ukrainian,DET,25,yes,-2.626,0.2321,0.9766,0.5747,0.7328,0.9616,3,3,2,2
17,37,як,Ukrainian,CCONJ,436,yes,-3.7943,0.5171,0.2262,0.5161,0.7602,0.8675,3,3,2,2
18,38,на,Ukrainian,ADP,2,yes,-11.9633,-6.8875,-1.6194,0.1063,0.048,0.6359,5,4,3,2
19,2089,група,Ukrainian,NOUN,213,yes,-0.5953,1.2599,0.2232,0.6766,0.8317,0.8671,3,3,2,2
20,42,це,Ukrainian,PRON,20,yes,-6.1408,-0.8612,0.3155,0.3984,0.6277,0.8787,4,4,3,2
21,43,один,Ukrainian,NUM,112,yes,-5.4356,-0.5113,0.2247,0.4337,0.6613,0.8673,4,4,3,2
22,44,з,Ukrainian,ADP,4,yes,-9.9108,-5.4874,-0.8466,0.2092,0.1826,0.7329,5,4,3,2
23,6188,музичний,Ukrainian,ADJ,488,yes,4.9582,-3.4274,-0.4775,0.9551,0.3808,0.7792,1,1,1,1
24,2096,зараз,Ukrainian,ADV,467,yes,2.539,0.2803,0.1047,0.8338,0.7375,0.8522,2,2,1,1
25,49,леся,Ukrainian,PROPN,404,yes,1.8702,-2.1977,-0.3156,0.8002,0.4991,0.7995,2,2,1,1
26,50,українка,Ukrainian,PROPN,379,yes,5.3088,-3.6251,-0.6095,0.9727,0.3618,0.7626,1,1,1,1
27,52,і,Ukrainian,PART,31,yes,-13.7704,-7.386,-2.3145,0.0156,0.0,0.5487,5,4,3,2
28,4149,піч,Ukrainian,NOUN,205,yes,0.0896,1.121,0.5702,0.7109,0.8183,0.9106,2,2,1,1
29,55,і,Ukrainian,PART,31,yes,-3.0597,1.1163,0.0368,0.5529,0.8179,0.8437,3,3,2,2
30,56,багато,Ukrainian,ADV,158,yes,-1.4884,1.2287,0.2969,0.6318,0.8287,0.8764,3,3,2,2
31,57,інший,Ukrainian,DET,52,yes,-2.6008,0.3178,0.7248,0.5759,0.7411,0.93,3,3,2,2
32,58,її,Ukrainian,DET,105,yes,2.2894,-0.8068,0.9806,0.8213,0.6329,0.9621,2,2,1,1
33,2107,поруч,Ukrainian,ADV,496,yes,1.3768,0.6705,-0.8689,0.7755,0.775,0.7301,2,2,1,1
34,60,вона,Ukrainian,PRON,17,yes,-6.7055,0.0183,-0.4116,0.37,0.7123,0.7875,4,4,3,2
35,61,виявитися,Ukrainian,VERB,338,yes,0.2355,1.2451,-0.555,0.7182,0.8303,0.7695,3,3,2,2
36,65,за,Ukrainian,ADP,18,yes,-4.6726,-0.7876,0.8007,0.472,0.6347,0.9396,4,4,3,2
37,66,якийсь,Ukrainian,DET,65,yes,-0.4519,0.5943,0.6587,0.6837,0.7677,0.9218,3,3,2,2
38,68,після,Ukrainian,ADP,89,yes,0.5283,0.3001,0.7795,0.7329,0.7394,0.9369,2,2,1,1
39,73,новий,Ukrainian,ADJ,108,yes,0.8197,0.1,0.7263,0.7475,0.7201,0.9302,2,2,1,1
40,75,почати,Ukrainian,VERB,94,yes,-3.1492,0.8522,0.2234,0.5484,0.7925,0.8671,3,3,2,2
41,79,до,Ukrainian,ADP,10,yes,-7.0032,-2.1737,0.4752,0.3551,0.5014,0.8987,4,4,3,2
42,80,те,Ukrainian,PRON,44,yes,-6.7859,-0.4678,-0.1093,0.366,0.6655,0.8254,4,4,3,2
43,82,вони,Ukrainian,PRON,16,yes,-7.6512,-1.1564,-0.3407,0.3226,0.5993,0.7964,4,4,3,2
44,89,при,Ukrainian,ADP,178,yes,1.8399,0.3402,-0.1681,0.7987,0.7432,0.818,2,2,1,1
45,90,початок,Ukrainian,NOUN,365,yes,0.7711,-0.2891,1.1255,0.7451,0.6827,0.9803,2,2,1,1
46,95,стати,Ukrainian,VERB,96,yes,-5.2321,0.3025,-0.2504,0.444,0.7396,0.8077,3,3,2,2
47,96,лише,Ukrainian,PART,76,yes,-0.4953,0.336,0.6183,0.6816,0.7428,0.9167,3,3,2,2
48,4191,дівка,Ukrainian,NOUN,153,yes,0.4259,0.6266,0.4502,0.7278,0.7708,0.8956,2,2,1,1
49,4196,село,Ukrainian,NOUN,447,yes,0.3824,0.1301,0.7375,0.7256,0.723,0.9316,2,2,1,1
50,102,що,Ukrainian,PRON,46,yes,-6.4891,-0.2267,-0.0295,0.3809,0.6887,0.8354,4,4,3,2
51,103,не,Ukrainian,PART,5,yes,-8.1377,-1.2483,-0.6691,0.2982,0.5904,0.7551,4,4,3,2
52,105,радянський,Ukrainian,ADJ,232,yes,3.3347,-4.1145,-0.2961,0.8737,0.3147,0.8019,2,2,1,1
53,107,про,Ukrainian,ADP,29,yes,-0.7594,0.5681,0.6616,0.6683,0.7652,0.9221,3,3,2,2
54,2159,межа,Ukrainian,NOUN,202,yes,-1.4037,1.0994,0.4072,0.636,0.8163,0.8902,3,3,2,2
55,112,майже,Ukrainian,ADV,228,yes,1.9948,-0.2545,0.109,0.8065,0.686,0.8528,2,2,1,1
56,114,увага,Ukrainian,NOUN,299,yes,-0.2,1.1408,0.6205,0.6964,0.8202,0.917,2,2,1,1
57,115,воно,Ukrainian,PRON,109,yes,0.1192,1.4253,0.4669,0.7124,0.8476,0.8977,2,2,1,1
58,116,мати,Ukrainian,NOUN,170,yes,-12.9786,-5.9376,-2.8208,0.0554,0.1393,0.4851,5,4,3,2
59,126,рік,Ukrainian,NOUN,51,yes,-7.1743,-3.0572,-0.6488,0.3465,0.4164,0.7577,5,4,3,2
60,127,тому,Ukrainian,ADV,95,yes,-1.1839,2.0371,-0.6341,0.647,0.9065,0.7595,3,3,2,2
61,4225,язик,Ukrainian,NOUN,321,yes,3.1957,-1.6551,0.7508,0.8667,0.5513,0.9333,2,2,1,1
62,6273,французький,Ukrainian,ADJ,434,yes,5.0661,-3.489,-0.5177,0.9606,0.3749,0.7741,1,1,1,1
63,4230,бігти,Ukrainian,VERB,475,yes,0.8929,2.3339,-1.7139,0.7512,0.935,0.624,2,2,1,1
