,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,6,بورڈ,Urdu,PROPN,384,yes,0.6784,0.1389,0.2519,0.8828,0.9036,0.3296,5,4,3,2
1,7,کا,Urdu,PROPN,345,yes,-16.1638,-6.9373,1.2782,0.3927,0.543,0.4448,1,1,1,1
2,8,اےک,Urdu,NUM,26,yes,-2.8309,0.3648,-1.238,0.7807,0.9151,0.1623,2,2,2,2
3,2057,کارروائی,Urdu,NOUN,161,yes,-1.4817,1.6437,0.0035,0.8199,0.9802,0.3017,2,2,2,2
4,11,کے,Urdu,ADP,6,yes,-9.2474,-1.2991,-0.3758,0.594,0.8303,0.2591,3,2,2,2
5,12,بموجب,Urdu,ADP,317,yes,2.5952,-1.3693,-1.0726,0.9385,0.8267,0.1808,4,3,3,2
6,13,بورڈ,Urdu,PROPN,384,yes,-0.4191,0.9538,0.155,0.8508,0.9451,0.3187,2,2,2,2
7,16,اجلاس,Urdu,NOUN,59,yes,-2.8737,1.1021,-0.7799,0.7794,0.9526,0.2137,3,2,2,2
8,17,حیدرآباد,Urdu,PROPN,194,yes,-0.5831,0.8356,-0.3347,0.8461,0.9391,0.2637,2,2,2,2
9,18,مےں,Urdu,PRON,85,yes,-6.0315,0.0102,-0.7839,0.6875,0.897,0.2133,3,2,2,2
10,2064,جگن,Urdu,PROPN,289,yes,1.0354,-0.0847,0.1696,0.8931,0.8922,0.3203,5,4,3,2
11,20,اور,Urdu,ADJ,494,yes,-7.6962,-0.2058,-0.4888,0.6391,0.886,0.2464,3,2,2,2
12,22,اپریل,Urdu,PROPN,164,yes,0.3175,0.2985,0.4221,0.8723,0.9117,0.3487,5,4,3,2
13,23,کو,Urdu,ADP,7,yes,-7.516,-0.9141,-0.6225,0.6443,0.8499,0.2314,3,2,2,2
14,24,منعقد,Urdu,ADJ,147,yes,2.5087,-0.691,3.6457,0.936,0.8613,0.7107,5,4,3,2
15,25,ہو,Urdu,AUX,21,yes,-19.9845,-9.9654,2.1483,0.2815,0.3887,0.5425,1,1,1,1
16,27,ہے,Urdu,VERB,27,yes,-4.8406,1.0879,-0.7392,0.7222,0.9519,0.2183,3,2,2,2
